seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字光吉1996番地の29,ふじが丘北区1-10,ふじが丘北二丁目,1,15,fujigaoka.pdf,,high,
2,大字光吉1997番地の9,ふじが丘北区19組,ふじが丘北二丁目,1,14,fujigaoka.pdf,,high,
3,大字光吉1997番地の10,大字光吉1997番地の10,ふじが丘北二丁目,1,13,fujigaoka.pdf,,high,
4,大字光吉1997番地の11,大字光吉1997番地の11,ふじが丘北二丁目,1,12,fujigaoka.pdf,,high,
5,大字光吉1997番地の12,大字光吉1997番地の12,ふじが丘北二丁目,1,11,fujigaoka.pdf,,high,
6,大字光吉1997番地の13,大字光吉1997番地の13,ふじが丘北二丁目,1,10,fujigaoka.pdf,,high,
7,大字光吉1997番地の14,大字光吉1997番地の14,ふじが丘北二丁目,1,9,fujigaoka.pdf,,high,
8,大字光吉1997番地の15,大字光吉1997番地の15,ふじが丘北二丁目,1,16,fujigaoka.pdf,,high,
9,大字光吉1997番地の16,大字光吉1997番地の16,ふじが丘北二丁目,1,17,fujigaoka.pdf,,high,
10,大字光吉1997番地の17,大字光吉1997番地の17,ふじが丘北二丁目,1,18,fujigaoka.pdf,,high,
11,大字光吉1997番地の18,大字光吉1997番地の18,ふじが丘北二丁目,1,19,fujigaoka.pdf,,high,
12,大字光吉1997番地の19,大字光吉1997番地の19,ふじが丘北二丁目,1,21,fujigaoka.pdf,,high,
13,大字光吉1997番地の20,大字光吉1997番地の20,ふじが丘北二丁目,1,22,fujigaoka.pdf,,high,
14,大字光吉2000番地の2,ふじが丘北区4-6,ふじが丘北一丁目,4,6,fujigaoka.pdf,,high,資料上2回出現
15,大字光吉2000番地の3,ふじが丘北区4-1,ふじが丘北一丁目,4,1,fujigaoka.pdf,,high,
16,大字光吉2000番地の4,ふじが丘北区4-2,ふじが丘北一丁目,4,3,fujigaoka.pdf,,high,
17,大字光吉2000番地の5,ふじが丘北区4-3,ふじが丘北一丁目,4,4,fujigaoka.pdf,,high,
18,大字光吉2000番地の6,ふじが丘北区4-5,ふじが丘北一丁目,4,5,fujigaoka.pdf,,high,
19,大字光吉2000番地の7,ふじが丘北区3-1,ふじが丘北一丁目,3,18,fujigaoka.pdf,,high,資料上2回出現
20,大字光吉2000番地の8,ふじが丘北区3-2,ふじが丘北一丁目,3,17,fujigaoka.pdf,,high,
