seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字木上154番地の3,カームタウン木ノ上A－10,木上台一丁目,3,9,kinouedaitaisyoubo.pdf,木上-1,high,
2,大字木上154番地の4,カームタウン木ノ上C－19,木上台二丁目,4,1,kinouedaitaisyoubo.pdf,木上-1,high,
3,大字木上154番地の11,カームタウン木ノ上A－27,木上台一丁目,3,10,kinouedaitaisyoubo.pdf,木上-1,high,資料上2回出現
4,大字木上154番地の13,カームタウン木ノ上A－1,木上台一丁目,1,1,kinouedaitaisyoubo.pdf,木上-1,high,
5,大字木上154番地の14,カームタウン木ノ上A－2,木上台一丁目,1,2,kinouedaitaisyoubo.pdf,木上-1,high,
6,大字木上154番地の15,カームタウン木ノ上A－3,木上台一丁目,1,3,kinouedaitaisyoubo.pdf,木上-1,high,
7,大字木上154番地の17,カームタウン木ノ上A－6,木上台一丁目,2,7,kinouedaitaisyoubo.pdf,木上-1,high,
8,大字木上154番地の18,カームタウン木ノ上A－5,木上台一丁目,2,6,kinouedaitaisyoubo.pdf,木上-1,high,
9,大字木上154番地の19,カームタウン木ノ上A－4,木上台一丁目,2,5,kinouedaitaisyoubo.pdf,木上-1,high,
10,大字木上154番地の21,カームタウン木ノ上B－4,木上台一丁目,2,4,kinouedaitaisyoubo.pdf,木上-1,high,
11,大字木上154番地の22,カームタウン木ノ上B－3,木上台一丁目,2,3,kinouedaitaisyoubo.pdf,木上-1,high,
12,大字木上154番地の23,カームタウン木ノ上B－2,木上台一丁目,2,2,kinouedaitaisyoubo.pdf,木上-1,high,
13,大字木上154番地の24,カームタウン木ノ上B－1,木上台一丁目,2,1,kinouedaitaisyoubo.pdf,木上-2,high,
14,大字木上154番地の25,カームタウン木ノ上B－6,木上台一丁目,3,2,kinouedaitaisyoubo.pdf,木上-2,high,
15,大字木上154番地の26,カームタウン木ノ上B－7,木上台一丁目,3,3,kinouedaitaisyoubo.pdf,木上-2,high,
16,大字木上154番地の27,カームタウン木ノ上B－8,木上台一丁目,3,4,kinouedaitaisyoubo.pdf,木上-2,high,
17,大字木上154番地の28,カームタウン木ノ上B－9,木上台一丁目,3,5,kinouedaitaisyoubo.pdf,木上-2,high,
18,大字木上154番地の30,カームタウン木ノ上A－7,木上台一丁目,3,6,kinouedaitaisyoubo.pdf,木上-2,high,
19,大字木上154番地の31,カームタウン木ノ上A－8,木上台一丁目,3,7,kinouedaitaisyoubo.pdf,木上-2,high,
