seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字永興1974番地の2,上野南陽台西9,上野丘二丁目,14,25,uenogaoka.pdf,永興-1,high,
2,大字永興1974番地の4,上野南陽台西14,上野丘二丁目,11,25,uenogaoka.pdf,永興-1,high,
3,大字永興2019番地の39,上野南陽台若山1,上野丘二丁目,18,24,uenogaoka.pdf,永興-1,high,
4,大字永興2019番地の41,上野南陽台若山3,上野丘二丁目,12,24,uenogaoka.pdf,永興-1,high,
5,大字永興2019番地の42,上野南陽台若山4,上野丘二丁目,10,24,uenogaoka.pdf,永興-1,high,
6,大字永興2019番地の45,上野南陽台若山7,上野丘二丁目,5,24,uenogaoka.pdf,永興-1,high,
7,大字永興2019番地の46,上野南陽台若山8,上野丘二丁目,3,24,uenogaoka.pdf,永興-1,high,資料上2回出現
8,大字永興2019番地の47,上野南陽台若山9,上野丘二丁目,1,24,uenogaoka.pdf,永興-1,high,
9,大字永興2019番地の57,上野南陽台若山2-1,上野丘二丁目,14,24,uenogaoka.pdf,永興-1,high,
10,大字永興2019番地の58,上野南陽台若山2-2,上野丘二丁目,15,24,uenogaoka.pdf,永興-1,high,
11,大字永興2019番地の62,上野南陽台若山5,上野丘二丁目,9,24,uenogaoka.pdf,永興-1,high,
12,大字永興2019番地の63,上野南陽台若山6,上野丘二丁目,6,24,uenogaoka.pdf,永興-1,high,
13,大字永興2019番地の66,上野南陽台西12,上野丘二丁目,18,25,uenogaoka.pdf,永興-2,high,資料上2回出現
14,大字永興2019番地の67,上野南陽台西13,上野丘二丁目,19,25,uenogaoka.pdf,永興-2,high,
15,大字永興2019番地の70,上野南陽台西15,上野丘二丁目,7,25,uenogaoka.pdf,永興-2,high,
16,大字永興2019番地の72,上野南陽台西17,上野丘二丁目,4,25,uenogaoka.pdf,永興-2,high,
17,大字永興2019番地の73,上野南陽台西18,上野丘二丁目,2,25,uenogaoka.pdf,永興-2,high,
18,大字永興2019番地の74,上野南陽台西19,上野丘二丁目,1,25,uenogaoka.pdf,永興-2,high,
19,大字永興2019番地の75,上野南陽台西20,上野丘二丁目,15,26,uenogaoka.pdf,永興-2,high,
20,大字永興2019番地の76,上野南陽台西21,上野丘二丁目,17,26,uenogaoka.pdf,永興-2,high,
21,大字永興2019番地の77,上野南陽台西22,上野丘二丁目,18,26,uenogaoka.pdf,永興-2,high,
22,大字永興2019番地の78,上野南陽台西23,上野丘二丁目,19,26,uenogaoka.pdf,永興-2,high,
23,大字永興2019番地の79,上野南陽台西24,上野丘二丁目,21,26,uenogaoka.pdf,永興-2,high,
24,大字永興2019番地の81,上野南陽台西26,上野丘二丁目,23,26,uenogaoka.pdf,永興-2,high,
