seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字下郡164番地の1,南下郡17組の1,下郡山の手,2,6,simogooriyamanote.pdf,,high,
2,大字下郡165番地の1,南下郡17組の1C,下郡山の手,2,3,simogooriyamanote.pdf,,high,
3,★大字下郡167番地の3,,下郡山の手,2,17,simogooriyamanote.pdf,,high,★は法人行（資料上通称の記載なし）
4,大字下郡167番地の3,南下郡17組の1,下郡山の手,2,17,simogooriyamanote.pdf,,high,
5,★大字下郡170番地の1,南下郡17組,下郡山の手,2,19,simogooriyamanote.pdf,,high,★は法人行
6,★大字下郡170番地の4,,下郡山の手,2,18,simogooriyamanote.pdf,,high,★は法人行（資料上通称の記載なし）
7,大字下郡174番地の1,南下郡17組の1,下郡山の手,2,10,simogooriyamanote.pdf,,high,
8,★大字下郡174番地の1,,下郡山の手,2,10,simogooriyamanote.pdf,,high,★は法人行（資料上通称の記載なし）
9,大字下郡174番地の4,南下郡17組の1,下郡山の手,2,8,simogooriyamanote.pdf,,high,
10,大字下郡175番地の1,南下郡17組の1B,下郡山の手,2,12,simogooriyamanote.pdf,,high,
11,大字下郡175番地の1,南下郡17組の1B,下郡山の手,2,13,simogooriyamanote.pdf,,high,
12,大字下郡178番地の1,南下郡17組の1A,下郡山の手,2,21,simogooriyamanote.pdf,,high,
13,大字下郡178番地の1,南下郡17組の1A,下郡山の手,2,22,simogooriyamanote.pdf,,high,
14,大字下郡179番地の1,南下郡17組の1,下郡山の手,1,32,simogooriyamanote.pdf,,high,
15,大字下郡179番地の1,南下郡17組の1,下郡山の手,1,33,simogooriyamanote.pdf,,high,
16,★大字下郡179番地の1,,下郡山の手,1,27,simogooriyamanote.pdf,,high,★は法人行（資料上通称の記載なし）
17,★大字下郡180番地の4,,下郡山の手,1,30,simogooriyamanote.pdf,,high,★は法人行（資料上通称の記載なし）
18,★大字下郡181番地の1,,下郡山の手,1,27,simogooriyamanote.pdf,,high,★は法人行（資料上通称の記載なし）
19,大字下郡181番地の1,南下郡17組の1,下郡山の手,1,27,simogooriyamanote.pdf,,high,
20,大字下郡182番地の5,南下郡17組の1,下郡山の手,1,22,simogooriyamanote.pdf,,high,
21,大字下郡182番地の5,南下郡17組の1,下郡山の手,1,23,simogooriyamanote.pdf,,high,
22,大字下郡182番地の7,南下郡17組の1,下郡山の手,1,21,simogooriyamanote.pdf,,high,
23,大字下郡193番地の7,南下郡17組の1,下郡山の手,1,4,simogooriyamanote.pdf,,high,
24,大字下郡195番地の11,南下郡17組の1,下郡山の手,1,9,simogooriyamanote.pdf,,high,
25,大字下郡195番地の7,南下郡17組の1,下郡山の手,1,5,simogooriyamanote.pdf,,high,
26,大字下郡195番地の8,南下郡17組の1,下郡山の手,1,6,simogooriyamanote.pdf,,high,
27,大字下郡195番地の9,南下郡17組の1,下郡山の手,1,7,simogooriyamanote.pdf,,high,
28,大字下郡196番地の10,南下郡17組の1,下郡山の手,1,17,simogooriyamanote.pdf,,high,
29,大字下郡196番地の5,南下郡17組の1,下郡山の手,1,12,simogooriyamanote.pdf,,high,
30,大字下郡196番地の6,南下郡17組の1,下郡山の手,1,15,simogooriyamanote.pdf,,high,
31,大字下郡196番地の7,南下郡17組の1A,下郡山の手,1,13,simogooriyamanote.pdf,,high,
32,大字下郡202番地の1,南下郡17組の1,下郡山の手,1,37,simogooriyamanote.pdf,,high,
33,大字下郡206番地の3,南下郡17組の1,下郡山の手,2,27,simogooriyamanote.pdf,,high,
34,大字下郡211番地の1,南下郡17組の1,下郡山の手,2,34,simogooriyamanote.pdf,,high,
35,大字下郡214番地の2,南下郡17組の1,下郡山の手,2,38,simogooriyamanote.pdf,,high,
36,★大字下郡222番地,南下郡17組の1,下郡山の手,2,46,simogooriyamanote.pdf,,high,★は法人行
37,★大字下郡222番地の2,,下郡山の手,2,54,simogooriyamanote.pdf,,high,★は法人行（資料上通称の記載なし）
38,★大字下郡227番地の1,南下郡17組の1,下郡山の手,2,60,simogooriyamanote.pdf,,high,★は法人行
39,★大字下郡231番地の3,,下郡山の手,2,53,simogooriyamanote.pdf,,high,★は法人行（資料上通称の記載なし）
40,★大字下郡645番地,南下郡17組の1,下郡山の手,2,61,simogooriyamanote.pdf,,high,★は法人行
41,大字下郡666番地の18,南下郡14組の1,下郡山の手,14,7,simogooriyamanote.pdf,,high,
42,大字下郡666番地の21,南下郡14組の1,下郡山の手,14,8,simogooriyamanote.pdf,,high,
43,★大字下郡666番地の22,南下郡14組の1,下郡山の手,16,10,simogooriyamanote.pdf,,high,★は法人行
44,大字下郡666番地の22,南下郡14組の1,下郡山の手,16,10,simogooriyamanote.pdf,,high,
45,大字下郡666番地の25,南下郡14組の1,下郡山の手,16,7,simogooriyamanote.pdf,,high,
46,大字下郡666番地の26,南下郡14組の1,下郡山の手,16,2,simogooriyamanote.pdf,,high,
47,大字下郡666番地の27,南下郡14組の1,下郡山の手,16,3,simogooriyamanote.pdf,,high,
48,大字下郡666番地の8,南下郡14組の1,下郡山の手,14,10,simogooriyamanote.pdf,,high,
49,大字下郡692番地の2,南下郡14組の2,下郡山の手,13,15,simogooriyamanote.pdf,,high,
50,大字下郡692番地の3,南下郡14組の2,下郡山の手,13,14,simogooriyamanote.pdf,,high,
51,大字下郡692番地の6,南下郡14組の2,下郡山の手,13,13,simogooriyamanote.pdf,,high,
52,★大字下郡693番地の1,,下郡山の手,13,1,simogooriyamanote.pdf,,high,★は法人行（資料上通称の記載なし）
53,大字下郡693番地の3,南下郡14組の2,下郡山の手,13,8,simogooriyamanote.pdf,,high,
54,大字下郡694番地の5,南下郡14組の2,下郡山の手,13,17,simogooriyamanote.pdf,,high,
55,大字下郡695番地の15,南下郡14組の2,下郡山の手,15,3,simogooriyamanote.pdf,,high,
56,大字下郡695番地の4,南下郡14組の2の1,下郡山の手,15,2,simogooriyamanote.pdf,,high,
57,大字下郡695番地の7,南下郡14組の2,下郡山の手,12,36,simogooriyamanote.pdf,,high,
58,大字下郡700番地の10,南下郡14組の2の1,下郡山の手,15,24,simogooriyamanote.pdf,,high,
59,大字下郡700番地の16,南下郡14組の2の1,下郡山の手,9,33,simogooriyamanote.pdf,,high,
60,大字下郡700番地の2,南下郡14組の2の1,下郡山の手,15,29,simogooriyamanote.pdf,,high,
61,大字下郡700番地の29,南下郡14組の2の1,下郡山の手,15,32,simogooriyamanote.pdf,,high,
62,大字下郡700番地の3,南下郡14組の2の1,下郡山の手,15,28,simogooriyamanote.pdf,,high,
63,大字下郡700番地の31,南下郡14組の2の1,下郡山の手,15,25,simogooriyamanote.pdf,,high,
64,大字下郡700番地の32,南下郡14組の2の1,下郡山の手,9,2,simogooriyamanote.pdf,,high,
65,大字下郡700番地の34,南下郡14組の2の1,下郡山の手,9,4,simogooriyamanote.pdf,,high,
66,大字下郡700番地の4,南下郡14組の2の1,下郡山の手,15,27,simogooriyamanote.pdf,,high,
67,★大字下郡700番地の44,,下郡山の手,15,12,simogooriyamanote.pdf,,high,★は法人行（資料上通称の記載なし）
68,★大字下郡700番地の48,南下郡14組の2,下郡山の手,15,5,simogooriyamanote.pdf,,high,★は法人行
69,大字下郡700番地の48,南下郡14組の2,下郡山の手,15,5,simogooriyamanote.pdf,,high,
70,大字下郡700番地の49,南下郡14組の2の1,下郡山の手,15,8,simogooriyamanote.pdf,,high,
71,大字下郡700番地の63,南下郡14組の2の1,下郡山の手,15,19,simogooriyamanote.pdf,,high,
72,大字下郡700番地の64,南下郡14組の2の1,下郡山の手,15,20,simogooriyamanote.pdf,,high,
73,大字下郡700番地の69,南下郡14組の2の2,下郡山の手,9,7,simogooriyamanote.pdf,,high,
74,大字下郡700番地の70,南下郡14組の2の2,下郡山の手,9,8,simogooriyamanote.pdf,,high,
75,大字下郡700番地の71,南下郡14組の2の2,下郡山の手,9,9,simogooriyamanote.pdf,,high,
76,大字下郡700番地の72,南下郡14組の2の2,下郡山の手,9,10,simogooriyamanote.pdf,,high,
77,大字下郡700番地の73,南下郡14組の2の2,下郡山の手,9,29,simogooriyamanote.pdf,,high,
78,大字下郡700番地の74,南下郡14組の2の2,下郡山の手,9,28,simogooriyamanote.pdf,,high,
79,大字下郡700番地の75,南下郡14組の2の2,下郡山の手,9,25,simogooriyamanote.pdf,,high,
80,大字下郡700番地の76,南下郡14組の2の2,下郡山の手,9,24,simogooriyamanote.pdf,,high,
81,大字下郡700番地の77,南下郡14組の2の2,下郡山の手,9,23,simogooriyamanote.pdf,,high,
82,大字下郡700番地の78,南下郡14組の2の2,下郡山の手,9,16,simogooriyamanote.pdf,,high,
83,大字下郡700番地の79,南下郡14組の2の2,下郡山の手,9,17,simogooriyamanote.pdf,,high,
84,大字下郡700番地の8,南下郡14組の2の1,下郡山の手,15,17,simogooriyamanote.pdf,,high,
85,大字下郡700番地の87,南下郡14組の2の2,下郡山の手,9,32,simogooriyamanote.pdf,,high,
86,大字下郡700番地の9,南下郡14組の2の1,下郡山の手,15,21,simogooriyamanote.pdf,,high,
87,大字下郡707番地の3,南下郡14組の2,下郡山の手,12,33,simogooriyamanote.pdf,,high,
88,大字下郡708番地の4,南下郡14組の2,下郡山の手,3,36,simogooriyamanote.pdf,,high,
89,大字下郡708番地の6,南下郡14組の2,下郡山の手,12,24,simogooriyamanote.pdf,,high,
90,大字下郡710番地の1,南下郡14組の2,下郡山の手,12,28,simogooriyamanote.pdf,,high,
91,大字下郡710番地の12,南下郡14組の2,下郡山の手,12,27,simogooriyamanote.pdf,,high,
92,★大字下郡716番地の1,南下郡14組の2,下郡山の手,10,24,simogooriyamanote.pdf,,high,★は法人行
93,大字下郡716番地の11,南下郡14組の2,下郡山の手,11,18,simogooriyamanote.pdf,,high,
94,大字下郡716番地の12,南下郡14組の2,下郡山の手,10,23,simogooriyamanote.pdf,,high,
95,大字下郡716番地の17,南下郡14組の2,下郡山の手,10,14,simogooriyamanote.pdf,,high,
96,大字下郡716番地の2,南下郡14組の2,下郡山の手,11,16,simogooriyamanote.pdf,,high,
97,大字下郡716番地の4,南下郡14組の2,下郡山の手,10,16,simogooriyamanote.pdf,,high,
98,大字下郡716番地の7,南下郡14組の2,下郡山の手,10,18,simogooriyamanote.pdf,,high,
99,大字下郡716番地の8,南下郡14組の2,下郡山の手,10,21,simogooriyamanote.pdf,,high,
100,大字下郡718番地の11,南下郡14組の2,下郡山の手,10,4,simogooriyamanote.pdf,,high,
101,大字下郡718番地の12,南下郡14組の2,下郡山の手,10,6,simogooriyamanote.pdf,,high,
102,大字下郡718番地の2,南下郡14組の2,下郡山の手,11,14,simogooriyamanote.pdf,,high,
103,大字下郡718番地の5,南下郡14組の2,下郡山の手,10,7,simogooriyamanote.pdf,,high,
104,大字下郡718番地の8,南下郡14組の2,下郡山の手,10,1,simogooriyamanote.pdf,,high,
105,大字下郡719番地,南下郡14組の2,下郡山の手,12,15,simogooriyamanote.pdf,,high,
106,★大字下郡720番地の6,南下郡14-2,下郡山の手,12,11,simogooriyamanote.pdf,,high,★は法人行
107,大字下郡720番地の6,南下郡14組の2,下郡山の手,12,12,simogooriyamanote.pdf,,high,
108,大字下郡722番地の1,南下郡14組の2,下郡山の手,11,13,simogooriyamanote.pdf,,high,
109,大字下郡722番地の2,南下郡14組の2,下郡山の手,11,8,simogooriyamanote.pdf,,high,
110,大字下郡722番地の3,南下郡14組の2,下郡山の手,11,7,simogooriyamanote.pdf,,high,
111,大字下郡722番地の5,南下郡14組の2,下郡山の手,11,12,simogooriyamanote.pdf,,high,
112,大字下郡723番地の6,南下郡14組の2,下郡山の手,4,29,simogooriyamanote.pdf,,high,
113,大字下郡724番地の3,南下郡14組の2,下郡山の手,4,31,simogooriyamanote.pdf,,high,
114,大字下郡724番地の5,南下郡14組の2,下郡山の手,4,33,simogooriyamanote.pdf,,high,
115,大字下郡725番地の5,南下郡14組の2,下郡山の手,12,2,simogooriyamanote.pdf,,high,
116,大字下郡726番地の1,南下郡14組の2B,下郡山の手,12,9,simogooriyamanote.pdf,,high,
117,大字下郡726番地の3,南下郡14組の2,下郡山の手,12,6,simogooriyamanote.pdf,,high,
118,大字下郡726番地の4,南下郡14組の2,下郡山の手,12,5,simogooriyamanote.pdf,,high,
119,大字下郡726番地の5,南下郡14組の2,下郡山の手,12,7,simogooriyamanote.pdf,,high,
120,大字下郡727番地の4,南下郡14組の2,下郡山の手,4,35,simogooriyamanote.pdf,,high,
121,大字下郡728番地の1,南下郡14組の2,下郡山の手,4,40,simogooriyamanote.pdf,,high,
122,大字下郡728番地の3,南下郡14組の2,下郡山の手,4,41,simogooriyamanote.pdf,,high,
123,大字下郡730番地,南下郡14組の2,下郡山の手,12,13,simogooriyamanote.pdf,,high,
124,大字下郡731番地の1,南下郡14組の2,下郡山の手,4,45,simogooriyamanote.pdf,,high,
125,大字下郡731番地の4,南下郡14組の2,下郡山の手,4,46,simogooriyamanote.pdf,,high,
126,大字下郡732番地の4,南下郡14組の2,下郡山の手,12,20,simogooriyamanote.pdf,,high,
127,大字下郡732番地の5,南下郡14組の2,下郡山の手,12,22,simogooriyamanote.pdf,,high,
128,大字下郡732番地の6,南下郡14組の2,下郡山の手,3,32,simogooriyamanote.pdf,,high,
129,大字下郡732番地の7,南下郡14組の2C,下郡山の手,3,34,simogooriyamanote.pdf,,high,
130,大字下郡732番地の9,南下郡14組の2,下郡山の手,12,19,simogooriyamanote.pdf,,high,
131,大字下郡754番地の4,南下郡14組の2,下郡山の手,3,24,simogooriyamanote.pdf,,high,
132,大字下郡757番地,南下郡14組の2,下郡山の手,4,37,simogooriyamanote.pdf,,high,
133,★大字下郡757番地,南下郡14組の2,下郡山の手,4,37,simogooriyamanote.pdf,,high,★は法人行
134,大字下郡757番地,南下郡14組の2,下郡山の手,4,38,simogooriyamanote.pdf,,high,
135,★大字下郡757番地,南下郡14組の2,下郡山の手,4,38,simogooriyamanote.pdf,,high,★は法人行
136,大字下郡759番地の1,南下郡17組,下郡山の手,4,64,simogooriyamanote.pdf,,high,
137,大字下郡759番地の1,南下郡17組,下郡山の手,4,67,simogooriyamanote.pdf,,high,
138,大字下郡759番地の1,南下郡17組,下郡山の手,4,68,simogooriyamanote.pdf,,high,
139,大字下郡760番地の3,南下郡17組,下郡山の手,4,58,simogooriyamanote.pdf,,high,
140,大字下郡760番地の3,南下郡17組,下郡山の手,4,59,simogooriyamanote.pdf,,high,
141,大字下郡760番地の3,南下郡17組,下郡山の手,4,60,simogooriyamanote.pdf,,high,
142,大字下郡761番地の1,南下郡17組,下郡山の手,4,65,simogooriyamanote.pdf,,high,
143,大字下郡761番地の1,南下郡17組,下郡山の手,4,66,simogooriyamanote.pdf,,high,
144,大字下郡762番地の1,南下郡17組,下郡山の手,3,1,simogooriyamanote.pdf,,high,
145,大字下郡768番地の1,南下郡14組の5,下郡山の手,4,3,simogooriyamanote.pdf,,high,
146,大字下郡768番地の10,南下郡14組の5,下郡山の手,4,7,simogooriyamanote.pdf,,high,
147,大字下郡768番地の11,南下郡14組の5,下郡山の手,4,6,simogooriyamanote.pdf,,high,
148,大字下郡768番地の12,南下郡14組の5,下郡山の手,4,5,simogooriyamanote.pdf,,high,
149,大字下郡768番地の13,南下郡14組の5,下郡山の手,4,4,simogooriyamanote.pdf,,high,
150,大字下郡854番地の1,南下郡14組の5,下郡山の手,4,13,simogooriyamanote.pdf,,high,
151,大字下郡854番地の10,南下郡14組の5,下郡山の手,4,16,simogooriyamanote.pdf,,high,
152,★大字下郡854番地の8,,下郡山の手,4,18,simogooriyamanote.pdf,,high,★は法人行（資料上通称の記載なし）
153,大字下郡855番地の5,南下郡14組の5,下郡山の手,4,12,simogooriyamanote.pdf,,high,
154,大字下郡855番地の6,南下郡14組の5,下郡山の手,4,11,simogooriyamanote.pdf,,high,
155,大字下郡855番地の7,南下郡14組の5,下郡山の手,4,10,simogooriyamanote.pdf,,high,
156,大字下郡855番地の8,南下郡14組の5,下郡山の手,4,9,simogooriyamanote.pdf,,high,
157,大字下郡855番地の9,南下郡14組の5,下郡山の手,4,8,simogooriyamanote.pdf,,high,
158,大字下郡856番地の2,南下郡14組の3,下郡山の手,4,23,simogooriyamanote.pdf,,high,
159,大字下郡856番地の4,,下郡山の手,4,26,simogooriyamanote.pdf,,high,資料上通称の記載なし
160,大字下郡857番地の1,南下郡14組の2,下郡山の手,4,27,simogooriyamanote.pdf,,high,
161,大字下郡857番地の4,南下郡14組の2,下郡山の手,4,25,simogooriyamanote.pdf,,high,
162,大字下郡857番地の6,南下郡14組の2,下郡山の手,4,28,simogooriyamanote.pdf,,high,
163,大字下郡858番地,南下郡14組の2,下郡山の手,11,3,simogooriyamanote.pdf,,high,
164,大字下郡858番地,南下郡14組の2,下郡山の手,11,4,simogooriyamanote.pdf,,high,
165,大字下郡858番地,南下郡14組の2,下郡山の手,11,5,simogooriyamanote.pdf,,high,
166,大字下郡859番地の1,南下郡14組の1,下郡山の手,6,10,simogooriyamanote.pdf,,high,
167,大字下郡859番地の11,南下郡14組の1,下郡山の手,6,19,simogooriyamanote.pdf,,high,
168,大字下郡859番地の12,南下郡14組の1,下郡山の手,6,18,simogooriyamanote.pdf,,high,
169,大字下郡859番地の13,南下郡14組の1,下郡山の手,6,17,simogooriyamanote.pdf,,high,
170,大字下郡859番地の14,南下郡14組の1,下郡山の手,6,15,simogooriyamanote.pdf,,high,
171,大字下郡859番地の15,南下郡14組の1,下郡山の手,6,12,simogooriyamanote.pdf,,high,
172,大字下郡859番地の17,南下郡14組の1,下郡山の手,6,8,simogooriyamanote.pdf,,high,
173,大字下郡859番地の18,南下郡14組の1,下郡山の手,6,6,simogooriyamanote.pdf,,high,
174,大字下郡859番地の3,南下郡14組の3,下郡山の手,6,5,simogooriyamanote.pdf,,high,
175,大字下郡859番地の5,南下郡14組の1,下郡山の手,6,9,simogooriyamanote.pdf,,high,
176,大字下郡861番地の2,南下郡14組の1,下郡山の手,5,21,simogooriyamanote.pdf,,high,
177,大字下郡861番地の3,南下郡14組の1,下郡山の手,5,19,simogooriyamanote.pdf,,high,
178,大字下郡861番地の5,南下郡14組の1,下郡山の手,5,17,simogooriyamanote.pdf,,high,
179,大字下郡862番地の1,南下郡14組の3,下郡山の手,5,14,simogooriyamanote.pdf,,high,
180,大字下郡862番地の3,南下郡14組の1,下郡山の手,5,8,simogooriyamanote.pdf,,high,
181,大字下郡862番地の4,南下郡14組の1,下郡山の手,5,7,simogooriyamanote.pdf,,high,
182,大字下郡862番地の5,南下郡14組の1,下郡山の手,5,9,simogooriyamanote.pdf,,high,
