seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字永興130番地の9,二又町6組のE,二又町一丁目,1,5,kyuusinpdf.pdf,大字永興-1,high,
2,大字永興130番地の10,二又町6組のE,二又町一丁目,1,6,kyuusinpdf.pdf,大字永興-1,high,資料上3回出現
3,大字永興130番地の11,二又町6組のE,二又町一丁目,1,7,kyuusinpdf.pdf,大字永興-1,high,
4,大字永興142番地の1,二又町6組のB 藤ｺｰﾎﾟ1-101,二又町一丁目,1,18-101,kyuusinpdf.pdf,大字永興-1,high,
5,大字永興142番地の1,二又町6組のB 藤ｺｰﾎﾟ1-102,二又町一丁目,1,18-102,kyuusinpdf.pdf,大字永興-1,high,
6,大字永興142番地の1,二又町6組のB 藤ｺｰﾎﾟ1-103,二又町一丁目,1,18-103,kyuusinpdf.pdf,大字永興-1,high,
7,大字永興142番地の1,二又町6組のB 藤ｺｰﾎﾟ1-105,二又町一丁目,1,18-105,kyuusinpdf.pdf,大字永興-1,high,
8,大字永興142番地の1,二又町6組のB 藤ｺｰﾎﾟ1-201,二又町一丁目,1,18-201,kyuusinpdf.pdf,大字永興-1,high,
9,大字永興142番地の1,二又町6組のB 藤ｺｰﾎﾟ1-202,二又町一丁目,1,18-202,kyuusinpdf.pdf,大字永興-1,high,
10,大字永興142番地の1,二又町6組のB 藤ｺｰﾎﾟ1-203,二又町一丁目,1,18-203,kyuusinpdf.pdf,大字永興-1,high,
11,大字永興142番地の1,二又町6組のB 藤ｺｰﾎﾟ1-205,二又町一丁目,1,18-205,kyuusinpdf.pdf,大字永興-1,high,
12,大字永興142番地の1,二又町6組のB 藤ｺｰﾎﾟ1-301,二又町一丁目,1,18-301,kyuusinpdf.pdf,大字永興-2,high,
13,大字永興142番地の1,二又町6組のB 藤ｺｰﾎﾟ1-302,二又町一丁目,1,18-302,kyuusinpdf.pdf,大字永興-2,high,
14,大字永興142番地の1,二又町6組のB 藤ｺｰﾎﾟ1-303,二又町一丁目,1,18-303,kyuusinpdf.pdf,大字永興-2,high,
