seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字下判田578番地の25,京が丘南4丁目1番1号,京が丘南四丁目,1,1,kyuusin-kyougaoka.pdf,下判田-1,high,
2,大字下判田578番地の26,京が丘南4丁目1番2号,京が丘南四丁目,1,2,kyuusin-kyougaoka.pdf,下判田-1,high,
3,大字下判田578番地の27,京が丘南4丁目1番3号,京が丘南四丁目,1,3,kyuusin-kyougaoka.pdf,下判田-1,high,
4,大字下判田578番地の28,京が丘南4丁目1番4号,京が丘南四丁目,1,4,kyuusin-kyougaoka.pdf,下判田-1,high,
5,大字下判田578番地の29,京が丘南4丁目1番5号,京が丘南四丁目,1,5,kyuusin-kyougaoka.pdf,下判田-1,high,
6,大字下判田578番地の30,京が丘南4丁目1番6号,京が丘南四丁目,1,6,kyuusin-kyougaoka.pdf,下判田-1,high,
7,大字下判田578番地の31,京が丘南4丁目1番7号,京が丘南四丁目,1,7,kyuusin-kyougaoka.pdf,下判田-1,high,
8,大字下判田578番地の35,京が丘南4丁目2番1号,京が丘南四丁目,2,1,kyuusin-kyougaoka.pdf,下判田-1,high,
9,大字下判田578番地の36,京が丘南4丁目2番2号,京が丘南四丁目,2,2,kyuusin-kyougaoka.pdf,下判田-1,high,
10,大字下判田578番地の37,京が丘南4丁目2番3号,京が丘南四丁目,2,3,kyuusin-kyougaoka.pdf,下判田-1,high,
11,大字下判田578番地の38,京が丘南4丁目2番4号,京が丘南四丁目,2,4,kyuusin-kyougaoka.pdf,下判田-1,high,
12,大字下判田578番地の39,京が丘南4丁目2番5号,京が丘南四丁目,2,5,kyuusin-kyougaoka.pdf,下判田-1,high,
13,大字下判田578番地の40,京が丘南4丁目2番6号,京が丘南四丁目,2,6,kyuusin-kyougaoka.pdf,下判田-1,high,
14,大字下判田578番地の42,京が丘南4丁目2番8号,京が丘南四丁目,2,8,kyuusin-kyougaoka.pdf,下判田-2,high,
15,大字下判田578番地の43,京が丘南4丁目2番9号,京が丘南四丁目,2,9,kyuusin-kyougaoka.pdf,下判田-2,high,
16,大字下判田578番地の44,京が丘南4丁目2番10号,京が丘南四丁目,2,10,kyuusin-kyougaoka.pdf,下判田-2,high,
17,大字下判田578番地の45,京が丘南4丁目2番11号,京が丘南四丁目,2,11,kyuusin-kyougaoka.pdf,下判田-2,high,
18,大字下判田578番地の47,京が丘南4丁目3番1号,京が丘南四丁目,3,1,kyuusin-kyougaoka.pdf,下判田-2,high,
19,大字下判田578番地の48,京が丘南4丁目3番2号,京が丘南四丁目,3,2,kyuusin-kyougaoka.pdf,下判田-2,high,資料上2回出現
20,大字下判田578番地の49,京が丘南4丁目3番3号,京が丘南四丁目,3,3,kyuusin-kyougaoka.pdf,下判田-2,high,
21,大字下判田578番地の50,京が丘南4丁目3番4号,京が丘南四丁目,3,4,kyuusin-kyougaoka.pdf,下判田-2,high,
22,大字下判田578番地の51,京が丘南4丁目3番5号,京が丘南四丁目,3,5,kyuusin-kyougaoka.pdf,下判田-2,high,
23,大字下判田578番地の52,京が丘南4丁目3番6号,京が丘南四丁目,3,6,kyuusin-kyougaoka.pdf,下判田-2,high,
24,大字下判田578番地の53,京が丘南4丁目3番7号,京が丘南四丁目,3,7,kyuusin-kyougaoka.pdf,下判田-2,high,
25,大字下判田578番地の54,京が丘南4丁目3番8号,京が丘南四丁目,3,8,kyuusin-kyougaoka.pdf,下判田-2,high,
26,大字下判田578番地の55,京が丘南4丁目3番9号,京が丘南四丁目,3,9,kyuusin-kyougaoka.pdf,下判田-3,high,
27,大字下判田578番地の56,京が丘南4丁目3番21号,京が丘南四丁目,3,21,kyuusin-kyougaoka.pdf,下判田-3,high,
28,大字下判田578番地の57,京が丘南4丁目3番20号,京が丘南四丁目,3,20,kyuusin-kyougaoka.pdf,下判田-3,high,
29,大字下判田578番地の58,京が丘南4丁目3番19号,京が丘南四丁目,3,19,kyuusin-kyougaoka.pdf,下判田-3,high,
30,大字下判田578番地の59,京が丘南4丁目3番18号,京が丘南四丁目,3,18,kyuusin-kyougaoka.pdf,下判田-3,high,資料上2回出現
31,大字下判田578番地の60,京が丘南4丁目3番17号,京が丘南四丁目,3,17,kyuusin-kyougaoka.pdf,下判田-3,high,資料上2回出現
32,大字下判田578番地の61,京が丘南4丁目3番16号,京が丘南四丁目,3,16,kyuusin-kyougaoka.pdf,下判田-3,high,
33,大字下判田578番地の62,京が丘南4丁目3番15号,京が丘南四丁目,3,15,kyuusin-kyougaoka.pdf,下判田-3,high,
34,大字下判田578番地の63,京が丘南4丁目3番14号,京が丘南四丁目,3,14,kyuusin-kyougaoka.pdf,下判田-3,high,
35,大字下判田578番地の64,京が丘南4丁目3番13号,京が丘南四丁目,3,13,kyuusin-kyougaoka.pdf,下判田-3,high,
36,大字下判田578番地の65,京が丘南4丁目3番12号,京が丘南四丁目,3,12,kyuusin-kyougaoka.pdf,下判田-3,high,
37,大字下判田578番地の66,京が丘南4丁目3番10号,京が丘南四丁目,3,10,kyuusin-kyougaoka.pdf,下判田-4,high,資料上2回出現
38,大字下判田578番地の67,京が丘南4丁目3番11号,京が丘南四丁目,3,11,kyuusin-kyougaoka.pdf,下判田-4,high,
39,大字下判田578番地の68,京が丘南4丁目4番1号,京が丘南四丁目,4,1,kyuusin-kyougaoka.pdf,下判田-4,high,
40,大字下判田578番地の69,京が丘南4丁目4番2号,京が丘南四丁目,4,2,kyuusin-kyougaoka.pdf,下判田-4,high,
41,大字下判田578番地の70,京が丘南4丁目4番3号,京が丘南四丁目,4,3,kyuusin-kyougaoka.pdf,下判田-4,high,
42,大字下判田578番地の71,京が丘南4丁目4番4号,京が丘南四丁目,4,4,kyuusin-kyougaoka.pdf,下判田-4,high,
43,大字下判田578番地の72,京が丘南4丁目4番5号,京が丘南四丁目,4,5,kyuusin-kyougaoka.pdf,下判田-4,high,
