seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,京が丘南一丁目580番地の15,京が丘南一丁目7－14,京が丘南一丁目,7,14,kyougaoka.pdf,,high,
2,京が丘南一丁目580番地の16,京が丘南一丁目7－15,京が丘南一丁目,7,15,kyougaoka.pdf,,high,
3,京が丘南一丁目737番地の125,京が丘南一丁目14－1,京が丘南一丁目,14,1,kyougaoka.pdf,,high,
4,京が丘南一丁目737番地の126,京が丘南一丁目14－2,京が丘南一丁目,14,2,kyougaoka.pdf,,high,
5,京が丘南一丁目737番地の127,京が丘南一丁目14－3,京が丘南一丁目,14,3,kyougaoka.pdf,,high,
6,京が丘南一丁目737番地の128,京が丘南一丁目14－4,京が丘南一丁目,14,4,kyougaoka.pdf,,high,
7,京が丘南一丁目737番地の130,京が丘南一丁目14－5,京が丘南一丁目,14,5,kyougaoka.pdf,,high,
8,京が丘南一丁目737番地の131,京が丘南一丁目14－6,京が丘南一丁目,14,6,kyougaoka.pdf,,high,
9,京が丘南一丁目737番地の132,京が丘南一丁目14－7,京が丘南一丁目,14,7,kyougaoka.pdf,,high,
10,京が丘南一丁目737番地の133,京が丘南一丁目14－8,京が丘南一丁目,14,8,kyougaoka.pdf,,high,資料上2回出現
11,京が丘南一丁目824番地の14,,京が丘南一丁目,10,1,kyougaoka.pdf,,high,資料上通称の記載なし
12,京が丘南一丁目852番地の133,京が丘南一丁目6－3,京が丘南一丁目,6,3,kyougaoka.pdf,,high,
13,京が丘南一丁目852番地の14,京が丘南一丁目3－2,京が丘南一丁目,3,2,kyougaoka.pdf,,high,
14,京が丘南一丁目852番地の15,京が丘南一丁目3－3,京が丘南一丁目,3,3,kyougaoka.pdf,,high,
15,京が丘南一丁目852番地の16,京が丘南一丁目3－4,京が丘南一丁目,3,4,kyougaoka.pdf,,high,
16,京が丘南一丁目852番地の17,京が丘南一丁目3－5,京が丘南一丁目,3,5,kyougaoka.pdf,,high,
17,京が丘南一丁目852番地の19,京が丘南一丁目3－7,京が丘南一丁目,3,7,kyougaoka.pdf,,high,
18,京が丘南一丁目852番地の21,京が丘南一丁目4－1,京が丘南一丁目,4,1,kyougaoka.pdf,,high,資料上2回出現
19,京が丘南一丁目852番地の22,京が丘南一丁目4－2,京が丘南一丁目,4,2,kyougaoka.pdf,,high,
20,京が丘南一丁目852番地の23,京が丘南一丁目4－3,京が丘南一丁目,4,3,kyougaoka.pdf,,high,
21,京が丘南一丁目852番地の24,京が丘南一丁目4－4,京が丘南一丁目,4,4,kyougaoka.pdf,,high,
22,京が丘南一丁目852番地の25,京が丘南一丁目4－5,京が丘南一丁目,4,5,kyougaoka.pdf,,high,
23,京が丘南一丁目852番地の26,京が丘南一丁目4－6,京が丘南一丁目,4,6,kyougaoka.pdf,,high,資料上2回出現
24,京が丘南一丁目852番地の27,京が丘南一丁目4－7,京が丘南一丁目,4,7,kyougaoka.pdf,,high,
25,京が丘南一丁目852番地の28,京が丘南一丁目4－8,京が丘南一丁目,4,8,kyougaoka.pdf,,high,
26,京が丘南一丁目852番地の29,京が丘南一丁目5－1,京が丘南一丁目,5,1,kyougaoka.pdf,,high,
27,京が丘南一丁目852番地の30,京が丘南一丁目5－2,京が丘南一丁目,5,2,kyougaoka.pdf,,high,
28,京が丘南一丁目852番地の31,京が丘南一丁目5－3,京が丘南一丁目,5,3,kyougaoka.pdf,,high,
29,京が丘南一丁目852番地の32,京が丘南一丁目5－4,京が丘南一丁目,5,4,kyougaoka.pdf,,high,
30,京が丘南一丁目852番地の33,京が丘南一丁目5－5,京が丘南一丁目,5,5,kyougaoka.pdf,,high,
31,京が丘南一丁目852番地の34,京が丘南一丁目5－6,京が丘南一丁目,5,6,kyougaoka.pdf,,high,
