seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字光吉1233番地の1,光吉台21組370号,光吉台二丁目,3,7,mitsuyoshidai.xlsx,,high,
2,大字光吉1233番地の10,光吉台22組391号,光吉台二丁目,5,5,mitsuyoshidai.xlsx,,high,
3,大字光吉1233番地の11,光吉台22組390号,光吉台二丁目,5,6,mitsuyoshidai.xlsx,,high,
4,大字光吉1233番地の12,光吉台31組495号,光吉台三丁目,1,12,mitsuyoshidai.xlsx,,high,
5,大字光吉1233番地の13,光吉台31組494号,光吉台三丁目,1,11,mitsuyoshidai.xlsx,,high,
6,大字光吉1233番地の14,光吉台31組493号,光吉台三丁目,1,2,mitsuyoshidai.xlsx,,high,
7,大字光吉1233番地の15,光吉台31組496号,光吉台三丁目,1,1,mitsuyoshidai.xlsx,,high,
8,大字光吉1233番地の22,光吉台23組394号,光吉台二丁目,6,9,mitsuyoshidai.xlsx,,high,
9,大字光吉1233番地の23,光吉台23組395号,光吉台二丁目,6,10,mitsuyoshidai.xlsx,,high,
10,大字光吉1233番地の25,光吉台23組397号 ｴﾙｾｿﾞﾝ光吉,光吉台二丁目,6,12-102,mitsuyoshidai.xlsx,,high,
11,大字光吉1233番地の25,光吉台23組397号 ｴﾙｾｿﾞﾝ光吉,光吉台二丁目,6,12-201,mitsuyoshidai.xlsx,,high,
12,大字光吉1233番地の25,光吉台23組397号 ｴﾙｾｿﾞﾝ光吉,光吉台二丁目,6,12-202,mitsuyoshidai.xlsx,,high,
13,大字光吉1233番地の25,光吉台23組397号 ｴﾙｾｿﾞﾝ光吉,光吉台二丁目,6,12-301,mitsuyoshidai.xlsx,,high,
14,大字光吉1233番地の25,光吉台23組397号 ｴﾙｾｿﾞﾝ光吉,光吉台二丁目,6,12-302,mitsuyoshidai.xlsx,,high,
15,大字光吉1233番地の26,光吉台23組404号,光吉台二丁目,6,5,mitsuyoshidai.xlsx,,high,
16,大字光吉1233番地の27,光吉台23組405号,光吉台二丁目,6,6,mitsuyoshidai.xlsx,,high,
17,大字光吉1233番地の28,光吉台23組406号,光吉台二丁目,6,7,mitsuyoshidai.xlsx,,high,
18,大字光吉1233番地の3,光吉台22組389号,光吉台二丁目,5,7,mitsuyoshidai.xlsx,,high,
19,大字光吉1233番地の30,光吉台21組369号,光吉台二丁目,3,6,mitsuyoshidai.xlsx,,high,
20,大字光吉1233番地の31,光吉台21組368号,光吉台二丁目,3,5,mitsuyoshidai.xlsx,,high,
21,大字光吉1233番地の33,光吉台21組373号,光吉台二丁目,3,3,mitsuyoshidai.xlsx,,high,
22,大字光吉1233番地の34,光吉台21組372号,光吉台二丁目,3,2,mitsuyoshidai.xlsx,,high,
23,大字光吉1233番地の35,光吉台21組371号,光吉台二丁目,3,1,mitsuyoshidai.xlsx,,high,
24,大字光吉1233番地の36,光吉台21組379号,光吉台二丁目,4,8,mitsuyoshidai.xlsx,,high,
25,大字光吉1233番地の38,光吉台21組377号,光吉台二丁目,4,10,mitsuyoshidai.xlsx,,high,
26,大字光吉1233番地の39,光吉台21組376号,光吉台二丁目,4,11,mitsuyoshidai.xlsx,,high,
27,大字光吉1233番地の4,光吉台22組388号,光吉台二丁目,5,8,mitsuyoshidai.xlsx,,high,
28,大字光吉1233番地の40,光吉台21組375号 ﾌﾚｸﾞﾗﾝｽ光吉101,光吉台二丁目,4,1,mitsuyoshidai.xlsx,,high,
29,大字光吉1233番地の40,光吉台21組375号 ﾌﾚｸﾞﾗﾝｽ光吉102,光吉台二丁目,4,1,mitsuyoshidai.xlsx,,high,
30,大字光吉1233番地の40,光吉台21組375号 ﾌﾚｸﾞﾗﾝｽ光吉201,光吉台二丁目,4,1,mitsuyoshidai.xlsx,,high,
31,大字光吉1233番地の40,光吉台21組375号 ﾌﾚｸﾞﾗﾝｽ光吉202,光吉台二丁目,4,1,mitsuyoshidai.xlsx,,high,
32,大字光吉1233番地の41,光吉台22組384号,光吉台二丁目,4,2,mitsuyoshidai.xlsx,,high,
