seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字光吉1121番地の5,,光吉新町四丁目,21,3,sinmachi.xlsx,,high,
2,大字光吉1379番地,光吉新町2-1組 みつよし優心舘,光吉新町一丁目,14,20,sinmachi.xlsx,,high,
3,大字光吉1379番地,,光吉新町一丁目,14,20,sinmachi.xlsx,,high,
4,大字光吉1381番地の4,光吉新町2-1組,光吉新町一丁目,14,11,sinmachi.xlsx,,high,
5,大字光吉1764番地の3,光吉新町7-1-B,光吉新町四丁目,1,16,sinmachi.xlsx,,high,
6,大字光吉1764番地の4,光吉新町7-1-B,光吉新町四丁目,1,17,sinmachi.xlsx,,high,
7,大字光吉1764番地の5,光吉新町7-1-B,光吉新町四丁目,1,4,sinmachi.xlsx,,high,
8,大字光吉1764番地の6,光吉新町7-1-B,光吉新町四丁目,1,3,sinmachi.xlsx,,high,
9,大字光吉1764番地の7,光吉新町7-1-B,光吉新町四丁目,1,18,sinmachi.xlsx,,high,
10,大字光吉1764番地の8,光吉新町7-1-B,光吉新町四丁目,1,2,sinmachi.xlsx,,high,
11,大字光吉1764番地の10,光吉新町7-1-B,光吉新町四丁目,1,20,sinmachi.xlsx,,high,
12,大字光吉1764番地の10,,光吉新町四丁目,1,20,sinmachi.xlsx,,high,
13,大字光吉1764番地の12,光吉新町7-1-B,光吉新町四丁目,1,1,sinmachi.xlsx,,high,
14,大字光吉1770番地の2,光吉新町7-1-B,光吉新町四丁目,1,10,sinmachi.xlsx,,high,
15,大字光吉1770番地の3,光吉新町7-1-B,光吉新町四丁目,1,11,sinmachi.xlsx,,high,
16,大字光吉1770番地の4,光吉新町7-1-B,光吉新町四丁目,1,12,sinmachi.xlsx,,high,
17,大字光吉1770番地の5,光吉新町7-1-B,光吉新町四丁目,1,13,sinmachi.xlsx,,high,
18,大字光吉1770番地の7,光吉新町7-1-B,光吉新町四丁目,1,9,sinmachi.xlsx,,high,
