seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字上判田3200番地の6,判田台南4丁目6番11号,判田台南四丁目,6,11,hanndadai.pdf,,high,資料冒頭凡例「★は法人」
2,大字上判田3200番地の7,判田台南4丁目6番10号,判田台南四丁目,6,10,hanndadai.pdf,,high,
3,大字上判田3211番地の14,判田台南4丁目2番13号,判田台南四丁目,2,13,hanndadai.pdf,,high,
4,大字上判田3211番地の15,判田台南4丁目2番3号,判田台南四丁目,2,3,hanndadai.pdf,,high,
5,大字上判田3211番地の16,判田台南4丁目2番12号,判田台南四丁目,2,12,hanndadai.pdf,,high,
6,大字上判田3211番地の17,判田台南4丁目2番4号,判田台南四丁目,2,4,hanndadai.pdf,,high,
7,大字上判田3211番地の18,判田台南4丁目2番11号,判田台南四丁目,2,11,hanndadai.pdf,,high,
8,大字上判田3211番地の19,判田台南4丁目2番5号,判田台南四丁目,2,5,hanndadai.pdf,,high,
9,大字上判田3211番地の20,判田台南4丁目2番10号,判田台南四丁目,2,10,hanndadai.pdf,,high,
10,大字上判田3211番地の21,判田台南4丁目2番6号,判田台南四丁目,2,6,hanndadai.pdf,,high,
11,大字上判田3211番地の22,判田台南4丁目2番9号,判田台南四丁目,2,9,hanndadai.pdf,,high,
12,大字上判田3211番地の23,判田台南4丁目2番7号,判田台南四丁目,2,7,hanndadai.pdf,,high,
13,大字上判田3211番地の24,判田台南4丁目2番8号,判田台南四丁目,2,8,hanndadai.pdf,,high,
14,大字上判田3211番地の26,判田台南4丁目1番8号,判田台南四丁目,1,8,hanndadai.pdf,,high,
15,大字上判田3211番地の27,判田台南4丁目1番9号,判田台南四丁目,1,9,hanndadai.pdf,,high,
16,大字上判田3211番地の28,判田台南4丁目1番10号,判田台南四丁目,1,10,hanndadai.pdf,,high,
17,大字上判田3211番地の29,判田台南4丁目1番11号,判田台南四丁目,1,11,hanndadai.pdf,,high,
18,大字上判田3211番地の31,判田台南3丁目9番8号,判田台南三丁目,9,8,hanndadai.pdf,,high,
