seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字永興2番地の2,南太平寺6組,南太平寺四丁目,1,2,minamitaiheijiuedamachikyushinpdf.pdf,3,high,資料上2回出現
2,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅰ101,南太平寺四丁目,1,29,minamitaiheijiuedamachikyushinpdf.pdf,3,high,
3,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅰ102,南太平寺四丁目,1,29,minamitaiheijiuedamachikyushinpdf.pdf,3,high,
4,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅰ201,南太平寺四丁目,1,29,minamitaiheijiuedamachikyushinpdf.pdf,3,high,資料上2回出現
5,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅰ202,南太平寺四丁目,1,29,minamitaiheijiuedamachikyushinpdf.pdf,3,high,
6,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅴ101,南太平寺四丁目,1,30-101,minamitaiheijiuedamachikyushinpdf.pdf,3,high,
7,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅴ102,南太平寺四丁目,1,30-102,minamitaiheijiuedamachikyushinpdf.pdf,3,high,
8,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅴ201,南太平寺四丁目,1,30-201,minamitaiheijiuedamachikyushinpdf.pdf,3,high,
9,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅴ202,南太平寺四丁目,1,30-202,minamitaiheijiuedamachikyushinpdf.pdf,3,high,
10,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅴ301,南太平寺四丁目,1,30-301,minamitaiheijiuedamachikyushinpdf.pdf,3,high,
11,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅴ302,南太平寺四丁目,1,30-302,minamitaiheijiuedamachikyushinpdf.pdf,3,high,
12,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅳ101,南太平寺四丁目,1,31,minamitaiheijiuedamachikyushinpdf.pdf,4,high,
13,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅳ102,南太平寺四丁目,1,31,minamitaiheijiuedamachikyushinpdf.pdf,4,high,
14,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅳ201,南太平寺四丁目,1,31,minamitaiheijiuedamachikyushinpdf.pdf,4,high,
15,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅳ202,南太平寺四丁目,1,31,minamitaiheijiuedamachikyushinpdf.pdf,4,high,
16,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅲ101,南太平寺四丁目,1,32,minamitaiheijiuedamachikyushinpdf.pdf,4,high,
17,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅲ102,南太平寺四丁目,1,32,minamitaiheijiuedamachikyushinpdf.pdf,4,high,
18,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅲ201,南太平寺四丁目,1,32,minamitaiheijiuedamachikyushinpdf.pdf,4,high,
19,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅲ202,南太平寺四丁目,1,32,minamitaiheijiuedamachikyushinpdf.pdf,4,high,
20,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅱ101,南太平寺四丁目,1,33,minamitaiheijiuedamachikyushinpdf.pdf,4,high,
21,大字永興3番地の1,南太平寺6組の2 ﾌﾟﾘﾏｳﾞｪｰﾗETO-Ⅱ102,南太平寺四丁目,1,33,minamitaiheijiuedamachikyushinpdf.pdf,4,high,
