seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字古国府1番地の9,古国府8組の2,古国府一丁目,1,22-301,furugoutaisyoubo.pdf,p3,high,
2,大字古国府1番地の9,古国府8組の2,古国府一丁目,1,22-202,furugoutaisyoubo.pdf,p3,high,
3,大字古国府1番地の9,古国府8組の2,古国府一丁目,1,22-302,furugoutaisyoubo.pdf,p3,high,
4,大字古国府1番地の9,古国府8組の2,古国府一丁目,1,22-303,furugoutaisyoubo.pdf,p3,high,
5,大字古国府1番地の9,,古国府一丁目,1,22,furugoutaisyoubo.pdf,p3,high,資料上通称の記載なし
6,大字古国府4番地の1,古国府8組の2,古国府一丁目,2,24,furugoutaisyoubo.pdf,p3,high,
7,大字古国府4番地の1,古国府8組の2,古国府一丁目,1,16,furugoutaisyoubo.pdf,p3,high,
8,大字古国府4番地の1,古国府8組の2,古国府一丁目,1,17,furugoutaisyoubo.pdf,p3,high,
9,大字古国府4番地の1,古国府8組の2,古国府一丁目,2,22,furugoutaisyoubo.pdf,p3,high,
10,大字古国府4番地の7,古国府8組の2,古国府一丁目,2,27,furugoutaisyoubo.pdf,p3,high,
11,大字古国府6番地の7,古国府9組のA,古国府二丁目,1,5,furugoutaisyoubo.pdf,p3,high,
12,大字古国府6番地の8,古国府9-A,古国府二丁目,1,2,furugoutaisyoubo.pdf,p3,high,
13,大字古国府6番地の8,古国府9組のA,古国府二丁目,1,2,furugoutaisyoubo.pdf,p3,high,資料上2回出現
14,大字古国府6番地の12,古国府9組のA,古国府二丁目,1,4,furugoutaisyoubo.pdf,p4,high,
15,大字古国府7-1,,古国府一丁目,3,40,furugoutaisyoubo.pdf,p4,high,資料上通称の記載なし
16,大字古国府9,,古国府一丁目,2,38,furugoutaisyoubo.pdf,p4,high,資料上通称の記載なし
17,大字古国府9-1,,古国府一丁目,2,34,furugoutaisyoubo.pdf,p4,high,資料上通称の記載なし
18,大字古国府10番地の6,古国府9組のA,古国府一丁目,2,37,furugoutaisyoubo.pdf,p4,high,
19,大字古国府11番地,古国府9組のA,古国府一丁目,2,38,furugoutaisyoubo.pdf,p4,high,
