seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字国分210番地の1,国分台4組,国分台,12,12,kyuusin-kokubudai.pdf,国分-1,high,資料上2回出現
2,大字国分210番地の2,国分台4組,国分台,12,11,kyuusin-kokubudai.pdf,国分-1,high,資料上2回出現
3,大字国分214番地の2,国分台4組,国分台,9,12,kyuusin-kokubudai.pdf,国分-1,high,
4,大字国分214番地の4,国分台4組,国分台,9,16,kyuusin-kokubudai.pdf,国分-1,high,
5,大字国分215番地の2,国分台2組,国分台,1,1,kyuusin-kokubudai.pdf,国分-1,high,
6,大字国分215番地の3,国分台2組,国分台,1,4,kyuusin-kokubudai.pdf,国分-1,high,資料上3回出現
7,大字国分215番地の4,国分台2組,国分台,2,1,kyuusin-kokubudai.pdf,国分-1,high,
8,大字国分215番地の5,国分台2組,国分台,2,5,kyuusin-kokubudai.pdf,国分-1,high,
9,大字国分215番地の6,国分台2組,国分台,2,7,kyuusin-kokubudai.pdf,国分-1,high,資料上2回出現
10,大字国分215番地の7,国分台2組,国分台,3,1,kyuusin-kokubudai.pdf,国分-2,high,
11,大字国分215番地の8,国分台2組,国分台,3,5,kyuusin-kokubudai.pdf,国分-2,high,
12,大字国分215番地の9,国分台2組,国分台,3,8,kyuusin-kokubudai.pdf,国分-2,high,
13,大字国分215番地の10,国分台2組,国分台,8,1,kyuusin-kokubudai.pdf,国分-2,high,
14,大字国分215番地の11,国分台2組,国分台,8,3,kyuusin-kokubudai.pdf,国分-2,high,
15,大字国分215番地の12,国分台2組,国分台,7,17,kyuusin-kokubudai.pdf,国分-2,high,
16,大字国分215番地の13,国分台2組,国分台,7,14,kyuusin-kokubudai.pdf,国分-2,high,
17,大字国分215番地の16,国分台2組,国分台,7,2,kyuusin-kokubudai.pdf,国分-2,high,
18,大字国分215番地の17,国分台2組,国分台,7,11,kyuusin-kokubudai.pdf,国分-2,high,資料上2回出現
19,大字国分215番地の18,国分台2組,国分台,8,7,kyuusin-kokubudai.pdf,国分-2,high,
20,大字国分215番地の19,国分台2組,国分台,8,8,kyuusin-kokubudai.pdf,国分-2,high,
21,大字国分215番地の21,国分台2組,国分台,1,7,kyuusin-kokubudai.pdf,国分-2,high,
22,大字国分262番地の2,国分台1組,国分台,3,3,kyuusin-kokubudai.pdf,国分-2,high,
23,大字国分262番地の3,国分台1組,国分台,4,1,kyuusin-kokubudai.pdf,国分-2,high,資料上2回出現
24,大字国分262番地の4,国分台1組,国分台,4,3,kyuusin-kokubudai.pdf,国分-2,high,資料上2回出現
25,大字国分262番地の7,国分台1組,国分台,5,1,kyuusin-kokubudai.pdf,国分-2,high,
26,大字国分262番地の8,国分台1組,国分台,5,9,kyuusin-kokubudai.pdf,国分-2,high,
27,大字国分262番地の10,国分台1組,国分台,4,7,kyuusin-kokubudai.pdf,国分-2,high,
28,大字国分262番地の11,国分台1組,国分台,4,9,kyuusin-kokubudai.pdf,国分-2,high,
29,大字国分262番地の12,国分台1組,国分台,4,11,kyuusin-kokubudai.pdf,国分-2,high,
30,大字国分262番地の13,国分台1組,国分台,6,1,kyuusin-kokubudai.pdf,国分-2,high,資料上2回出現
31,大字国分262番地の14,国分台1組,国分台,6,20,kyuusin-kokubudai.pdf,国分-4,high,
32,大字国分262番地の15,国分台1組,国分台,6,19,kyuusin-kokubudai.pdf,国分-4,high,資料上2回出現
33,大字国分262番地の16,国分台1組,国分台,6,5,kyuusin-kokubudai.pdf,国分-4,high,
34,大字国分262番地の17,国分台1組,国分台,6,6,kyuusin-kokubudai.pdf,国分-4,high,
35,大字国分262番地の18,国分台1組,国分台,6,8,kyuusin-kokubudai.pdf,国分-4,high,
36,大字国分262番地の19,国分台1組,国分台,4,13,kyuusin-kokubudai.pdf,国分-4,high,資料上2回出現
37,大字国分262番地の20,国分台2組,国分台,4,16,kyuusin-kokubudai.pdf,国分-4,high,
38,大字国分262番地の21,国分台2組,国分台,7,3,kyuusin-kokubudai.pdf,国分-4,high,
39,大字国分262番地の22,国分台2組,国分台,7,8,kyuusin-kokubudai.pdf,国分-4,high,
40,大字国分262番地の24,国分台1組,国分台,6,16,kyuusin-kokubudai.pdf,国分-4,high,資料上2回出現
41,大字国分262番地の25,国分台1組,国分台,6,14,kyuusin-kokubudai.pdf,国分-4,high,
42,大字国分262番地の26,国分台1組,国分台,6,10,kyuusin-kokubudai.pdf,国分-4,high,
43,大字国分262番地の28,国分台4組,国分台,9,1,kyuusin-kokubudai.pdf,国分-4,high,資料上2回出現
44,大字国分262番地の29,国分台4組,国分台,9,20,kyuusin-kokubudai.pdf,国分-4,high,
45,大字国分281番地の2,国分台3組,国分台,10,10,kyuusin-kokubudai.pdf,国分-4,high,
46,大字国分281番地の3,国分台3組,国分台,10,12,kyuusin-kokubudai.pdf,国分-4,high,
47,大字国分281番地の7,国分台3組,国分台,10,1,kyuusin-kokubudai.pdf,国分-4,high,
48,大字国分281番地の9,国分台3組,国分台,10,18,kyuusin-kokubudai.pdf,国分-4,high,
49,大字国分281番地の10,国分台3組,国分台,10,19,kyuusin-kokubudai.pdf,国分-4,high,
50,大字国分281番地の11,国分台3組,国分台,10,20,kyuusin-kokubudai.pdf,国分-4,high,
51,大字国分281番地の12,国分台4組,国分台,9,5,kyuusin-kokubudai.pdf,国分-4,high,資料上2回出現
52,大字国分281番地の13,国分台4組,国分台,9,7,kyuusin-kokubudai.pdf,国分-6,high,資料上2回出現
53,大字国分281番地の15,国分台3組,国分台,10,5,kyuusin-kokubudai.pdf,国分-6,high,
54,大字国分281番地の16,国分台3組,国分台,10,4,kyuusin-kokubudai.pdf,国分-6,high,
55,大字国分281番地の17,国分台3組,国分台,10,2,kyuusin-kokubudai.pdf,国分-6,high,
56,大字国分281番地の18,国分台3組,国分台,11,11,kyuusin-kokubudai.pdf,国分-6,high,
57,大字国分281番地の21,国分台3組,国分台,11,6,kyuusin-kokubudai.pdf,国分-6,high,資料上2回出現
58,大字国分281番地の22,国分台3組,国分台,11,5,kyuusin-kokubudai.pdf,国分-6,high,
59,大字国分281番地の23,国分台3組,国分台,11,1,kyuusin-kokubudai.pdf,国分-6,high,
60,大字国分281番地の24,国分台4組,国分台,12,5,kyuusin-kokubudai.pdf,国分-6,high,資料上3回出現
61,大字国分281番地の25,国分台4組,国分台,12,1,kyuusin-kokubudai.pdf,国分-6,high,
62,大字国分281番地の26,国分台4組,国分台,12,6,kyuusin-kokubudai.pdf,国分-6,high,
63,大字国分281番地の31,国分台3組,国分台,10,16,kyuusin-kokubudai.pdf,国分-6,high,
64,大字国分291番地の2,国分台4組,国分台,9,17,kyuusin-kokubudai.pdf,国分-6,high,
