seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字永興604番地の2,城南南町3組,城南南二丁目,4,32,jyonan.pdf,永興-1,high,
2,大字永興604番地の3,城南南町3組,城南南二丁目,4,29,jyonan.pdf,永興-1,high,
3,大字永興604番地の5,城南南町3組,城南南二丁目,6,6,jyonan.pdf,永興-1,high,
4,大字永興604番地の6,城南南町3組,城南南一丁目,9,1,jyonan.pdf,永興-1,high,
5,大字永興604番地の7,城南南町3組,城南南一丁目,9,24,jyonan.pdf,永興-1,high,
6,大字永興604番地の8,城南南町3組,城南南一丁目,9,23,jyonan.pdf,永興-1,high,
7,大字永興604番地の9,城南南町3組,城南南一丁目,9,21,jyonan.pdf,永興-1,high,
8,大字永興604番地の10,城南南町3組,城南南一丁目,9,19,jyonan.pdf,永興-1,high,資料上2回出現
9,大字永興604番地の11,城南南町3組,城南南一丁目,9,17,jyonan.pdf,永興-1,high,
10,大字永興604番地の12,城南南町3組,城南南一丁目,9,12,jyonan.pdf,永興-1,high,
11,大字永興604番地の13,城南南町4組,城南南一丁目,7,16,jyonan.pdf,永興-1,high,
12,大字永興604番地の14,城南南町4組,城南南一丁目,7,14,jyonan.pdf,永興-1,high,
13,大字永興604番地の15,城南南町4組,城南南一丁目,7,13,jyonan.pdf,永興-2,high,資料上2回出現
14,大字永興604番地の16,城南南町4組,城南南一丁目,7,24,jyonan.pdf,永興-2,high,資料上2回出現
15,大字永興604番地の17,城南南町4組,城南南一丁目,7,26,jyonan.pdf,永興-2,high,資料上3回出現
16,大字永興604番地の19,城南南町4組,城南南一丁目,7,30,jyonan.pdf,永興-2,high,
17,大字永興604番地の20,城南南町4組,城南南一丁目,7,32,jyonan.pdf,永興-2,high,
18,大字永興604番地の21,城南南町4組,城南南一丁目,7,36,jyonan.pdf,永興-2,high,
19,大字永興604番地の22,城南南町4組,城南南一丁目,7,1,jyonan.pdf,永興-2,high,
20,大字永興604番地の23,城南南町4組,城南南一丁目,7,4,jyonan.pdf,永興-2,high,
21,大字永興604番地の24,城南南町4組,城南南一丁目,7,5,jyonan.pdf,永興-2,high,
22,大字永興604番地の25,城南南町4組,城南南一丁目,7,7,jyonan.pdf,永興-3,high,
23,大字永興604番地の26,城南南町4組,城南南一丁目,7,9,jyonan.pdf,永興-3,high,資料上2回出現
24,大字永興604番地の27,城南南町4組,城南南一丁目,7,11,jyonan.pdf,永興-3,high,
25,大字永興字弁財天604番30号,城南団地南町1組,城南南一丁目,1,8,jyonan.pdf,永興-3,high,書式外住所(小字付き)
26,大字永興604番地の37,城南南町2組,城南南二丁目,1,4,jyonan.pdf,永興-3,high,資料上2回出現
27,大字永興604番地の38,城南南町2組,城南南二丁目,1,6,jyonan.pdf,永興-3,high,
28,大字永興604番地の39,城南南町2組,城南南二丁目,1,1,jyonan.pdf,永興-3,high,
29,大字永興604番地の59,城南南町4組,城南南一丁目,7,27,jyonan.pdf,永興-3,high,
30,大字永興604番地の60,城南南町3組,城南南一丁目,9,22,jyonan.pdf,永興-3,high,
31,大字永興609番地の2,城南南町2組,城南南二丁目,2,3,jyonan.pdf,永興-3,high,
32,大字永興609番地の3,城南南町2組,城南南二丁目,2,7,jyonan.pdf,永興-3,high,
33,大字永興609番地の4,城南南町2組,城南南二丁目,2,10,jyonan.pdf,永興-4,high,
34,大字永興609番地の5,城南南町2組,城南南二丁目,2,11,jyonan.pdf,永興-4,high,
