seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字上宗方802番地の5,宗方台西1-1,宗方台西,1,1,munakatadai.pdf,,high,
2,大字上宗方802番地の6,宗方台西1-2,宗方台西,1,2,munakatadai.pdf,,high,
3,大字上宗方802番地の7,宗方台西1-3,宗方台西,1,3,munakatadai.pdf,,high,
4,大字上宗方802番地の8,宗方台西1-4,宗方台西,1,4,munakatadai.pdf,,high,
5,大字上宗方802番地の10,宗方台東1-1,宗方台東,1,1,munakatadai.pdf,,high,
6,大字上宗方802番地の11,宗方台東1-2,宗方台東,1,2,munakatadai.pdf,,high,
7,大字上宗方802番地の12,宗方台東1-9,宗方台東,1,9,munakatadai.pdf,,high,
8,大字上宗方802番地の13,宗方台東1-10,宗方台東,1,10,munakatadai.pdf,,high,
9,大字上宗方802番地の14,宗方台東1-11,宗方台東,1,11,munakatadai.pdf,,high,
10,大字上宗方802番地の15,宗方台東2-3,宗方台東,2,3,munakatadai.pdf,,high,
11,大字上宗方802番地の16,宗方台東2-4,宗方台東,2,4,munakatadai.pdf,,high,
12,大字上宗方802番地の17,宗方台東2-5,宗方台東,2,5,munakatadai.pdf,,high,
13,大字上宗方802番地の19,宗方台東2-7,宗方台東,2,7,munakatadai.pdf,,high,
14,大字上宗方802番地の22,宗方台東2-12,宗方台東,2,12,munakatadai.pdf,,high,
15,大字上宗方802番地の23,宗方台東2-13,宗方台東,2,13,munakatadai.pdf,,high,
16,大字上宗方802番地の24,宗方台東2-14,宗方台東,2,14,munakatadai.pdf,,high,
17,大字上宗方802番地の25,宗方台東2-15,宗方台東,2,15,munakatadai.pdf,,high,
18,大字上宗方802番地の26,宗方台東2-16,宗方台東,2,16,munakatadai.pdf,,high,
19,大字上宗方802番地の27,宗方台東4-1,宗方台東,4,1,munakatadai.pdf,,high,
20,大字上宗方802番地の28,宗方台東4-2,宗方台東,4,2,munakatadai.pdf,,high,
21,大字上宗方802番地の29,宗方台東4-3,宗方台東,4,3,munakatadai.pdf,,high,
22,大字上宗方802番地の31,宗方台東4-5,宗方台東,4,5,munakatadai.pdf,,high,
23,大字上宗方802番地の32,宗方台東4-6,宗方台東,4,6,munakatadai.pdf,,high,
24,大字上宗方802番地の33,宗方台東4-7,宗方台東,4,7,munakatadai.pdf,,high,
25,大字上宗方802番地の35,宗方台東4-13,宗方台東,4,13,munakatadai.pdf,,high,
26,大字上宗方802番地の36,宗方台東4-14,宗方台東,4,14,munakatadai.pdf,,high,
27,大字上宗方802番地の37,宗方台東4-15,宗方台東,4,15,munakatadai.pdf,,high,
28,大字上宗方802番地の38,宗方台東4-16,宗方台東,4,16,munakatadai.pdf,,high,
29,大字上宗方802番地の39,宗方台東5-1,宗方台東,5,1,munakatadai.pdf,,high,
30,大字上宗方802番地の40,宗方台東5-2,宗方台東,5,2,munakatadai.pdf,,high,
31,大字上宗方802番地の41,宗方台東5-3,宗方台東,5,3,munakatadai.pdf,,high,
32,大字上宗方802番地の42,宗方台東5-4,宗方台東,5,4,munakatadai.pdf,,high,
33,大字上宗方802番地の43,宗方台東5-5,宗方台東,5,5,munakatadai.pdf,,high,
34,大字上宗方802番地の44,宗方台東5-6,宗方台東,5,6,munakatadai.pdf,,high,
35,大字上宗方802番地の45,宗方台東5-7,宗方台東,5,7,munakatadai.pdf,,high,
36,大字上宗方802番地の46,宗方台東5-11,宗方台東,5,11,munakatadai.pdf,,high,
37,大字上宗方802番地の47,宗方台東5-12,宗方台東,5,12,munakatadai.pdf,,high,
