seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字寒田1092番地の39,寒田わかば台90号,寒田わかば台,2,7,soudawakabadai.pdf,,high,
2,大字寒田1092番地の42,寒田わかば台87号,寒田わかば台,3,7,soudawakabadai.pdf,,high,
3,大字寒田1092番地の43,寒田わかば台1号,寒田わかば台,2,5,soudawakabadai.pdf,,high,
4,大字寒田1092番地の44,寒田わかば台2号,寒田わかば台,2,4,soudawakabadai.pdf,,high,
5,大字寒田1092番地の45,寒田わかば台3号,寒田わかば台,2,3,soudawakabadai.pdf,,high,
6,大字寒田1092番地の46,寒田わかば台4号,寒田わかば台,2,2,soudawakabadai.pdf,,high,
7,大字寒田1092番地の47,寒田わかば台5号,寒田わかば台,2,1,soudawakabadai.pdf,,high,
8,大字寒田1092番地の48,寒田わかば台12号,寒田わかば台,3,8,soudawakabadai.pdf,,high,
9,大字寒田1092番地の51,寒田わかば台1号,寒田わかば台,2,6,soudawakabadai.pdf,,high,
10,大字寒田1117番地の5,寒田わかば台89号,寒田わかば台,11,3,soudawakabadai.pdf,,high,
11,大字寒田1117番地の6,寒田わかば台83号,寒田わかば台,11,4,soudawakabadai.pdf,,high,
12,大字寒田1117番地の7,寒田わかば台84号,寒田わかば台,11,5,soudawakabadai.pdf,,high,
13,大字寒田1117番地の8,寒田わかば台85号,寒田わかば台,11,6,soudawakabadai.pdf,,high,
14,大字宮崎1451番地の5,寒田わかば台6号,寒田わかば台,1,1,soudawakabadai.pdf,,high,
15,★大字宮崎字軒田1451-6,,寒田わかば台,1,4,soudawakabadai.pdf,,high,★(法人)行、資料上通称欄の記載なし
16,大字宮崎1451番地の9,寒田わかば台10号,寒田わかば台,1,5,soudawakabadai.pdf,,high,
17,大字宮崎1451番地の10,寒田わかば台11号,寒田わかば台,1,6,soudawakabadai.pdf,,high,
18,大字宮崎1451番地の11,寒田わかば台88号,寒田わかば台,1,7,soudawakabadai.pdf,,high,
19,大字宮崎1451番地の16,寒田わかば台13号,寒田わかば台,3,9,soudawakabadai.pdf,,high,
20,大字宮崎1451番地の17,寒田わかば台14号,寒田わかば台,3,10,soudawakabadai.pdf,,high,
21,大字宮崎1451番地の18,寒田わかば台15号,寒田わかば台,3,11,soudawakabadai.pdf,,high,
22,大字宮崎1451番地の19,寒田わかば台16号,寒田わかば台,3,1,soudawakabadai.pdf,,high,
23,大字宮崎1451番地の20,寒田わかば台17号,寒田わかば台,3,6,soudawakabadai.pdf,,high,
24,大字宮崎1451番地の21,寒田わかば台18号,寒田わかば台,3,5,soudawakabadai.pdf,,high,
25,大字宮崎1451番地の22,寒田わかば台19号,寒田わかば台,3,4,soudawakabadai.pdf,,high,
26,大字宮崎1451番地の23,寒田わかば台20号,寒田わかば台,3,3,soudawakabadai.pdf,,high,
27,大字宮崎1451番地の24,寒田わかば台21,寒田わかば台,3,2,soudawakabadai.pdf,,high,
28,大字宮崎1451番地の25,寒田わかば台22,寒田わかば台,4,1,soudawakabadai.pdf,,high,
29,大字宮崎1451番地の26,寒田わかば台23号,寒田わかば台,4,2,soudawakabadai.pdf,,high,
30,大字宮崎1451番地の27,寒田わかば台24号,寒田わかば台,4,3,soudawakabadai.pdf,,high,
31,大字宮崎1451番地の28,寒田わかば台25,寒田わかば台,4,4,soudawakabadai.pdf,,high,
32,大字宮崎1451番地の29,寒田わかば台26,寒田わかば台,4,5,soudawakabadai.pdf,,high,
33,大字宮崎1451番地の30,寒田わかば台27号,寒田わかば台,4,6,soudawakabadai.pdf,,high,
34,大字宮崎1451番地の31,寒田わかば台28,寒田わかば台,4,11,soudawakabadai.pdf,,high,
