seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字荏隈1番地の1,尼ケ瀬4組,尼が瀬三丁目,10,7,amagasehokataisyoubo.pdf,,high,
2,大字荏隈15番地の1,尼ケ瀬2組,尼が瀬二丁目,6,24,amagasehokataisyoubo.pdf,,high,
3,大字荏隈16番地1,,尼が瀬二丁目,6,18,amagasehokataisyoubo.pdf,,high,資料上通称の記載なし
4,大字荏隈16番地の2,尼ケ瀬2組,尼が瀬二丁目,6,26,amagasehokataisyoubo.pdf,,high,
5,大字荏隈18番地の1,尼ケ瀬2組の1,尼が瀬二丁目,6,29,amagasehokataisyoubo.pdf,,high,
6,大字荏隈25番地,尼ケ瀬1組の1,尼が瀬二丁目,5,12,amagasehokataisyoubo.pdf,,high,
7,大字荏隈26番地,尼ケ瀬1組の1 ｿﾚｲﾕみなみA－1,尼が瀬二丁目,5,13,amagasehokataisyoubo.pdf,,high,
8,大字荏隈26番地,尼ケ瀬1組の1 ｿﾚｲﾕみなみA－2,尼が瀬二丁目,5,13,amagasehokataisyoubo.pdf,,high,
9,大字荏隈26番地,尼ケ瀬1組の1 ｿﾚｲﾕみなみB1,尼が瀬二丁目,5,14,amagasehokataisyoubo.pdf,,high,
10,大字荏隈26番地,尼ケ瀬1組の1,尼が瀬二丁目,5,18,amagasehokataisyoubo.pdf,,high,
11,大字荏隈27番地,尼ケ瀬1組の1,尼が瀬二丁目,5,20,amagasehokataisyoubo.pdf,,high,
12,大字荏隈27番地,尼ケ瀬1組の1,尼が瀬二丁目,5,21,amagasehokataisyoubo.pdf,,high,
13,大字荏隈27番地の1,尼ケ瀬1組の1,尼が瀬二丁目,5,22,amagasehokataisyoubo.pdf,,high,
14,大字荏隈30番地の1,尼ケ瀬2組の1,尼が瀬二丁目,6,38,amagasehokataisyoubo.pdf,,high,
15,大字荏隈31番地,尼ケ瀬2組の1,尼が瀬二丁目,6,40,amagasehokataisyoubo.pdf,,high,
16,大字荏隈32番地,尼ケ瀬2組,尼が瀬二丁目,6,32,amagasehokataisyoubo.pdf,,high,
17,大字荏隈32番地,尼ケ瀬2組,尼が瀬二丁目,6,33,amagasehokataisyoubo.pdf,,high,
18,大字荏隈33番地の1,尼ケ瀬2組の1,尼が瀬二丁目,6,11,amagasehokataisyoubo.pdf,,high,
19,大字荏隈33番地の2,尼ケ瀬2組の1,尼が瀬二丁目,6,13,amagasehokataisyoubo.pdf,,high,
20,大字荏隈33番地の4,尼ケ瀬2組,尼が瀬二丁目,6,8,amagasehokataisyoubo.pdf,,high,
21,大字荏隈35番地,尼ケ瀬1組の1,尼が瀬二丁目,6,1,amagasehokataisyoubo.pdf,,high,資料上2回出現
22,大字荏隈35番地,尼ケ瀬1組の1,尼が瀬二丁目,6,3,amagasehokataisyoubo.pdf,,high,
23,大字荏隈36番地の3,尼ケ瀬1組の1,尼が瀬二丁目,6,5,amagasehokataisyoubo.pdf,,high,
24,大字荏隈37番地,尼ケ瀬1組の1,尼が瀬二丁目,6,2,amagasehokataisyoubo.pdf,,high,
25,大字荏隈37番地の2,尼ケ瀬1組の1,尼が瀬二丁目,6,43,amagasehokataisyoubo.pdf,,high,
26,大字荏隈37番地の3,尼ケ瀬1組の1,尼が瀬二丁目,6,42,amagasehokataisyoubo.pdf,,high,
27,大字荏隈39番地,尼ケ瀬1組の2 ﾆｭｰｼﾃｨM101,尼が瀬二丁目,5,1,amagasehokataisyoubo.pdf,,high,
28,大字荏隈39番地,尼ケ瀬1組の2 ﾆｭｰｼﾃｨM102,尼が瀬二丁目,5,1,amagasehokataisyoubo.pdf,,high,
29,大字荏隈39番地,尼ケ瀬1組の2 ﾆｭｰｼﾃｨM103,尼が瀬二丁目,5,1,amagasehokataisyoubo.pdf,,high,
30,大字荏隈39番地,尼ケ瀬1組の2 ﾆｭｰｼﾃｨM201,尼が瀬二丁目,5,1,amagasehokataisyoubo.pdf,,high,資料上2回出現
31,大字荏隈39番地,尼ケ瀬1組の2 ﾆｭｰｼﾃｨM202,尼が瀬二丁目,5,1,amagasehokataisyoubo.pdf,,high,
32,大字荏隈39番地,尼ケ瀬1組の2 ﾆｭｰｼﾃｨM203,尼が瀬二丁目,5,1,amagasehokataisyoubo.pdf,,high,
33,大字荏隈41番地,尼ケ瀬1組の1,尼が瀬二丁目,5,24,amagasehokataisyoubo.pdf,,high,
34,大字荏隈42番地,尼ケ瀬1組の1,尼が瀬二丁目,4,17,amagasehokataisyoubo.pdf,,high,資料上2回出現
35,大字荏隈43番地の3,尼ケ瀬1組の1,尼が瀬二丁目,4,31,amagasehokataisyoubo.pdf,,high,
36,大字荏隈43番地の3,尼ケ瀬1組の1,尼が瀬二丁目,4,32,amagasehokataisyoubo.pdf,,high,
37,大字荏隈43番地の4,尼ケ瀬1組の1,尼が瀬二丁目,4,33,amagasehokataisyoubo.pdf,,high,
