seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字羽屋600番地1,,花園三丁目,3,1,hirosematitaisyoubo.pdf,3,high,資料上2回出現
2,大字羽屋600番地の10,,花園三丁目,2,10,hirosematitaisyoubo.pdf,3,high,
3,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府101,花園二丁目,11,11-101,hirosematitaisyoubo.pdf,3,high,
4,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府102,花園二丁目,11,11-102,hirosematitaisyoubo.pdf,3,high,
5,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府103,花園二丁目,11,11-103,hirosematitaisyoubo.pdf,3,high,
6,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府201,花園二丁目,11,11-201,hirosematitaisyoubo.pdf,3,high,
7,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府202,花園二丁目,11,11-202,hirosematitaisyoubo.pdf,3,high,
8,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府203,花園二丁目,11,11-203,hirosematitaisyoubo.pdf,3,high,
9,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府205,花園二丁目,11,11-205,hirosematitaisyoubo.pdf,3,high,
10,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府301,花園二丁目,11,11-301,hirosematitaisyoubo.pdf,3,high,
11,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府302,花園二丁目,11,11-302,hirosematitaisyoubo.pdf,3,high,
12,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府303,花園二丁目,11,11-303,hirosematitaisyoubo.pdf,4,high,資料上2回出現
13,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府305,花園二丁目,11,11-305,hirosematitaisyoubo.pdf,4,high,
14,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府401,花園二丁目,11,11-401,hirosematitaisyoubo.pdf,4,high,
15,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府403,花園二丁目,11,11-403,hirosematitaisyoubo.pdf,4,high,
16,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府405,花園二丁目,11,11-405,hirosematitaisyoubo.pdf,4,high,
17,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府501,花園二丁目,11,11-501,hirosematitaisyoubo.pdf,4,high,
18,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府502,花園二丁目,11,11-502,hirosematitaisyoubo.pdf,4,high,
19,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府503,花園二丁目,11,11-503,hirosematitaisyoubo.pdf,4,high,
20,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府505,花園二丁目,11,11-505,hirosematitaisyoubo.pdf,4,high,
21,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府601,花園二丁目,11,11-601,hirosematitaisyoubo.pdf,4,high,
22,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府602,花園二丁目,11,11-602,hirosematitaisyoubo.pdf,4,high,
23,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府603,花園二丁目,11,11-603,hirosematitaisyoubo.pdf,4,high,
24,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府605,花園二丁目,11,11-605,hirosematitaisyoubo.pdf,5,high,
25,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府701,花園二丁目,11,11-701,hirosematitaisyoubo.pdf,5,high,
26,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府702,花園二丁目,11,11-702,hirosematitaisyoubo.pdf,5,high,
27,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府703,花園二丁目,11,11-703,hirosematitaisyoubo.pdf,5,high,
28,大字羽屋727番地の1,花園17組の6 ｶｰｻ豊府705,花園二丁目,11,11-705,hirosematitaisyoubo.pdf,5,high,
29,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園201,花園二丁目,11,13-201,hirosematitaisyoubo.pdf,5,high,
30,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園202,花園二丁目,11,13-202,hirosematitaisyoubo.pdf,5,high,
31,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園203,花園二丁目,11,13-203,hirosematitaisyoubo.pdf,5,high,
32,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園204,花園二丁目,11,13-204,hirosematitaisyoubo.pdf,5,high,
33,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園301,花園二丁目,11,13-301,hirosematitaisyoubo.pdf,5,high,
34,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園302,花園二丁目,11,13-302,hirosematitaisyoubo.pdf,5,high,
35,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園303,花園二丁目,11,13-303,hirosematitaisyoubo.pdf,5,high,
36,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園304,花園二丁目,11,13-304,hirosematitaisyoubo.pdf,5,high,
37,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園401,花園二丁目,11,13-401,hirosematitaisyoubo.pdf,6,high,
38,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園402,花園二丁目,11,13-402,hirosematitaisyoubo.pdf,6,high,
39,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園403,花園二丁目,11,13-403,hirosematitaisyoubo.pdf,6,high,
40,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園404,花園二丁目,11,13-404,hirosematitaisyoubo.pdf,6,high,
41,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園501,花園二丁目,11,13-501,hirosematitaisyoubo.pdf,6,high,
42,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園502,花園二丁目,11,13-502,hirosematitaisyoubo.pdf,6,high,
43,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園503,花園二丁目,11,13-503,hirosematitaisyoubo.pdf,6,high,
44,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園504,花園二丁目,11,13-504,hirosematitaisyoubo.pdf,6,high,
45,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園601,花園二丁目,11,13-601,hirosematitaisyoubo.pdf,6,high,
46,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園602,花園二丁目,11,13-602,hirosematitaisyoubo.pdf,6,high,
47,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園603,花園二丁目,11,13-603,hirosematitaisyoubo.pdf,6,high,
48,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園604,花園二丁目,11,13-604,hirosematitaisyoubo.pdf,6,high,
49,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園701,花園二丁目,11,13-701,hirosematitaisyoubo.pdf,6,high,
50,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園702,花園二丁目,11,13-702,hirosematitaisyoubo.pdf,7,high,
51,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園703,花園二丁目,11,13-703,hirosematitaisyoubo.pdf,7,high,
52,大字羽屋727番地の3,花園17組の7 ｲｰﾀｶﾘｰﾅ花園704,花園二丁目,11,13-704,hirosematitaisyoubo.pdf,7,high,
53,大字羽屋730番地の1,花園17組 ﾌﾗﾜｰｶﾞｰﾃﾞﾝ豊府101,花園二丁目,11,5-101,hirosematitaisyoubo.pdf,7,high,
54,大字羽屋730番地の1,花園17組 ﾌﾗﾜｰｶﾞｰﾃﾞﾝ豊府102,花園二丁目,11,5-102,hirosematitaisyoubo.pdf,7,high,資料上2回出現
55,大字羽屋730番地の1,花園17組 ﾌﾗﾜｰｶﾞｰﾃﾞﾝ豊府103,花園二丁目,11,5-103,hirosematitaisyoubo.pdf,7,high,
56,大字羽屋730番地の1,花園17組 ﾌﾗﾜｰｶﾞｰﾃﾞﾝ豊府104,花園二丁目,11,5-104,hirosematitaisyoubo.pdf,7,high,資料上2回出現
57,大字羽屋730番地の1,花園17組 ﾌﾗﾜｰｶﾞｰﾃﾞﾝ豊府201,花園二丁目,11,5-201,hirosematitaisyoubo.pdf,7,high,
58,大字羽屋730番地の1,花園17組 ﾌﾗﾜｰｶﾞｰﾃﾞﾝ豊府202,花園二丁目,11,5-202,hirosematitaisyoubo.pdf,7,high,
59,大字羽屋730番地の1,花園17組 ﾌﾗﾜｰｶﾞｰﾃﾞﾝ豊府203,花園二丁目,11,5-203,hirosematitaisyoubo.pdf,7,high,
60,大字羽屋730番地の1,花園17組 ﾌﾗﾜｰｶﾞｰﾃﾞﾝ豊府204,花園二丁目,11,5-204,hirosematitaisyoubo.pdf,7,high,
