seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字勢家1100番地の3,新川西17組,新川西二丁目,5,1,shinkawanishitaisyobo202202.xlsx(大分市オープンデータカタログ経由),,high,
2,大字勢家1100番地の6,新川西17組,新川西二丁目,5,1,shinkawanishitaisyobo202202.xlsx(大分市オープンデータカタログ経由),,high,
3,大字勢家1100番地の12,新川西17組,新川西二丁目,5,11,shinkawanishitaisyobo202202.xlsx(大分市オープンデータカタログ経由),,high,
4,大字勢家1100番地の13,新川西17組,新川西二丁目,5,5,shinkawanishitaisyobo202202.xlsx(大分市オープンデータカタログ経由),,high,
5,大字勢家1100番地の14,新川西17組,新川西二丁目,5,7,shinkawanishitaisyobo202202.xlsx(大分市オープンデータカタログ経由),,high,
6,大字勢家1100番地の15,新川西17組,新川西二丁目,5,12,shinkawanishitaisyobo202202.xlsx(大分市オープンデータカタログ経由),,high,
7,大字勢家1100番地の16,新川西17組,新川西二丁目,5,20,shinkawanishitaisyobo202202.xlsx(大分市オープンデータカタログ経由),,high,
8,大字勢家1100番地の17,新川西17組,新川西二丁目,5,17,shinkawanishitaisyobo202202.xlsx(大分市オープンデータカタログ経由),,high,資料上2回出現
9,大字勢家1100番地の18,新川西17組,新川西二丁目,5,14,shinkawanishitaisyobo202202.xlsx(大分市オープンデータカタログ経由),,high,
10,大字勢家1103番地の3,新川西8組の3 ｻﾝﾃﾗｽ新川101,新川西一丁目,3,1-101,shinkawanishitaisyobo202202.xlsx(大分市オープンデータカタログ経由),,high,
11,大字勢家1103番地の3,新川西8組の3 ｻﾝﾃﾗｽ新川102,新川西一丁目,3,1-102,shinkawanishitaisyobo202202.xlsx(大分市オープンデータカタログ経由),,high,
12,大字勢家1103番地の3,新川西8組の3 ｻﾝﾃﾗｽ新川103,新川西一丁目,3,1-103,shinkawanishitaisyobo202202.xlsx(大分市オープンデータカタログ経由),,high,
13,大字勢家1103番地の3,新川西8組の3 ｻﾝﾃﾗｽ新川104,新川西一丁目,3,1-104,shinkawanishitaisyobo202202.xlsx(大分市オープンデータカタログ経由),,high,
14,大字勢家1103番地の3,新川西8組の3 ｻﾝﾃﾗｽ新川105,新川西一丁目,3,1-105,shinkawanishitaisyobo202202.xlsx(大分市オープンデータカタログ経由),,high,
15,大字勢家1103番地の3,新川西8組の3 ｻﾝﾃﾗｽ新川106,新川西一丁目,3,1-106,shinkawanishitaisyobo202202.xlsx(大分市オープンデータカタログ経由),,high,
16,大字勢家1103番地の3,新川西8組の3 ｻﾝﾃﾗｽ新川107,新川西一丁目,3,1-107,shinkawanishitaisyobo202202.xlsx(大分市オープンデータカタログ経由),,high,
