seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字荏隈279番地の1,明磧町5組の4 SuncityENOKUMAⅠ101,明磧町一丁目,8,6-101,akegawarataisyoubo.pdf,荏隈-3,high,
2,大字荏隈279番地の1,明磧町5組の4 SuncityENOKUMAⅠ102,明磧町一丁目,8,6-102,akegawarataisyoubo.pdf,荏隈-3,high,
3,大字荏隈279番地の1,明磧町5組の4 SuncityENOKUMAⅠ103,明磧町一丁目,8,6-103,akegawarataisyoubo.pdf,荏隈-3,high,
4,大字荏隈279番地の1,明磧町5組の4 SuncityENOKUMAⅠ105,明磧町一丁目,8,6-105,akegawarataisyoubo.pdf,荏隈-3,high,
5,大字荏隈279番地の1,明磧町5組の4 SuncityENOKUMAⅠ201,明磧町一丁目,8,6-201,akegawarataisyoubo.pdf,荏隈-3,high,資料上2回出現
6,大字荏隈279番地の1,明磧町5組の4 SuncityENOKUMAⅠ202,明磧町一丁目,8,6-202,akegawarataisyoubo.pdf,荏隈-3,high,
7,大字荏隈279番地の1,明磧町5組の4 SuncityENOKUMAⅠ203,明磧町一丁目,8,6-203,akegawarataisyoubo.pdf,荏隈-3,high,
8,大字荏隈279番地の1,明磧町5組の4 久永ｺｰﾎﾟA205,明磧町一丁目,8,6-205,akegawarataisyoubo.pdf,荏隈-3,high,
9,大字荏隈279番地の1,明磧町5組の4 SuncityENOKUMAⅠ301,明磧町一丁目,8,6-301,akegawarataisyoubo.pdf,荏隈-3,high,
10,大字荏隈279番地の1,明磧町5組の4 SuncityENOKUMAⅠ302,明磧町一丁目,8,6-302,akegawarataisyoubo.pdf,荏隈-3,high,
11,大字荏隈279番地の1,明磧町5組の4 SuncityENOKUMAⅠ303,明磧町一丁目,8,6-303,akegawarataisyoubo.pdf,荏隈-4,high,
12,大字荏隈279番地の1,明磧町5組の4 SuncityENOKUMAⅠ305,明磧町一丁目,8,6-305,akegawarataisyoubo.pdf,荏隈-4,high,
13,大字荏隈279番地の1,明磧町5組の4 久永ｺｰﾎﾟA501,明磧町一丁目,8,6-501,akegawarataisyoubo.pdf,荏隈-4,high,資料上2回出現
14,大字荏隈279番地の1,明磧町5組の4 SuncityENOKUMAⅠ502,明磧町一丁目,8,6-502,akegawarataisyoubo.pdf,荏隈-4,high,
15,大字荏隈279番地の1,明磧町5組の4 SuncityENOKUMAⅠ503,明磧町一丁目,8,6-503,akegawarataisyoubo.pdf,荏隈-4,high,
16,大字荏隈279番地の1,明磧町5組の4 SuncityENOKUMAⅠ505,明磧町一丁目,8,6-505,akegawarataisyoubo.pdf,荏隈-4,high,
17,大字荏隈280番地の1,明磧町5組の5 SuncityENOKUMAⅡ101,明磧町一丁目,8,9-101,akegawarataisyoubo.pdf,荏隈-4,high,
