seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字千歳337番地の1,コモンライフ高城1,東原一丁目,1,4,higasibaru.pdf,,high,
2,大字千歳337番地の2,コモンライフ高城1-8,東原一丁目,3,4,higasibaru.pdf,,high,資料上2回出現
3,大字千歳337番地の3,コモンライフ高城1-9,東原一丁目,3,3,higasibaru.pdf,,high,
4,大字千歳337番地の5,コモンライフ高城1-2,東原一丁目,3,10,higasibaru.pdf,,high,資料上2回出現
5,大字千歳337番地の6,コモンライフ高城1-3,東原一丁目,3,9,higasibaru.pdf,,high,
6,大字千歳337番地の7,コモンライフ高城1-4,東原一丁目,3,8,higasibaru.pdf,,high,
7,大字千歳337番地の8,コモンライフ高城1-5,東原一丁目,3,7,higasibaru.pdf,,high,
8,大字千歳337番地の9,コモンライフ高城1-7,東原一丁目,3,5,higasibaru.pdf,,high,資料上2回出現
9,大字千歳337番地の10,コモンライフ高城1-6,東原一丁目,3,6,higasibaru.pdf,,high,資料上2回出現
10,大字千歳337番地の11,コモンライフ高城2-1,東原一丁目,4,1,higasibaru.pdf,,high,資料上2回出現
11,大字千歳337番地の12,コモンライフ高城2-2,東原一丁目,4,2,higasibaru.pdf,,high,
12,大字千歳337番地の13,コモンライフ高城2-3,東原一丁目,4,3,higasibaru.pdf,,high,
13,大字千歳337番地の14,コモンライフ高城2-4,東原一丁目,4,4,higasibaru.pdf,,high,
14,大字千歳337番地の15,コモンライフ高城4-1,東原一丁目,6,1,higasibaru.pdf,,high,
15,大字千歳337番地の16,コモンライフ高城4-14,東原一丁目,6,14,higasibaru.pdf,,high,
16,大字千歳337番地の18,コモンライフ高城4-13,東原一丁目,6,13,higasibaru.pdf,,high,
17,大字千歳337番地の19,コモンライフ高城4-3,東原一丁目,6,3,higasibaru.pdf,,high,
18,大字千歳337番地の20,コモンライフ高城4-12,東原一丁目,6,12,higasibaru.pdf,,high,
19,大字千歳337番地の21,コモンライフ高城4-4,東原一丁目,6,4,higasibaru.pdf,,high,
20,大字千歳337番地の22,コモンライフ高城4-11,東原一丁目,6,11,higasibaru.pdf,,high,資料上2回出現
21,大字千歳337番地の23,コモンライフ高城4-5,東原一丁目,6,5,higasibaru.pdf,,high,
22,大字千歳337番地の24,コモンライフ高城4-10,東原一丁目,6,10,higasibaru.pdf,,high,
23,大字千歳337番地の25,コモンライフ高城4-6,東原一丁目,6,6,higasibaru.pdf,,high,
24,大字千歳337番地の26,コモンライフ高城4-9,東原一丁目,6,9,higasibaru.pdf,,high,
25,大字千歳337番地の27,コモンライフ高城4-7,東原一丁目,6,7,higasibaru.pdf,,high,
26,大字千歳337番地の28,コモンライフ高城4-8,東原一丁目,6,8,higasibaru.pdf,,high,
27,大字千歳337番地の30,コモンライフ高城5-1,東原一丁目,5,1,higasibaru.pdf,,high,資料上2回出現
28,大字千歳337番地の31,コモンライフ高城5-2,東原一丁目,5,2,higasibaru.pdf,,high,
29,大字千歳337番地の33,コモンライフ高城5-3,東原一丁目,5,3,higasibaru.pdf,,high,
30,大字千歳337番地の35,コモンライフ高城5-4,東原一丁目,5,4,higasibaru.pdf,,high,
31,大字千歳337番地の36,コモンライフ高城7-1,東原一丁目,7,1,higasibaru.pdf,,high,
32,大字千歳337番地の37,コモンライフ高城7-11,東原一丁目,7,11,higasibaru.pdf,,high,
33,大字千歳337番地の38,コモンライフ高城7-2,東原一丁目,7,2,higasibaru.pdf,,high,
34,大字千歳337番地の40,コモンライフ高城7-3,東原一丁目,7,3,higasibaru.pdf,,high,
35,大字千歳337番地の42,コモンライフ高城7-4,東原一丁目,7,4,higasibaru.pdf,,high,
36,大字千歳337番地の44,コモンライフ高城7-5,東原一丁目,7,5,higasibaru.pdf,,high,
37,大字千歳337番地の46,コモンライフ高城7-6,東原一丁目,7,6,higasibaru.pdf,,high,資料上2回出現
38,大字千歳337番地の49,コモンライフ高城8-1,東原一丁目,9,1,higasibaru.pdf,,high,
39,大字千歳337番地の50,コモンライフ高城8-10,東原一丁目,9,10,higasibaru.pdf,,high,
40,大字千歳337番地の51,コモンライフ高城8-2,東原一丁目,9,2,higasibaru.pdf,,high,
41,大字千歳337番地の53,コモンライフ高城8-3,東原一丁目,9,3,higasibaru.pdf,,high,
42,大字千歳337番地の54,コモンライフ高城8-8,東原一丁目,9,9,higasibaru.pdf,,high,
43,大字千歳337番地の55,コモンライフ高城8-4,東原一丁目,9,4,higasibaru.pdf,,high,
44,大字千歳337番地の56,コモンライフ高城8-7,東原一丁目,9,7,higasibaru.pdf,,high,資料上2回出現
45,大字千歳337番地の57,コモンライフ高城8-5,東原一丁目,9,5,higasibaru.pdf,,high,
46,大字千歳337番地の58,コモンライフ高城8-6,東原一丁目,9,6,higasibaru.pdf,,high,
47,大字千歳337番地の59,コモンライフ高城11-1,東原一丁目,10,1,higasibaru.pdf,,high,
48,大字千歳337番地の60,コモンライフ高城11-2,東原一丁目,10,2,higasibaru.pdf,,high,
49,大字千歳337番地の61,コモンライフ高城9-1,東原一丁目,13,1,higasibaru.pdf,,high,
50,大字千歳337番地の64,コモンライフ高城9-12,東原一丁目,13,12,higasibaru.pdf,,high,
51,大字千歳337番地の75,コモンライフ高城10-1,東原一丁目,11,1,higasibaru.pdf,,high,
52,大字千歳337番地の76,コモンライフ高城10-8,東原一丁目,11,8,higasibaru.pdf,,high,
53,大字千歳337番地の77,コモンライフ高城10-4,東原一丁目,11,4,higasibaru.pdf,,high,資料上2回出現
54,大字千歳337番地の85,コモンライフ高城11-4,東原一丁目,10,4,higasibaru.pdf,,high,
55,大字千歳337番地の86,コモンライフ高城11-3,東原一丁目,10,3,higasibaru.pdf,,high,
56,大字千歳337番地の87,コモンライフ高城12-1,東原一丁目,12,1,higasibaru.pdf,,high,資料上2回出現、★=法人表記
57,大字千歳337番地の88,コモンライフ高城12-2,東原一丁目,12,2,higasibaru.pdf,,high,
58,大字千歳337番地の89,コモンライフ高城12-3,東原一丁目,12,3,higasibaru.pdf,,high,
59,大字千歳337番地の90,コモンライフ高城12-4,東原一丁目,12,4,higasibaru.pdf,,high,
60,大字千歳337番地の91,コモンライフ高城12-5,東原一丁目,12,5,higasibaru.pdf,,high,
61,大字千歳337番地の92,コモンライフ高城12-6,東原一丁目,12,6,higasibaru.pdf,,high,
62,大字千歳337番地の94,コモンライフ高城12-8,東原一丁目,12,8,higasibaru.pdf,,high,資料上2回出現、★=法人表記
63,大字千歳337番地の97,コモンライフ高城12-7,東原一丁目,12,7,higasibaru.pdf,,high,資料上2回出現
64,大字千歳337番地の104,コモンライフ高城7-10,東原一丁目,7,10,higasibaru.pdf,,high,資料上2回出現
65,大字千歳337番地の105,コモンライフ高城7-9,東原一丁目,7,9,higasibaru.pdf,,high,
66,大字千歳337番地の106,コモンライフ高城7-8,東原一丁目,7,8,higasibaru.pdf,,high,資料上2回出現
67,大字千歳337番地の107,コモンライフ高城7-7,東原一丁目,7,7,higasibaru.pdf,,high,
68,大字千歳337番地の108,コモンライフ高城9-2,東原一丁目,13,2,higasibaru.pdf,,high,資料上2回出現
69,大字千歳337番地の109,コモンライフ高城9-3,東原一丁目,13,3,higasibaru.pdf,,high,
70,大字千歳337番地の110,コモンライフ高城9-4,東原一丁目,13,4,higasibaru.pdf,,high,
71,大字千歳337番地の111,コモンライフ高城9-5,東原一丁目,13,5,higasibaru.pdf,,high,
72,大字千歳337番地の113,コモンライフ高城9-7,東原一丁目,13,7,higasibaru.pdf,,high,資料上2回出現
73,大字千歳337番地の114,コモンライフ高城9-11,東原一丁目,13,11,higasibaru.pdf,,high,
74,大字千歳337番地の115,コモンライフ高城9-10,東原一丁目,13,10,higasibaru.pdf,,high,
75,大字千歳337番地の116,コモンライフ高城9-9,東原一丁目,13,9,higasibaru.pdf,,high,資料上2回出現
76,大字千歳337番地の117,コモンライフ高城9-8,東原一丁目,13,8,higasibaru.pdf,,high,
77,大字千歳337番地の118,コモンライフ高城10-7,東原一丁目,11,7,higasibaru.pdf,,high,資料上2回出現、★=法人表記
78,大字千歳337番地の119,コモンライフ高城10-6,東原一丁目,11,6,higasibaru.pdf,,high,
79,大字千歳337番地の120,コモンライフ高城10-5,東原一丁目,11,5,higasibaru.pdf,,high,
80,大字千歳337番地の122,コモンライフ高城10-2,東原一丁目,11,2,higasibaru.pdf,,high,資料上2回出現
81,大字千歳345番地の4,東原1-3-A,東原一丁目,15,25,higasibaru.pdf,,high,
82,大字千歳348番地の1,東原1-2,東原一丁目,17,3,higasibaru.pdf,,high,資料上2回出現
83,大字千歳350番地の1,東原1-2,東原一丁目,16,9,higasibaru.pdf,,high,資料上2回出現
84,大字千歳360番地の1,東原1組の2,東原一丁目,16,24,higasibaru.pdf,,high,
85,大字千歳360番地の3,東原1組の2,東原一丁目,16,23,higasibaru.pdf,,high,
86,大字千歳360番地の4,東原1組の2,東原一丁目,16,18,higasibaru.pdf,,high,
87,大字千歳360番地の5,東原1組の2,東原一丁目,16,12,higasibaru.pdf,,high,
88,大字千歳360番地の6,東原1組の2,東原一丁目,16,13,higasibaru.pdf,,high,
89,大字千歳362番地の2,東原1-2,東原一丁目,17,10,higasibaru.pdf,,high,資料上2回出現、★=法人表記
90,大字千歳362番地の6,東原1-2,東原一丁目,17,15,higasibaru.pdf,,high,資料上2回出現
91,大字千歳362番地の7,東原1-2,東原一丁目,17,16,higasibaru.pdf,,high,
92,大字千歳363番地の3,東原1-3,東原一丁目,19,3,higasibaru.pdf,,high,
93,大字千歳363番地の4,東原1-3-B,東原一丁目,19,4,higasibaru.pdf,,high,
94,大字千歳363番地の5,東原1-3,東原一丁目,19,5,higasibaru.pdf,,high,
95,大字千歳363番地の6,東原1-3,東原一丁目,19,6,higasibaru.pdf,,high,
96,大字千歳363番地の7,東原1-3,東原一丁目,19,8,higasibaru.pdf,,high,
97,大字千歳363番地の8,東原1-3,東原一丁目,19,10,higasibaru.pdf,,high,
98,大字千歳363番地の9,東原1-3,東原一丁目,19,11,higasibaru.pdf,,high,
99,大字千歳363-9,東原1-3,東原一丁目,19,11,higasibaru.pdf,,high,★=法人表記
100,大字千歳363番地の11,東原1-3,東原一丁目,19,13,higasibaru.pdf,,high,
101,大字千歳363番地の12,東原1-3,東原一丁目,19,14,higasibaru.pdf,,high,
102,大字千歳363番地の13,東原1-3,東原一丁目,19,15,higasibaru.pdf,,high,
103,大字千歳363番地の14,東原1-3,東原一丁目,20,12,higasibaru.pdf,,high,
104,大字千歳363番地の15,東原1-3,東原一丁目,20,10,higasibaru.pdf,,high,
105,大字千歳363番地の16,東原1-3,東原一丁目,20,8,higasibaru.pdf,,high,
106,大字千歳364番地の1,東原1-2,東原一丁目,17,8,higasibaru.pdf,,high,資料上2回出現、★=法人表記
107,大字千歳364番地の5,東原1-2,東原一丁目,17,5,higasibaru.pdf,,high,
108,大字千歳364番地の5,東原1組の2,東原一丁目,17,5,higasibaru.pdf,,high,★=法人表記
109,大字千歳364番地の6,東原1-2,東原一丁目,17,7,higasibaru.pdf,,high,資料上2回出現
110,大字千歳369番地の1,東原1-2,東原一丁目,19,19,higasibaru.pdf,,high,資料上2回出現
111,大字千歳369番地の6,東原1-2,東原一丁目,19,21,higasibaru.pdf,,high,
112,大字千歳371番地の1,東原1-3,東原一丁目,20,17,higasibaru.pdf,,high,資料上4回出現、★=法人表記
113,大字千歳371番地の5,東原1-2,東原一丁目,19,23,higasibaru.pdf,,high,
114,大字千歳376番地の5,東原1-2,東原一丁目,18,29,higasibaru.pdf,,high,
115,大字千歳376番地の6,高城団地8組,東原一丁目,18,30,higasibaru.pdf,,high,
116,大字千歳379番地の1,東原1-2,東原一丁目,18,38,higasibaru.pdf,,high,資料上2回出現
117,大字千歳379番地の4,東原1-2,東原一丁目,18,13,higasibaru.pdf,,high,
118,大字千歳380番地,東原1-2,東原一丁目,18,9,higasibaru.pdf,,high,
119,大字千歳381番地の1,東原1-2,東原一丁目,18,5,higasibaru.pdf,,high,
120,大字千歳384番地,東原1-2,東原一丁目,18,3,higasibaru.pdf,,high,
121,大字千歳385番地の1,東原1-2,東原一丁目,18,1,higasibaru.pdf,,high,資料上2回出現
122,大字千歳385番地の2,東原1-2,東原一丁目,18,2,higasibaru.pdf,,high,
123,大字牧1463番地,東原4,東原三丁目,6,20-101,higasibaru.pdf,,high,
124,大字牧1463番地,東原4,東原三丁目,6,20-102,higasibaru.pdf,,high,
125,大字牧1463番地,東原4,東原三丁目,6,20-103,higasibaru.pdf,,high,
126,大字牧1463番地,東原4,東原三丁目,6,20-104,higasibaru.pdf,,high,
127,大字牧1463番地,東原4,東原三丁目,6,20-105,higasibaru.pdf,,high,
128,大字牧1463番地,東原4,東原三丁目,6,20-106,higasibaru.pdf,,high,
129,大字牧1463番地,東原4,東原三丁目,6,20-107,higasibaru.pdf,,high,
130,大字牧1463番地,東原4,東原三丁目,6,20-108,higasibaru.pdf,,high,
131,大字牧1463番地,東原4,東原三丁目,6,20-201,higasibaru.pdf,,high,資料上2回出現
132,大字牧1463番地,東原4,東原三丁目,6,20-202,higasibaru.pdf,,high,
133,大字牧1463番地,東原4,東原三丁目,6,20-203,higasibaru.pdf,,high,
134,大字牧1463番地,東原4,東原三丁目,6,20-204,higasibaru.pdf,,high,
135,大字牧1463番地,東原4,東原三丁目,6,20-205,higasibaru.pdf,,high,
136,大字牧1463番地,東原4,東原三丁目,6,20-206,higasibaru.pdf,,high,資料上2回出現、★=法人表記
137,大字牧1463番地,東原4,東原三丁目,6,20-207,higasibaru.pdf,,high,
138,大字牧1463番地,東原4,東原三丁目,6,20-208,higasibaru.pdf,,high,
139,大字牧1463番地,東原4,東原三丁目,6,20-301,higasibaru.pdf,,high,
140,大字牧1463番地,東原4,東原三丁目,6,20-302,higasibaru.pdf,,high,
141,大字牧1463番地,東原4,東原三丁目,6,20-303,higasibaru.pdf,,high,
142,大字牧1463番地,東原4,東原三丁目,6,20-304,higasibaru.pdf,,high,
143,大字牧1463番地,東原4,東原三丁目,6,20-305,higasibaru.pdf,,high,
144,大字牧1463番地,東原4,東原三丁目,6,20-306,higasibaru.pdf,,high,
145,大字牧1463番地,東原4,東原三丁目,6,20-307,higasibaru.pdf,,high,
146,大字牧1463番地,東原4,東原三丁目,6,20-308,higasibaru.pdf,,high,
147,大字牧1463番地,東原4,東原三丁目,6,20-401,higasibaru.pdf,,high,
148,大字牧1463番地,東原4,東原三丁目,6,20-402,higasibaru.pdf,,high,
149,大字牧1463番地,東原4,東原三丁目,6,20-403,higasibaru.pdf,,high,
150,大字牧1463番地,東原4,東原三丁目,6,20-404,higasibaru.pdf,,high,
151,大字牧1463番地,東原4,東原三丁目,6,20-405,higasibaru.pdf,,high,
152,大字牧1463番地,東原4,東原三丁目,6,20-406,higasibaru.pdf,,high,
153,大字牧1463番地,東原4,東原三丁目,6,20-501,higasibaru.pdf,,high,
154,大字牧1463番地,東原4,東原三丁目,6,20-502,higasibaru.pdf,,high,
155,大字牧1463番地,東原4,東原三丁目,6,20-503,higasibaru.pdf,,high,
156,大字牧1463番地,東原4,東原三丁目,6,20-504,higasibaru.pdf,,high,
157,大字牧1463番地,東原4,東原三丁目,6,20-505,higasibaru.pdf,,high,
158,大字牧1463番地,東原4,東原三丁目,6,20-506,higasibaru.pdf,,high,
159,大字牧1465番地の2,東原2-4,東原三丁目,1,29,higasibaru.pdf,,high,資料上2回出現
160,大字牧1497番地の10,東原1-4,東原二丁目,1,45,higasibaru.pdf,,high,
161,大字牧1501番地の9,東原1-4,東原二丁目,2,4,higasibaru.pdf,,high,
162,大字牧1501-9,東原1-4,東原二丁目,2,4,higasibaru.pdf,,high,★=法人表記
