seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,松が丘59-15,,松が丘三丁目,1,15,matugaoka.pdf,,high,資料上通称の記載なし
2,松が丘61-5,,松が丘二丁目,10,5,matugaoka.pdf,,high,資料上3回出現、資料上通称の記載なし
3,松が丘63-5,,松が丘二丁目,1,5,matugaoka.pdf,,high,資料上通称の記載なし
4,松が丘69-12,,松が丘二丁目,11,12,matugaoka.pdf,,high,資料上通称の記載なし
5,大字小野鶴1453番地の1,松が丘84-7,松が丘二丁目,29,6,matugaoka.pdf,,high,資料上2回出現
6,大字小野鶴1453番地の3,松が丘84-6,松が丘二丁目,29,3,matugaoka.pdf,,high,
7,大字小野鶴1453番地の4,松が丘84-8,松が丘二丁目,29,4,matugaoka.pdf,,high,
8,大字小野鶴1453番地の5,松が丘84-5,松が丘二丁目,29,5,matugaoka.pdf,,high,
9,大字小野鶴1454番地の20,松が丘94-11,松が丘二丁目,30,3,matugaoka.pdf,,high,資料上2回出現
10,大字小野鶴1454番地の22,松が丘94-13,松が丘二丁目,30,1,matugaoka.pdf,,high,資料上2回出現
11,大字小野鶴1454番地の23,松が丘94-12,松が丘二丁目,30,2,matugaoka.pdf,,high,
12,大字小野鶴1454番地の25,松が丘94-14,松が丘二丁目,30,4,matugaoka.pdf,,high,資料上2回出現
13,大字小野鶴1454番地の27,松が丘94-21,松が丘二丁目,30,6,matugaoka.pdf,,high,
14,大字小野鶴1454番地の30,松が丘94-15,松が丘二丁目,30,7,matugaoka.pdf,,high,
15,大字小野鶴1454番地の32,松が丘94-17,松が丘二丁目,30,10,matugaoka.pdf,,high,
16,大字小野鶴1454番地の33,松が丘94-20,松が丘二丁目,30,9,matugaoka.pdf,,high,
17,大字小野鶴1454番地の37,松が丘94-25,松が丘二丁目,30,15,matugaoka.pdf,,high,資料上2回出現
18,大字小野鶴1454番地の38,松が丘94-24,松が丘二丁目,30,16,matugaoka.pdf,,high,
19,大字小野鶴1454番地の39,松が丘94-23,松が丘二丁目,30,17,matugaoka.pdf,,high,
20,大字小野鶴1454番地の45,松が丘94-16,松が丘二丁目,30,8,matugaoka.pdf,,high,
21,大字小野鶴1454番地の46,松が丘94-18,松が丘二丁目,30,11,matugaoka.pdf,,high,
22,大字小野鶴1454番地の50,松が丘94-26,松が丘二丁目,30,14,matugaoka.pdf,,high,
23,大字小野鶴1454番地の6,松が丘84-3,松が丘二丁目,29,7,matugaoka.pdf,,high,
24,大字小野鶴1470番地の6,松が丘82-6,松が丘二丁目,23,6,matugaoka.pdf,,high,
25,大字小野鶴1470番地の7,松が丘82-7,松が丘二丁目,23,7,matugaoka.pdf,,high,
26,大字小野鶴1470番地の8,松が丘82-8,松が丘二丁目,23,8,matugaoka.pdf,,high,
27,大字小野鶴1472番地の10,松が丘85-10,松が丘二丁目,21,10,matugaoka.pdf,,high,
28,大字小野鶴1472番地の11,松が丘85-11,松が丘二丁目,21,11,matugaoka.pdf,,high,
29,大字小野鶴1472番地の12,松が丘85-12,松が丘二丁目,21,12,matugaoka.pdf,,high,
30,大字小野鶴1472番地の13,松が丘85-13,松が丘二丁目,21,13,matugaoka.pdf,,high,
31,大字小野鶴1472番地の14,松が丘85-14,松が丘二丁目,21,14,matugaoka.pdf,,high,
32,大字小野鶴1472番地の15,松が丘85-15,松が丘二丁目,21,15,matugaoka.pdf,,high,
33,大字小野鶴1472番地の5,松が丘85-5,松が丘二丁目,21,5,matugaoka.pdf,,high,
34,大字小野鶴1472番地の6,松が丘85-6,松が丘二丁目,21,6,matugaoka.pdf,,high,
35,大字小野鶴1472番地の7,松が丘85-7,松が丘二丁目,21,7,matugaoka.pdf,,high,
36,大字小野鶴1472番地の8,松が丘85-8,松が丘二丁目,21,8,matugaoka.pdf,,high,
37,大字小野鶴1472番地の9,松が丘85-9,松が丘二丁目,21,9,matugaoka.pdf,,high,
38,大字小野鶴1473番地の3,松が丘88-3,松が丘二丁目,20,3,matugaoka.pdf,,high,
39,大字小野鶴1473番地の4,松が丘88-4,松が丘二丁目,20,4,matugaoka.pdf,,high,
40,大字小野鶴1473番地の5,松が丘88-5,松が丘二丁目,20,5,matugaoka.pdf,,high,
41,大字小野鶴1473番地の7,松が丘88-7,松が丘二丁目,20,7,matugaoka.pdf,,high,
42,大字小野鶴1473番地の8,松が丘88-8,松が丘二丁目,20,8,matugaoka.pdf,,high,
43,大字小野鶴1474番地の1,松が丘84-1,松が丘二丁目,29,1,matugaoka.pdf,,high,
44,大字小野鶴1485番地の5,松が丘65-5,松が丘二丁目,27,5,matugaoka.pdf,,high,資料上2回出現
45,大字小野鶴1485番地の6,松が丘65-6,松が丘二丁目,27,6,matugaoka.pdf,,high,
46,大字小野鶴1485番地の7,松が丘65-7,松が丘二丁目,27,7,matugaoka.pdf,,high,
47,大字小野鶴1485番地の8,松が丘65-8,松が丘二丁目,27,8,matugaoka.pdf,,high,
48,大字小野鶴1486番地の10,松が丘67-10,松が丘二丁目,26,10,matugaoka.pdf,,high,
49,大字小野鶴1486番地の11,松が丘67-11,松が丘二丁目,26,11,matugaoka.pdf,,high,
50,大字小野鶴1486番地の12,松が丘67-12,松が丘二丁目,26,12,matugaoka.pdf,,high,
51,大字小野鶴1486番地の13,松が丘67-13,松が丘二丁目,26,13,matugaoka.pdf,,high,資料上2回出現
52,大字小野鶴1486番地の14,松が丘67-14,松が丘二丁目,26,14,matugaoka.pdf,,high,
53,大字小野鶴1486番地の15,松が丘67-15,松が丘二丁目,26,15,matugaoka.pdf,,high,
54,大字小野鶴1486番地の16,松が丘67-16,松が丘二丁目,26,16,matugaoka.pdf,,high,
55,大字小野鶴1486番地の17,松が丘67-17,松が丘二丁目,26,17,matugaoka.pdf,,high,
56,大字小野鶴1486番地の4,松が丘67-4,松が丘二丁目,26,4,matugaoka.pdf,,high,
57,大字小野鶴1486番地の5,松が丘67-5,松が丘二丁目,26,5,matugaoka.pdf,,high,
58,大字小野鶴1486番地の6,松が丘67-6,松が丘二丁目,26,6,matugaoka.pdf,,high,
59,大字小野鶴1486番地の7,松が丘67-7,松が丘二丁目,26,7,matugaoka.pdf,,high,
60,大字小野鶴1486番地の8,,松が丘二丁目,26,8,matugaoka.pdf,,high,"1対多(通称違い: 通称なし, 松が丘67-8)、資料上通称の記載なし"
61,大字小野鶴1486番地の8,松が丘67-8,松が丘二丁目,26,8,matugaoka.pdf,,high,"1対多(通称違い: 通称なし, 松が丘67-8)"
62,大字小野鶴1486番地の9,松が丘67-9,松が丘二丁目,26,9,matugaoka.pdf,,high,資料上2回出現
63,大字小野鶴1487番地の10,松が丘68-10,松が丘二丁目,25,10,matugaoka.pdf,,high,
64,大字小野鶴1487番地の11,松が丘68-11,松が丘二丁目,25,11,matugaoka.pdf,,high,
65,大字小野鶴1487番地の12,松が丘68-12,松が丘二丁目,25,12,matugaoka.pdf,,high,資料上2回出現
66,大字小野鶴1487番地の14,松が丘68-14,松が丘二丁目,25,14,matugaoka.pdf,,high,
67,大字小野鶴1487番地の15,松が丘68-15,松が丘二丁目,25,15,matugaoka.pdf,,high,資料上2回出現
68,大字小野鶴1487番地の16,松が丘68-16,松が丘二丁目,25,16,matugaoka.pdf,,high,資料上3回出現
69,大字小野鶴1487番地の4,松が丘68-4,松が丘二丁目,25,4,matugaoka.pdf,,high,
70,大字小野鶴1487番地の5,松が丘68-5,松が丘二丁目,25,5,matugaoka.pdf,,high,
71,大字小野鶴1487番地の6,松が丘68-6,松が丘二丁目,25,6,matugaoka.pdf,,high,
72,大字小野鶴1487番地の9,松が丘68-9,松が丘二丁目,25,9,matugaoka.pdf,,high,
73,大字小野鶴1488番地の1,松が丘75-1,松が丘二丁目,24,1,matugaoka.pdf,,high,
74,大字小野鶴1488番地の10,松が丘75-10,松が丘二丁目,24,10,matugaoka.pdf,,high,
75,大字小野鶴1488番地の11,松が丘75-11,松が丘二丁目,24,11,matugaoka.pdf,,high,資料上2回出現
76,大字小野鶴1488番地の2,松が丘75-2,松が丘二丁目,24,2,matugaoka.pdf,,high,
77,大字小野鶴1488番地の3,松が丘75-3,松が丘二丁目,24,3,matugaoka.pdf,,high,
78,大字小野鶴1488番地の4,松が丘75-4,松が丘二丁目,24,4,matugaoka.pdf,,high,
79,大字小野鶴1488番地の5,松が丘75-5,松が丘二丁目,24,5,matugaoka.pdf,,high,
80,大字小野鶴1488番地の6,松が丘75-6,松が丘二丁目,24,6,matugaoka.pdf,,high,
81,大字小野鶴1488番地の7,松が丘75-7,松が丘二丁目,24,7,matugaoka.pdf,,high,
82,大字小野鶴1488番地の8,松が丘75-8,松が丘二丁目,24,8,matugaoka.pdf,,high,
83,大字小野鶴1488番地の9,松が丘75-9,松が丘二丁目,24,9,matugaoka.pdf,,high,
84,大字小野鶴1489番地の1,松が丘82-1,松が丘二丁目,23,1,matugaoka.pdf,,high,
85,大字小野鶴1489番地の2,松が丘82-2,松が丘二丁目,23,2,matugaoka.pdf,,high,
86,大字小野鶴1489番地の3,松が丘82-3,松が丘二丁目,23,4,matugaoka.pdf,,high,
87,大字小野鶴1491番地の1,松が丘76-1,松が丘二丁目,13,1,matugaoka.pdf,,high,
88,大字小野鶴1491番地の10,松が丘76-10,松が丘二丁目,13,10,matugaoka.pdf,,high,
89,大字小野鶴1491番地の11,松が丘76-11,松が丘二丁目,13,11,matugaoka.pdf,,high,
90,大字小野鶴1491番地の12,松が丘76-12,松が丘二丁目,13,12,matugaoka.pdf,,high,資料上3回出現
91,大字小野鶴1491番地の13,松が丘76-13,松が丘二丁目,13,13,matugaoka.pdf,,high,
92,大字小野鶴1491番地の14,松が丘76-14,松が丘二丁目,13,14,matugaoka.pdf,,high,資料上2回出現
93,大字小野鶴1491番地の2,松が丘76-2,松が丘二丁目,13,2,matugaoka.pdf,,high,
94,大字小野鶴1491番地の4,松が丘76-4,松が丘二丁目,13,4,matugaoka.pdf,,high,資料上2回出現
95,大字小野鶴1491番地の5,松が丘76-5,松が丘二丁目,13,5,matugaoka.pdf,,high,
96,大字小野鶴1491番地の6,松が丘76-6,松が丘二丁目,13,6,matugaoka.pdf,,high,
97,大字小野鶴1491番地の7,松が丘76-7,松が丘二丁目,13,7,matugaoka.pdf,,high,
98,大字小野鶴1491番地の9,松が丘76-9,松が丘二丁目,13,9,matugaoka.pdf,,high,
99,大字小野鶴1492番地の11,松が丘69-11,松が丘二丁目,11,11,matugaoka.pdf,,high,
100,大字小野鶴1492番地の13,松が丘69-13,松が丘二丁目,11,13,matugaoka.pdf,,high,
101,大字小野鶴1493番地の10,松が丘72-10,松が丘二丁目,12,10,matugaoka.pdf,,high,
102,大字小野鶴1493番地の8,松が丘72-8,松が丘二丁目,12,8,matugaoka.pdf,,high,
103,大字小野鶴1493番地の9,松が丘72-9,松が丘二丁目,12,9,matugaoka.pdf,,high,
104,大字小野鶴1494番地の10,松が丘77-10,松が丘二丁目,14,10,matugaoka.pdf,,high,
105,大字小野鶴1494番地の11,松が丘77-11,松が丘二丁目,14,11,matugaoka.pdf,,high,資料上2回出現
106,大字小野鶴1494番地の12,松が丘77-12,松が丘二丁目,14,12,matugaoka.pdf,,high,
107,大字小野鶴1494番地の8,松が丘77-8,松が丘二丁目,14,8,matugaoka.pdf,,high,資料上2回出現
108,大字小野鶴1494番地の9,松が丘77-9,松が丘二丁目,14,9,matugaoka.pdf,,high,
109,大字小野鶴1495番地の10,松が丘80-10,松が丘二丁目,15,10,matugaoka.pdf,,high,資料上2回出現
110,大字小野鶴1495番地の11,松が丘80-11,松が丘二丁目,15,11,matugaoka.pdf,,high,
111,大字小野鶴1495番地の12,松が丘80-12,松が丘二丁目,15,12,matugaoka.pdf,,high,
112,大字小野鶴1495番地の13,松が丘80-13,松が丘二丁目,15,13,matugaoka.pdf,,high,
113,大字小野鶴1495番地の8,松が丘80-7,松が丘二丁目,15,7,matugaoka.pdf,,high,"1対多(通称違い: 松が丘80-7, 松が丘80-8)"
114,大字小野鶴1495番地の8,松が丘80-8,松が丘二丁目,15,8,matugaoka.pdf,,high,"1対多(通称違い: 松が丘80-7, 松が丘80-8)"
115,大字小野鶴1495番地の9,,松が丘二丁目,15,9,matugaoka.pdf,,high,"1対多(通称違い: 通称なし, 松が丘80-9)、資料上通称の記載なし"
116,大字小野鶴1495番地の9,松が丘80-9,松が丘二丁目,15,9,matugaoka.pdf,,high,"1対多(通称違い: 通称なし, 松が丘80-9)"
117,大字小野鶴1496番地の10,松が丘83-10,松が丘二丁目,16,10,matugaoka.pdf,,high,
118,大字小野鶴1496番地の11,松が丘83-11,松が丘二丁目,16,11,matugaoka.pdf,,high,
119,大字小野鶴1496番地の9,松が丘83-9,松が丘二丁目,16,9,matugaoka.pdf,,high,
120,大字小野鶴1499番地の1,松が丘66-1,松が丘二丁目,28,1,matugaoka.pdf,,high,
121,大字小野鶴1499番地の2,松が丘66-2,松が丘二丁目,28,2,matugaoka.pdf,,high,
122,大字小野鶴1499番地の3,松が丘66-3,松が丘二丁目,28,3,matugaoka.pdf,,high,
123,大字小野鶴1499番地の4,松が丘66-4,松が丘二丁目,28,5,matugaoka.pdf,,high,
124,大字小野鶴1499番地の5,松が丘66-5,松が丘二丁目,28,4,matugaoka.pdf,,high,資料上2回出現
125,大字小野鶴1499番地の6,松が丘66-6,松が丘二丁目,28,6,matugaoka.pdf,,high,
126,大字小野鶴1520番地の10,松が丘71-10,松が丘二丁目,2,11,matugaoka.pdf,,high,資料上2回出現
127,大字小野鶴1520番地の7,松が丘71-7,松が丘二丁目,2,8,matugaoka.pdf,,high,
128,大字小野鶴1520番地の8,松が丘71-8,松が丘二丁目,2,9,matugaoka.pdf,,high,
129,大字小野鶴1520番地の9,松が丘71-9,松が丘二丁目,2,10,matugaoka.pdf,,high,資料上2回出現
130,大字小野鶴1521番地の1,松が丘70-1,松が丘二丁目,8,1,matugaoka.pdf,,high,
131,大字小野鶴1521番地の19,松が丘70-19,松が丘二丁目,8,19,matugaoka.pdf,,high,
132,大字小野鶴1521番地の21,松が丘70-21,松が丘二丁目,8,21,matugaoka.pdf,,high,
133,大字小野鶴1522番地の10,松が丘74-10,松が丘二丁目,3,10,matugaoka.pdf,,high,
134,大字小野鶴1522番地の11,,松が丘二丁目,3,11,matugaoka.pdf,,high,"1対多(通称違い: 通称なし, 松が丘74-11)、資料上通称の記載なし"
135,大字小野鶴1522番地の11,松が丘74-11,松が丘二丁目,3,11,matugaoka.pdf,,high,"1対多(通称違い: 通称なし, 松が丘74-11)"
136,大字小野鶴1522番地の12,松が丘74-12,松が丘二丁目,3,12,matugaoka.pdf,,high,
137,大字小野鶴1522番地の13,松が丘74-13,松が丘二丁目,3,13,matugaoka.pdf,,high,
138,大字小野鶴1522番地の5,松が丘74-5,松が丘二丁目,3,5,matugaoka.pdf,,high,
139,大字小野鶴1522番地の6,松が丘74-6,松が丘二丁目,3,6,matugaoka.pdf,,high,資料上2回出現
140,大字小野鶴1522番地の7,松が丘74-7,松が丘二丁目,3,7,matugaoka.pdf,,high,
141,大字小野鶴1522番地の8,松が丘74-8,松が丘二丁目,3,8,matugaoka.pdf,,high,
142,大字小野鶴1522番地の9,松が丘74-9,松が丘二丁目,3,9,matugaoka.pdf,,high,
143,大字小野鶴1523番地の1,松が丘73-1,松が丘二丁目,7,1,matugaoka.pdf,,high,
144,大字小野鶴1523番地の10,松が丘73-10,松が丘二丁目,7,10,matugaoka.pdf,,high,
145,大字小野鶴1523番地の14,松が丘73-14,松が丘二丁目,7,14,matugaoka.pdf,,high,
146,大字小野鶴1523番地の15,松が丘73-15,松が丘二丁目,7,15,matugaoka.pdf,,high,
147,大字小野鶴1523番地の16,松が丘73-16,松が丘二丁目,7,16,matugaoka.pdf,,high,
148,大字小野鶴1523番地の2,松が丘73-2,松が丘二丁目,7,2,matugaoka.pdf,,high,
149,大字小野鶴1523番地の3,松が丘73-3,松が丘二丁目,7,3,matugaoka.pdf,,high,
150,大字小野鶴1523番地の9,松が丘73-9,松が丘二丁目,7,9,matugaoka.pdf,,high,
151,大字小野鶴1525番地の1,松が丘78-1,松が丘二丁目,6,1,matugaoka.pdf,,high,
152,大字小野鶴1525番地の10,松が丘78-10,松が丘二丁目,6,10,matugaoka.pdf,,high,
153,大字小野鶴1525番地の11,松が丘78-11,松が丘二丁目,6,11,matugaoka.pdf,,high,
154,大字小野鶴1525番地の12,松が丘78-12,松が丘二丁目,6,12,matugaoka.pdf,,high,
155,大字小野鶴1525番地の13,松が丘78-13,松が丘二丁目,6,13,matugaoka.pdf,,high,
156,大字小野鶴1525番地の14,松が丘78-14,松が丘二丁目,6,14,matugaoka.pdf,,high,
157,大字小野鶴1525番地の15,松が丘78-15,松が丘二丁目,6,15,matugaoka.pdf,,high,
158,大字小野鶴1525番地の16,松が丘78-16,松が丘二丁目,6,16,matugaoka.pdf,,high,
159,大字小野鶴1525番地の2,松が丘78-2,松が丘二丁目,6,2,matugaoka.pdf,,high,
160,大字小野鶴1525番地の3,松が丘78-3,松が丘二丁目,6,3,matugaoka.pdf,,high,
161,大字小野鶴1525番地の4,松が丘78-4,松が丘二丁目,6,4,matugaoka.pdf,,high,資料上2回出現
162,大字小野鶴1525番地の5,松が丘78-5,松が丘二丁目,6,5,matugaoka.pdf,,high,
163,大字小野鶴1525番地の6,松が丘78-6,松が丘二丁目,6,6,matugaoka.pdf,,high,"1対多(旧住所違い: 大字小野鶴1525番地の6, 大字小野鶴字深迫1525番地の6)"
164,大字小野鶴1525番地の7,松が丘78-7,松が丘二丁目,6,7,matugaoka.pdf,,high,
165,大字小野鶴1525番地の8,松が丘78-8,松が丘二丁目,6,8,matugaoka.pdf,,high,
166,大字小野鶴1525番地の9,松が丘78-9,松が丘二丁目,6,9,matugaoka.pdf,,high,
167,大字小野鶴1526番地の1,松が丘81-1,松が丘二丁目,5,1,matugaoka.pdf,,high,
168,大字小野鶴1526番地の10,松が丘81-10,松が丘二丁目,5,10,matugaoka.pdf,,high,
169,大字小野鶴1526番地の11,松が丘81-11,松が丘二丁目,5,11,matugaoka.pdf,,high,
170,大字小野鶴1526番地の12,松が丘81-12,松が丘二丁目,5,12,matugaoka.pdf,,high,
171,大字小野鶴1526番地の13,松が丘81-13,松が丘二丁目,5,13,matugaoka.pdf,,high,
172,大字小野鶴1526番地の2,松が丘81-2,松が丘二丁目,5,2,matugaoka.pdf,,high,
173,大字小野鶴1526番地の3,松が丘81-3,松が丘二丁目,5,3,matugaoka.pdf,,high,
174,大字小野鶴1526番地の4,松が丘81-4,松が丘二丁目,5,4,matugaoka.pdf,,high,
175,大字小野鶴1526番地の5,松が丘81-5,松が丘二丁目,5,5,matugaoka.pdf,,high,
176,大字小野鶴1526番地の6,松が丘81-6,松が丘二丁目,5,6,matugaoka.pdf,,high,
177,大字小野鶴1526番地の7,松が丘81-7,松が丘二丁目,5,7,matugaoka.pdf,,high,
178,大字小野鶴1526番地の8,松が丘81-8,松が丘二丁目,5,8,matugaoka.pdf,,high,
179,大字小野鶴1526番地の9,松が丘81-9,松が丘二丁目,5,9,matugaoka.pdf,,high,資料上2回出現
180,大字小野鶴1527番地の1,松が丘79-1,松が丘二丁目,4,1,matugaoka.pdf,,high,資料上2回出現
181,大字小野鶴1527番地の2,松が丘79-2,松が丘二丁目,4,2,matugaoka.pdf,,high,
182,大字小野鶴1527番地の3,松が丘79-3,松が丘二丁目,4,3,matugaoka.pdf,,high,資料上2回出現
183,大字小野鶴1530番地の11,松が丘61-11,松が丘二丁目,10,11,matugaoka.pdf,,high,
184,大字小野鶴1530番地の12,松が丘61-12,松が丘二丁目,10,12,matugaoka.pdf,,high,
185,大字小野鶴1530番地の13,松が丘61-13,松が丘二丁目,10,13,matugaoka.pdf,,high,資料上2回出現
186,大字小野鶴1530番地の14,松が丘61-14,松が丘二丁目,10,14,matugaoka.pdf,,high,
187,大字小野鶴1530番地の15,松が丘61-15,松が丘二丁目,10,15,matugaoka.pdf,,high,
188,大字小野鶴1530番地の16,松が丘61-16,松が丘二丁目,10,16,matugaoka.pdf,,high,資料上3回出現
189,大字小野鶴1530番地の4,松が丘61-4,松が丘二丁目,10,4,matugaoka.pdf,,high,
190,大字小野鶴1530番地の7,松が丘61-7,松が丘二丁目,10,7,matugaoka.pdf,,high,
191,大字小野鶴1530番地の8,松が丘61-8,松が丘二丁目,10,8,matugaoka.pdf,,high,
192,大字小野鶴1531番地の10,松が丘69-10,松が丘二丁目,11,10,matugaoka.pdf,,high,
193,大字小野鶴1531番地の14,松が丘69-14,松が丘二丁目,11,14,matugaoka.pdf,,high,
194,大字小野鶴1531番地の15,松が丘69-15,松が丘二丁目,11,15,matugaoka.pdf,,high,資料上2回出現
195,大字小野鶴1531番地の16,松が丘69-16,松が丘二丁目,11,16,matugaoka.pdf,,high,
196,大字小野鶴1531番地の17,松が丘69-17,松が丘二丁目,11,17,matugaoka.pdf,,high,
197,大字小野鶴1531番地の18,松が丘69-18,松が丘二丁目,11,18,matugaoka.pdf,,high,
198,大字小野鶴1531番地の19,松が丘69-19,松が丘二丁目,11,19,matugaoka.pdf,,high,
199,大字小野鶴1531番地の2,松が丘69-2,松が丘二丁目,11,2,matugaoka.pdf,,high,
200,大字小野鶴1531番地の20,松が丘69-20,松が丘二丁目,11,20,matugaoka.pdf,,high,
201,大字小野鶴1531番地の3,,松が丘二丁目,11,3,matugaoka.pdf,,high,"1対多(通称違い: 通称なし, 松が丘69-3)、資料上通称の記載なし"
202,大字小野鶴1531番地の3,松が丘69-3,松が丘二丁目,11,3,matugaoka.pdf,,high,"1対多(通称違い: 通称なし, 松が丘69-3)"
203,大字小野鶴1531番地の4,松が丘69-4,松が丘二丁目,11,4,matugaoka.pdf,,high,
204,大字小野鶴1531番地の5,松が丘69-5,松が丘二丁目,11,5,matugaoka.pdf,,high,
205,大字小野鶴1531番地の7,松が丘69-7,松が丘二丁目,11,7,matugaoka.pdf,,high,
206,大字小野鶴1531番地の9,松が丘69-9,松が丘二丁目,11,9,matugaoka.pdf,,high,
207,大字小野鶴1532番地の1,松が丘72-1,松が丘二丁目,12,1,matugaoka.pdf,,high,
208,大字小野鶴1532番地の11,松が丘72-11,松が丘二丁目,12,11,matugaoka.pdf,,high,
