seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字杉原619番地の3,梅が丘3丁目23番4号,梅が丘三丁目,8,4,kyuusinn-umegaoka.pdf,杉原-3,high,資料上2回出現
2,大字杉原619番地の4,梅が丘3丁目23番3号,梅が丘三丁目,8,3,kyuusinn-umegaoka.pdf,杉原-3,high,
3,大字杉原619番地の5,梅が丘3丁目23番2号,梅が丘三丁目,8,2,kyuusinn-umegaoka.pdf,杉原-3,high,
4,大字杉原619番地の6,梅が丘3丁目23番7号,梅が丘三丁目,8,7,kyuusinn-umegaoka.pdf,杉原-3,high,
5,大字杉原619番地の7,梅が丘3丁目23番8号,梅が丘三丁目,8,8,kyuusinn-umegaoka.pdf,杉原-3,high,
6,大字杉原619番地の8,梅が丘3丁目23番1号,梅が丘三丁目,8,1,kyuusinn-umegaoka.pdf,杉原-3,high,資料上2回出現
7,大字杉原619番地の9,梅が丘3丁目19番6号,梅が丘三丁目,6,6,kyuusinn-umegaoka.pdf,杉原-3,high,
8,大字杉原619番地の10,梅が丘3丁目19番5号,梅が丘三丁目,6,5,kyuusinn-umegaoka.pdf,杉原-3,high,
9,大字杉原619番地の11,梅が丘3丁目19番4号,梅が丘三丁目,6,4,kyuusinn-umegaoka.pdf,杉原-3,high,
10,大字杉原619番地の12,梅が丘3丁目19番3号,梅が丘三丁目,6,3,kyuusinn-umegaoka.pdf,杉原-3,high,
11,大字杉原619番地の13,梅が丘3丁目19番7号,梅が丘三丁目,6,7,kyuusinn-umegaoka.pdf,杉原-3,high,
12,大字杉原619番地の14,梅が丘3丁目19番8号,梅が丘三丁目,6,8,kyuusinn-umegaoka.pdf,杉原-4,high,
13,大字杉原619番地の15,梅が丘3丁目19番9号,梅が丘三丁目,6,9,kyuusinn-umegaoka.pdf,杉原-4,high,
14,大字杉原619番地の16,梅が丘3丁目19番10号,梅が丘三丁目,6,10,kyuusinn-umegaoka.pdf,杉原-4,high,
15,大字杉原619番地の17,梅が丘3丁目20番4号,梅が丘三丁目,2,4,kyuusinn-umegaoka.pdf,杉原-4,high,
16,大字杉原619番地の18,梅が丘3丁目20番3号,梅が丘三丁目,2,3,kyuusinn-umegaoka.pdf,杉原-4,high,資料上2回出現
17,大字杉原619番地の21,梅が丘3丁目19番2号,梅が丘三丁目,6,2,kyuusinn-umegaoka.pdf,杉原-4,high,
18,大字杉原622番地の5,梅が丘3丁目19番11号,梅が丘三丁目,6,11,kyuusinn-umegaoka.pdf,杉原-4,high,資料上2回出現
19,大字杉原622番地の6,梅が丘3丁目19番1号,梅が丘三丁目,6,1,kyuusinn-umegaoka.pdf,杉原-4,high,
20,大字杉原622番地の8,梅が丘3丁目20番2号,梅が丘三丁目,2,2,kyuusinn-umegaoka.pdf,杉原-4,high,
21,大字杉原622番地の9,梅が丘3丁目20番8号,梅が丘三丁目,2,8,kyuusinn-umegaoka.pdf,杉原-4,high,資料上2回出現
22,大字杉原622番地の10,梅が丘3丁目20番1号,梅が丘三丁目,2,1,kyuusinn-umegaoka.pdf,杉原-5,high,資料上2回出現
23,大字杉原622番地の11,梅が丘3丁目18番2号,梅が丘三丁目,5,2,kyuusinn-umegaoka.pdf,杉原-5,high,資料上2回出現
24,大字杉原622番地の12,梅が丘3丁目18番1号,梅が丘三丁目,5,1,kyuusinn-umegaoka.pdf,杉原-5,high,
25,大字杉原622番地の13,梅が丘3丁目17番5号,梅が丘三丁目,3,5,kyuusinn-umegaoka.pdf,杉原-5,high,
26,大字杉原622番地の14,梅が丘3丁目17番4号,梅が丘三丁目,3,4,kyuusinn-umegaoka.pdf,杉原-5,high,資料上2回出現
27,大字杉原622番地の15,梅が丘3丁目17番3号,梅が丘三丁目,3,3,kyuusinn-umegaoka.pdf,杉原-5,high,
28,大字杉原622番地の16,梅が丘3丁目17番2号,梅が丘三丁目,3,2,kyuusinn-umegaoka.pdf,杉原-5,high,
29,大字杉原622番地の17,梅が丘3丁目17番6号,梅が丘三丁目,3,6,kyuusinn-umegaoka.pdf,杉原-5,high,
