seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字葛木852番地の1,DK葛木-1,森町西二丁目,3,10,kyuusinn-morimati.pdf,葛木-1,high,資料上2回出現
2,大字葛木852番地の1,DK葛木-2,森町西二丁目,3,11,kyuusinn-morimati.pdf,葛木-1,high,
3,大字葛木852番地の1,DK葛木-3,森町西二丁目,3,12,kyuusinn-morimati.pdf,葛木-1,high,
4,大字葛木852番地の1,DK葛木-4,森町西二丁目,3,13,kyuusinn-morimati.pdf,葛木-1,high,
5,大字葛木852番地の1,DK葛木-5,森町西二丁目,3,14,kyuusinn-morimati.pdf,葛木-1,high,
6,大字葛木852番地の1,DK葛木-6,森町西二丁目,3,15,kyuusinn-morimati.pdf,葛木-1,high,
7,大字葛木852番地の1,DK葛木-7,森町西二丁目,3,19,kyuusinn-morimati.pdf,葛木-1,high,資料上2回出現
8,大字葛木852番地の1,DK葛木-8,森町西二丁目,3,17,kyuusinn-morimati.pdf,葛木-1,high,
9,大字葛木852番地の1,DK葛木-9,森町西二丁目,3,18,kyuusinn-morimati.pdf,葛木-1,high,
10,大字葛木852番地の4,,森町西二丁目,3,9,kyuusinn-morimati.pdf,葛木-1,high,資料上通称の記載なし
11,大字葛木853番地の7,,森町西二丁目,3,4,kyuusinn-morimati.pdf,葛木-1,high,資料上通称の記載なし
12,大字葛木853番地の8,,森町西二丁目,3,6,kyuusinn-morimati.pdf,葛木-2,high,資料上通称の記載なし
13,大字葛木853番地の11,,森町西二丁目,2,18,kyuusinn-morimati.pdf,葛木-2,high,資料上通称の記載なし
14,大字葛木853番地の17,,森町西二丁目,2,12,kyuusinn-morimati.pdf,葛木-2,high,資料上通称の記載なし
15,大字葛木853番地の21,,森町西二丁目,2,13,kyuusinn-morimati.pdf,葛木-2,high,資料上2回出現、資料上通称の記載なし
16,大字葛木853番地の22,,森町西二丁目,2,14,kyuusinn-morimati.pdf,葛木-2,high,資料上通称の記載なし
17,大字葛木853番地の23,,森町西二丁目,2,16,kyuusinn-morimati.pdf,葛木-2,high,資料上通称の記載なし
18,大字葛木853番地の36,,森町西二丁目,2,15,kyuusinn-morimati.pdf,葛木-2,high,資料上通称の記載なし
19,大字葛木854番地の1,,森町西二丁目,3,8,kyuusinn-morimati.pdf,葛木-2,high,資料上通称の記載なし
20,大字葛木856番地の5,,森町西二丁目,3,3,kyuusinn-morimati.pdf,葛木-2,high,資料上3回出現、資料上通称の記載なし
21,大字葛木856番地の7,メゾン丸山B110,森町西二丁目,2,8,kyuusinn-morimati.pdf,葛木-2,high,
22,大字葛木856番地の7,メゾン丸山B111,森町西二丁目,2,8,kyuusinn-morimati.pdf,葛木-3,high,
23,大字葛木856番地の7,メゾン丸山210,森町西二丁目,2,8,kyuusinn-morimati.pdf,葛木-3,high,
24,大字葛木856番地の7,メゾン丸山B211,森町西二丁目,2,8,kyuusinn-morimati.pdf,葛木-3,high,
25,大字葛木860番地,,森町西二丁目,2,6,kyuusinn-morimati.pdf,葛木-3,high,資料上通称の記載なし
26,大字葛木860番地の1,メゾン丸山A101,森町西二丁目,2,9,kyuusinn-morimati.pdf,葛木-3,high,
27,大字葛木860番地の1,メゾン丸山A102,森町西二丁目,2,9,kyuusinn-morimati.pdf,葛木-3,high,
28,大字葛木860番地の1,メゾン丸山A103,森町西二丁目,2,9,kyuusinn-morimati.pdf,葛木-3,high,
29,大字葛木860番地の1,メゾン丸山A105,森町西二丁目,2,9,kyuusinn-morimati.pdf,葛木-3,high,
30,大字葛木860番地の1,メゾン丸山A106,森町西二丁目,2,9,kyuusinn-morimati.pdf,葛木-3,high,
31,大字葛木860番地の1,メゾン丸山A107,森町西二丁目,2,9,kyuusinn-morimati.pdf,葛木-3,high,
32,大字葛木860番地の1,メゾン丸山A201,森町西二丁目,2,9,kyuusinn-morimati.pdf,葛木-3,high,
33,大字葛木860番地の1,メゾン丸山A202,森町西二丁目,2,9,kyuusinn-morimati.pdf,葛木-3,high,
34,大字葛木860番地の1,メゾン丸山A203,森町西二丁目,2,9,kyuusinn-morimati.pdf,葛木-3,high,
35,大字葛木860番地の1,メゾン丸山A205,森町西二丁目,2,9,kyuusinn-morimati.pdf,葛木-4,high,
36,大字葛木860番地の1,メゾン丸山A206,森町西二丁目,2,9,kyuusinn-morimati.pdf,葛木-4,high,
37,大字葛木860番地の1,メゾン丸山A207,森町西二丁目,2,9,kyuusinn-morimati.pdf,葛木-4,high,
38,大字葛木860番地の1,メゾン丸山A208,森町西二丁目,2,9,kyuusinn-morimati.pdf,葛木-4,high,
39,大字葛木860番地の2,,森町西二丁目,2,6,kyuusinn-morimati.pdf,葛木-4,high,資料上通称の記載なし
40,大字葛木860番地の6,メゾン丸山C112,森町西二丁目,2,7,kyuusinn-morimati.pdf,葛木-4,high,
41,大字葛木860番地の6,メゾン丸山C113,森町西二丁目,2,7,kyuusinn-morimati.pdf,葛木-4,high,
42,大字葛木860番地の6,メゾン丸山C115,森町西二丁目,2,7,kyuusinn-morimati.pdf,葛木-4,high,
43,大字葛木860番地の6,メゾン丸山C212,森町西二丁目,2,7,kyuusinn-morimati.pdf,葛木-4,high,
44,大字葛木860番地の6,メゾン丸山C213,森町西二丁目,2,7,kyuusinn-morimati.pdf,葛木-4,high,
45,大字葛木860番地の6,メゾン丸山C215,森町西二丁目,2,7,kyuusinn-morimati.pdf,葛木-4,high,
46,大字葛木861番地の2,,森町西一丁目,13,15,kyuusinn-morimati.pdf,葛木-4,high,資料上通称の記載なし
47,大字葛木861番地の3,,森町西一丁目,13,18,kyuusinn-morimati.pdf,葛木-4,high,資料上通称の記載なし
48,大字葛木861番地の4,,森町西一丁目,13,19,kyuusinn-morimati.pdf,葛木-5,high,資料上通称の記載なし
49,大字葛木861番地の5,,森町西一丁目,13,20,kyuusinn-morimati.pdf,葛木-5,high,資料上2回出現、資料上通称の記載なし
50,大字葛木861番地の6,,森町西一丁目,13,21,kyuusinn-morimati.pdf,葛木-5,high,資料上通称の記載なし
51,大字葛木861番地の7,,森町西一丁目,13,22,kyuusinn-morimati.pdf,葛木-5,high,資料上通称の記載なし
52,大字葛木861番地の8,,森町西一丁目,13,23,kyuusinn-morimati.pdf,葛木-5,high,資料上通称の記載なし
53,大字葛木861番地の9,,森町西一丁目,13,24,kyuusinn-morimati.pdf,葛木-5,high,資料上通称の記載なし
54,大字葛木861番地の10,,森町西一丁目,12,16,kyuusinn-morimati.pdf,葛木-5,high,資料上通称の記載なし
55,大字葛木861番地の11,,森町西一丁目,12,17,kyuusinn-morimati.pdf,葛木-5,high,資料上通称の記載なし
56,大字葛木861番地の12,,森町西一丁目,12,18,kyuusinn-morimati.pdf,葛木-5,high,資料上2回出現、資料上通称の記載なし
57,大字葛木861番地の13,,森町西一丁目,12,19,kyuusinn-morimati.pdf,葛木-5,high,資料上通称の記載なし
