seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字横尾2048番地,中筋,横尾東町三丁目,19,34,yokookyuusinn.pdf,,high,
2,大字横尾2056番地,中筋,横尾東町三丁目,19,28,yokookyuusinn.pdf,,high,
3,大字横尾2057番地,中筋,横尾東町三丁目,19,26,yokookyuusinn.pdf,,high,資料上3回出現、★=法人表記
4,大字横尾2057番地,中筋,横尾東町三丁目,19,27,yokookyuusinn.pdf,,high,
5,大字横尾2058番地の1,中筋,横尾東町三丁目,19,24,yokookyuusinn.pdf,,high,
6,大字横尾2068番地の2,中筋,横尾東町二丁目,25,9,yokookyuusinn.pdf,,high,
7,大字横尾2193番地の2,中筋,横尾東町二丁目,21,4,yokookyuusinn.pdf,,high,資料上2回出現
8,大字横尾2204番地,中筋,横尾東町二丁目,20,1,yokookyuusinn.pdf,,high,
9,大字横尾2225番地,中筋,横尾東町三丁目,16,20,yokookyuusinn.pdf,,high,
10,大字横尾2231番地,中筋,横尾東町三丁目,19,33,yokookyuusinn.pdf,,high,
11,大字横尾2232番地の5,中筋,横尾東町三丁目,16,6,yokookyuusinn.pdf,,high,資料上3回出現、★=法人表記
12,大字横尾2233番地の4,中筋,横尾東町三丁目,16,1,yokookyuusinn.pdf,,high,
13,大字横尾2234番地,中筋,横尾東町三丁目,15,25,yokookyuusinn.pdf,,high,資料上2回出現
14,大字横尾2235番地,中筋,横尾東町二丁目,26,9,yokookyuusinn.pdf,,high,
15,大字横尾2236番地の2,中筋,横尾東町三丁目,16,14,yokookyuusinn.pdf,,high,
16,大字横尾2237番地の2,中筋,横尾東町三丁目,15,20,yokookyuusinn.pdf,,high,
17,大字横尾2241番地の3,中筋,横尾東町三丁目,15,17,yokookyuusinn.pdf,,high,
18,大字横尾2250番地の2,中筋,横尾東町三丁目,16,10,yokookyuusinn.pdf,,high,
19,大字横尾2255番地,中筋,横尾東町三丁目,14,1,yokookyuusinn.pdf,,high,
20,大字横尾2257番地の1,中筋,横尾東町三丁目,13,5,yokookyuusinn.pdf,,high,
21,大字横尾2257番地の1,中筋,横尾東町三丁目,13,6,yokookyuusinn.pdf,,high,
22,大字横尾2265番地,中筋,横尾東町三丁目,13,25,yokookyuusinn.pdf,,high,
23,大字横尾2269番地の6,中筋,横尾東町二丁目,24,11,yokookyuusinn.pdf,,high,
24,大字横尾2269番地の6,中筋,横尾東町二丁目,24,12,yokookyuusinn.pdf,,high,
25,大字横尾2296番地の2,中筋,横尾東町二丁目,25,14,yokookyuusinn.pdf,,high,
26,大字横尾2297番地,中筋,横尾東町二丁目,22,7,yokookyuusinn.pdf,,high,
27,大字横尾2298番地,中筋,横尾東町二丁目,22,1,yokookyuusinn.pdf,,high,資料上2回出現
28,大字横尾2305番地,中筋,横尾東町二丁目,21,11,yokookyuusinn.pdf,,high,資料上2回出現
29,大字横尾2305番地,中筋,横尾東町二丁目,21,17,yokookyuusinn.pdf,,high,資料上2回出現
30,大字横尾2308番地,中筋,横尾東町二丁目,21,5,yokookyuusinn.pdf,,high,
31,大字横尾2308番地,中筋,横尾東町二丁目,21,9,yokookyuusinn.pdf,,high,
32,大字横尾2309番地,中筋,横尾東町二丁目,21,30,yokookyuusinn.pdf,,high,資料上2回出現
33,大字横尾2310番地の2,中筋,横尾東町二丁目,23,1,yokookyuusinn.pdf,,high,
34,大字横尾2310番地の2,中筋,横尾東町二丁目,23,5,yokookyuusinn.pdf,,high,
35,大字横尾2311番地の4,中筋,横尾東町二丁目,23,23,yokookyuusinn.pdf,,high,資料上2回出現
36,大字横尾2313番地の1,中筋,横尾東町二丁目,23,8,yokookyuusinn.pdf,,high,
37,大字横尾2313番地の2,中筋,横尾東町二丁目,23,9,yokookyuusinn.pdf,,high,
