seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字荏隈222番地,深河内3組,深河内二丁目,3,5,kyusin_hukagawauti.xlsx(大分市オープンデータカタログ経由),,high,大字荏隈シート、資料上2回出現
2,大字荏隈636番地の1,深河内1組の1,深河内一丁目,1,34,kyusin_hukagawauti.xlsx(大分市オープンデータカタログ経由),,high,大字荏隈シート、資料上2回出現
3,大字荏隈638番地の1,深河内1組の1,深河内一丁目,1,11,kyusin_hukagawauti.xlsx(大分市オープンデータカタログ経由),,high,大字荏隈シート
4,大字荏隈638番地の1,,深河内一丁目,1,11,kyusin_hukagawauti.xlsx(大分市オープンデータカタログ経由),,high,大字荏隈シート
5,大字荏隈639番地の3,深河内1組の1,深河内一丁目,1,9,kyusin_hukagawauti.xlsx(大分市オープンデータカタログ経由),,high,大字荏隈シート
6,大字荏隈640番地の2,深河内1組の1,深河内一丁目,1,7,kyusin_hukagawauti.xlsx(大分市オープンデータカタログ経由),,high,大字荏隈シート
7,大字荏隈641番地の1,深河内1組の1,深河内一丁目,1,22,kyusin_hukagawauti.xlsx(大分市オープンデータカタログ経由),,high,大字荏隈シート、資料上2回出現
8,大字荏隈641番地の2,深河内1組の1,深河内一丁目,1,13,kyusin_hukagawauti.xlsx(大分市オープンデータカタログ経由),,high,大字荏隈シート
9,大字荏隈641番地の3,深河内1組の1,深河内一丁目,1,5,kyusin_hukagawauti.xlsx(大分市オープンデータカタログ経由),,high,大字荏隈シート
10,大字荏隈641番地の5,深河内1組の1,深河内一丁目,1,14,kyusin_hukagawauti.xlsx(大分市オープンデータカタログ経由),,high,大字荏隈シート
11,大字荏隈641番地の6,深河内1組,深河内一丁目,1,29,kyusin_hukagawauti.xlsx(大分市オープンデータカタログ経由),,high,大字荏隈シート、資料上2回出現
12,大字荏隈641番地の10,深河内1組の1,深河内一丁目,1,18,kyusin_hukagawauti.xlsx(大分市オープンデータカタログ経由),,high,大字荏隈シート
13,大字荏隈641番地の11,深河内1組の1,深河内一丁目,1,20,kyusin_hukagawauti.xlsx(大分市オープンデータカタログ経由),,high,大字荏隈シート
14,大字荏隈641番地の12,深河内1組の1,深河内一丁目,1,21,kyusin_hukagawauti.xlsx(大分市オープンデータカタログ経由),,high,大字荏隈シート
