seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字田尻1380番地の7,田尻ｸﾞﾘｰﾝﾊｲﾂ東区7組110号,田尻東,7,6,tajirighnanuki.pdf,1,high,
2,大字田尻1335番地の35,田尻ｸﾞﾘｰﾝﾊｲﾂ東区10組157号,田尻東,10,8,tajirighnanuki.pdf,1,high,
3,大字田尻1335番地の36,田尻ｸﾞﾘｰﾝﾊｲﾂ東区10組152号,田尻東,10,2,tajirighnanuki.pdf,1,high,
4,大字田尻1380番地の5,田尻ｸﾞﾘｰﾝﾊｲﾂ東区5組88号,田尻東,5,7,tajirighnanuki.pdf,1,high,
5,大字田尻1380番地の6,田尻ｸﾞﾘｰﾝﾊｲﾂ東区5組89号,田尻東,5,10,tajirighnanuki.pdf,1,high,
6,大字田尻1335番地の29,田尻ｸﾞﾘｰﾝﾊｲﾂ東区5組90号,田尻東,5,8,tajirighnanuki.pdf,1,high,
7,大字田尻1335番地の30,田尻ｸﾞﾘｰﾝﾊｲﾂ東区5組91号,田尻東,5,9,tajirighnanuki.pdf,1,high,
8,大字田尻1335番地の31,田尻ｸﾞﾘｰﾝﾊｲﾂ東区10組162号,田尻東,10,12,tajirighnanuki.pdf,1,high,
9,大字田尻1335番地の32,田尻ｸﾞﾘｰﾝﾊｲﾂ東区10組163号,田尻東,10,16,tajirighnanuki.pdf,1,high,
10,大字田尻1335番地の34,田尻ｸﾞﾘｰﾝﾊｲﾂ東区10組164号,田尻東,10,13,tajirighnanuki.pdf,1,high,
11,大字田尻1335番地の21,田尻ｸﾞﾘｰﾝﾊｲﾂ東区10組165号,田尻東,10,15,tajirighnanuki.pdf,1,high,
12,大字田尻1335番地の22,田尻ｸﾞﾘｰﾝﾊｲﾂ東区10組166号,田尻東,10,14,tajirighnanuki.pdf,1,high,資料上2回出現（★印含む）
13,大字田尻1335番地の23,田尻ｸﾞﾘｰﾝﾊｲﾂ東区7組169号,田尻東,7,18,tajirighnanuki.pdf,1,high,
14,大字田尻1335番地の24,田尻ｸﾞﾘｰﾝﾊｲﾂ東区7組170号,田尻東,7,19,tajirighnanuki.pdf,1,high,
15,大字田尻1335番地の25,田尻ｸﾞﾘｰﾝﾊｲﾂ東区7組171号,田尻東,7,17,tajirighnanuki.pdf,1,high,
