seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字岡川5番地の8,田尻南1丁目5番4号,田尻南一丁目,5,4,tajiriminamikyuusinntaisyoubo.pdf,,high,
2,大字岡川5番地の9,田尻南1丁目5番5号,田尻南一丁目,5,5,tajiriminamikyuusinntaisyoubo.pdf,,high,資料上2回出現（★印含む）
3,大字岡川5番地の13,田尻南1丁目10番1号,田尻南一丁目,10,1,tajiriminamikyuusinntaisyoubo.pdf,,high,
4,大字岡川5番地の14,田尻南1丁目10番2号,田尻南一丁目,10,2,tajiriminamikyuusinntaisyoubo.pdf,,high,
5,大字岡川5番地の16,田尻南1丁目10番3号,田尻南一丁目,10,3,tajiriminamikyuusinntaisyoubo.pdf,,high,
6,大字岡川5番地の19,田尻南1丁目9番10号,田尻南一丁目,9,10,tajiriminamikyuusinntaisyoubo.pdf,,high,
7,大字岡川5番地の20,田尻南1丁目9番11号,田尻南一丁目,9,11,tajiriminamikyuusinntaisyoubo.pdf,,high,
8,大字岡川5番地の21,田尻南1丁目9番12号,田尻南一丁目,9,12,tajiriminamikyuusinntaisyoubo.pdf,,high,
9,大字岡川5番地の22,田尻南1丁目9番1号,田尻南一丁目,9,1,tajiriminamikyuusinntaisyoubo.pdf,,high,
10,大字岡川5番地の23,田尻南1丁目9番2号,田尻南一丁目,9,2,tajiriminamikyuusinntaisyoubo.pdf,,high,
11,大字岡川5番地の24,田尻南1丁目9番3号,田尻南一丁目,9,3,tajiriminamikyuusinntaisyoubo.pdf,,high,
12,大字岡川5番地の25,田尻南1丁目9番4号,田尻南一丁目,9,4,tajiriminamikyuusinntaisyoubo.pdf,,high,
13,大字岡川5番地の26,田尻南1丁目9番5号,田尻南一丁目,9,5,tajiriminamikyuusinntaisyoubo.pdf,,high,
14,大字岡川5番地の27,田尻南1丁目9番6号,田尻南一丁目,9,6,tajiriminamikyuusinntaisyoubo.pdf,,high,
15,大字岡川5番地の30,田尻南1丁目11番8号,田尻南一丁目,11,8,tajiriminamikyuusinntaisyoubo.pdf,,high,
16,大字岡川5番地の31,田尻南1丁目11番9号,田尻南一丁目,11,9,tajiriminamikyuusinntaisyoubo.pdf,,high,
17,大字岡川5番地の32,田尻南1丁目11番10号,田尻南一丁目,11,10,tajiriminamikyuusinntaisyoubo.pdf,,high,
18,大字岡川5番地の33,田尻南1丁目11番11号,田尻南一丁目,11,11,tajiriminamikyuusinntaisyoubo.pdf,,high,
19,大字岡川5番地の34,田尻南1丁目11番12号,田尻南一丁目,11,12,tajiriminamikyuusinntaisyoubo.pdf,,high,
20,大字岡川5番地の35,田尻南1丁目11番1号,田尻南一丁目,11,1,tajiriminamikyuusinntaisyoubo.pdf,,high,
21,大字岡川5番地の36,田尻南1丁目11番2号,田尻南一丁目,11,2,tajiriminamikyuusinntaisyoubo.pdf,,high,
22,大字岡川5番地の37,田尻南1丁目11番3号,田尻南一丁目,11,3,tajiriminamikyuusinntaisyoubo.pdf,,high,
23,大字岡川5番地の38,田尻南1丁目11番4号,田尻南一丁目,11,4,tajiriminamikyuusinntaisyoubo.pdf,,high,
24,大字岡川5番地の39,田尻南1丁目11番5号,田尻南一丁目,11,5,tajiriminamikyuusinntaisyoubo.pdf,,high,
25,大字岡川5番地の40,田尻南1丁目11番6号,田尻南一丁目,11,6,tajiriminamikyuusinntaisyoubo.pdf,,high,
26,大字岡川5番地の41,田尻南1丁目11番7号,田尻南一丁目,11,7,tajiriminamikyuusinntaisyoubo.pdf,,high,
