seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字羽屋501番地の1,畑中8組の12 ｺｰﾎﾟ羽屋A101,畑中一丁目,2,67,hatakenakakyuusinnpdf.pdf,羽屋-1,high,
2,大字羽屋501番地の1,畑中8組の12 ｺｰﾎﾟ羽屋A102,畑中一丁目,2,67,hatakenakakyuusinnpdf.pdf,羽屋-1,high,
3,大字羽屋501番地の1,畑中8組の12 ｺｰﾎﾟ羽屋A103,畑中一丁目,2,67,hatakenakakyuusinnpdf.pdf,羽屋-1,high,
4,大字羽屋501番地の1,畑中8組の12 ｺｰﾎﾟ羽屋A105,畑中一丁目,2,67,hatakenakakyuusinnpdf.pdf,羽屋-1,high,
5,大字羽屋501番地の1,畑中8組の12 ｺｰﾎﾟ羽屋A201,畑中一丁目,2,67,hatakenakakyuusinnpdf.pdf,羽屋-1,high,
6,大字羽屋501番地の1,畑中8組の12 ｺｰﾎﾟ羽屋A202,畑中一丁目,2,67,hatakenakakyuusinnpdf.pdf,羽屋-1,high,
7,大字羽屋501番地の1,畑中8組の12 ｺｰﾎﾟ羽屋A203,畑中一丁目,2,67,hatakenakakyuusinnpdf.pdf,羽屋-1,high,
8,大字羽屋501番地の1,畑中8組の12 ｺｰﾎﾟ羽屋A205,畑中一丁目,2,67,hatakenakakyuusinnpdf.pdf,羽屋-1,high,
9,大字羽屋501番地の2,畑中8組の12 ｺｰﾎﾟ羽屋B101,畑中一丁目,2,68,hatakenakakyuusinnpdf.pdf,羽屋-1,high,
10,大字羽屋501番地の2,畑中8組の12 ｺｰﾎﾟ羽屋B102,畑中一丁目,2,68,hatakenakakyuusinnpdf.pdf,羽屋-1,high,
11,大字羽屋501番地の2,畑中8組の12 ｺｰﾎﾟ羽屋B103,畑中一丁目,2,68,hatakenakakyuusinnpdf.pdf,羽屋-1,high,
12,大字羽屋501番地の2,畑中8組の12 ｺｰﾎﾟ羽屋B201,畑中一丁目,2,68,hatakenakakyuusinnpdf.pdf,羽屋-1,high,
13,大字羽屋501番地の2,畑中8組の12 ｺｰﾎﾟ羽屋B202,畑中一丁目,2,68,hatakenakakyuusinnpdf.pdf,羽屋-1,high,
14,大字羽屋503-4,,畑中一丁目,2,61,hatakenakakyuusinnpdf.pdf,羽屋-2,high,
15,大字羽屋534-1,,畑中一丁目,2,51,hatakenakakyuusinnpdf.pdf,羽屋-2,high,
16,大字羽屋538-1,,畑中一丁目,2,49,hatakenakakyuusinnpdf.pdf,羽屋-2,high,
17,大字羽屋538番地の1,畑中8組の12,畑中一丁目,2,49,hatakenakakyuusinnpdf.pdf,羽屋-2,high,
18,大字羽屋539番地の1,畑中8組の12 ｸﾞﾘｰﾝﾊﾟｰｸ豊府101,畑中一丁目,2,46,hatakenakakyuusinnpdf.pdf,羽屋-2,high,
