seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字羽屋1番地の1,羽屋4組の1B,羽屋三丁目,4,28,hayataisyoubo.pdf,,high,資料上2回出現
2,羽屋1番地の4,羽屋13組の1,羽屋三丁目,4,21,hayataisyoubo.pdf,,high,
3,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府101,羽屋三丁目,4,21-101,hayataisyoubo.pdf,,high,資料上2回出現
4,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府102,羽屋三丁目,4,21-102,hayataisyoubo.pdf,,high,
5,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府103,羽屋三丁目,4,21-103,hayataisyoubo.pdf,,high,
6,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府107,羽屋三丁目,4,21-107,hayataisyoubo.pdf,,high,
7,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府108,羽屋三丁目,4,21-108,hayataisyoubo.pdf,,high,
8,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府110,羽屋三丁目,4,21-110,hayataisyoubo.pdf,,high,
9,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府111,羽屋三丁目,4,21-111,hayataisyoubo.pdf,,high,
10,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府201,羽屋三丁目,4,21-201,hayataisyoubo.pdf,,high,
11,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府202,羽屋三丁目,4,21-202,hayataisyoubo.pdf,,high,
12,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府203,羽屋三丁目,4,21-203,hayataisyoubo.pdf,,high,
13,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府205,羽屋三丁目,4,21-205,hayataisyoubo.pdf,,high,
14,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府206,羽屋三丁目,4,21-206,hayataisyoubo.pdf,,high,
15,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府207,羽屋三丁目,4,21-207,hayataisyoubo.pdf,,high,
16,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府208,羽屋三丁目,4,21-208,hayataisyoubo.pdf,,high,
17,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府210,羽屋三丁目,4,21-210,hayataisyoubo.pdf,,high,
18,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府211,羽屋三丁目,4,21-211,hayataisyoubo.pdf,,high,
19,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府301,羽屋三丁目,4,21-301,hayataisyoubo.pdf,,high,
20,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府302,羽屋三丁目,4,21-302,hayataisyoubo.pdf,,high,
21,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府303,羽屋三丁目,4,21-303,hayataisyoubo.pdf,,high,
22,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府305,羽屋三丁目,4,21-305,hayataisyoubo.pdf,,high,
23,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府306,羽屋三丁目,4,21-306,hayataisyoubo.pdf,,high,
24,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府307,羽屋三丁目,4,21-307,hayataisyoubo.pdf,,high,
25,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府308,羽屋三丁目,4,21-308,hayataisyoubo.pdf,,high,
26,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府310,羽屋三丁目,4,21-310,hayataisyoubo.pdf,,high,資料上2回出現
27,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府311,羽屋三丁目,4,21-311,hayataisyoubo.pdf,,high,
28,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府401,羽屋三丁目,4,21-401,hayataisyoubo.pdf,,high,
29,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府402,羽屋三丁目,4,21-402,hayataisyoubo.pdf,,high,
30,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府403,羽屋三丁目,4,21-403,hayataisyoubo.pdf,,high,
31,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府405,羽屋三丁目,4,21-405,hayataisyoubo.pdf,,high,
32,大字羽屋1番地の4,羽屋13組 ｱｰﾊﾞﾝﾊﾟﾚｽ古国府406,羽屋三丁目,4,21-406,hayataisyoubo.pdf,,high,
