seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字市752番地の120,萌葱台1-7,萌葱台一丁目,6,9,kyuusin-moegidai.pdf,大字市-1,high,
2,大字市752番地の123,萌葱台2-1,萌葱台一丁目,4,8,kyuusin-moegidai.pdf,大字市-1,high,
3,大字市752番地の133,萌葱台2-9,萌葱台一丁目,4,16,kyuusin-moegidai.pdf,大字市-1,high,
4,大字市752番地の134,萌葱台2-10,萌葱台一丁目,4,15,kyuusin-moegidai.pdf,大字市-1,high,
5,大字市752番地の143,萌葱台3-1,萌葱台一丁目,3,6,kyuusin-moegidai.pdf,大字市-1,high,資料上2回出現
6,大字市752番地の144,萌葱台3-2,萌葱台一丁目,3,5,kyuusin-moegidai.pdf,大字市-1,high,
7,大字市752番地の145,萌葱台3-3,萌葱台一丁目,3,4,kyuusin-moegidai.pdf,大字市-1,high,
8,大字市752番地の146,萌葱台3-4,萌葱台一丁目,3,3,kyuusin-moegidai.pdf,大字市-1,high,資料上2回出現
9,大字市752番地の147,萌葱台3-5,萌葱台一丁目,3,2,kyuusin-moegidai.pdf,大字市-1,high,
10,大字市752番地の148,萌葱台3-6,萌葱台一丁目,3,1,kyuusin-moegidai.pdf,大字市-1,high,資料上2回出現
11,大字市752番地の158,萌葱台4-1,萌葱台一丁目,7,1,kyuusin-moegidai.pdf,大字市-2,high,
12,大字市752番地の167,萌葱台5-1,萌葱台一丁目,2,8,kyuusin-moegidai.pdf,大字市-2,high,資料上2回出現; 資料付記部に旧住所欄空白で再掲
13,大字市752番地の168,萌葱台5-2,萌葱台一丁目,2,7,kyuusin-moegidai.pdf,大字市-2,high,
14,大字市752番地の169,萌葱台5-3,萌葱台一丁目,2,6,kyuusin-moegidai.pdf,大字市-2,high,
15,大字市752番地の170,萌葱台5-4,萌葱台一丁目,2,5,kyuusin-moegidai.pdf,大字市-2,high,
16,大字市752番地の171,萌葱台5-5,萌葱台一丁目,2,4,kyuusin-moegidai.pdf,大字市-2,high,
17,大字市752番地の172,萌葱台5-6,萌葱台一丁目,2,3,kyuusin-moegidai.pdf,大字市-2,high,
18,大字市752番地の173,萌葱台5-7,萌葱台一丁目,2,2,kyuusin-moegidai.pdf,大字市-2,high,
