seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字畑中930番地,,豊饒二丁目,6,38,bunyoutaisyoubo.pdf,畑中-1,high,資料上通称の記載なし
2,大字畑中982番地,豊饒9組,豊饒三丁目,11,10,bunyoutaisyoubo.pdf,畑中-1,high,
3,大字畑中字村ﾉ内984-1,,豊饒三丁目,11,2,bunyoutaisyoubo.pdf,畑中-1,high,資料上通称の記載なし
4,大字畑中984番地の2,豊饒9組,豊饒三丁目,11,7,bunyoutaisyoubo.pdf,畑中-1,high,
5,大字畑中986番地の2,豊饒9組,豊饒三丁目,11,12,bunyoutaisyoubo.pdf,畑中-1,high,
6,大字畑中986番地の7,豊饒9組,豊饒三丁目,11,9,bunyoutaisyoubo.pdf,畑中-1,high,
7,大字畑中986番地の7,豊饒9組,豊饒三丁目,11,13,bunyoutaisyoubo.pdf,畑中-1,high,結合セル補完
8,大字畑中986番地の11,豊饒9組,豊饒三丁目,11,13,bunyoutaisyoubo.pdf,畑中-1,high,
9,大字羽屋279番地1,,豊饒二丁目,1,6,bunyoutaisyoubo.pdf,羽屋-1,high,資料上通称の記載なし
10,大字豊饒5番地,豊饒1組,豊饒三丁目,10,57,bunyoutaisyoubo.pdf,豊饒-1,high,資料上2回出現
11,大字豊饒5番地,豊饒1組,豊饒三丁目,10,58,bunyoutaisyoubo.pdf,豊饒-1,high,1対多
12,大字豊饒6番地,豊饒1組,豊饒三丁目,10,12,bunyoutaisyoubo.pdf,豊饒-1,high,資料上2回出現
13,大字豊饒7番地,豊饒1組 ｺｽﾓｱﾒﾆﾃｨ101,豊饒三丁目,10,11,bunyoutaisyoubo.pdf,豊饒-1,high,通称・備考結合
14,大字豊饒7番地,豊饒1組 ｺｽﾓｱﾒﾆﾃｨ102,豊饒三丁目,10,11,bunyoutaisyoubo.pdf,豊饒-1,high,結合セル補完、通称・備考結合
15,大字豊饒7番地,豊饒1組 ｺｽﾓｱﾒﾆﾃｨ201,豊饒三丁目,10,11,bunyoutaisyoubo.pdf,豊饒-1,high,通称・備考結合
16,大字豊饒7番地,豊饒1組 ｺｽﾓｱﾒﾆﾃｨ202,豊饒三丁目,10,11,bunyoutaisyoubo.pdf,豊饒-1,high,通称・備考結合、資料上2回出現(内1回結合セル補完)
17,大字豊饒8番地,豊饒5組,豊饒三丁目,10,14,bunyoutaisyoubo.pdf,豊饒-1,high,
18,大字豊饒8番地,豊饒5組,豊饒三丁目,10,15,bunyoutaisyoubo.pdf,豊饒-1,high,1対多
19,大字豊饒8番地,豊饒5組,豊饒三丁目,10,16,bunyoutaisyoubo.pdf,豊饒-1,high,1対多、資料上2回出現
20,大字豊饒10番地の1,豊饒5組,豊饒三丁目,10,5,bunyoutaisyoubo.pdf,豊饒-1,high,
21,大字豊饒10番地の5,豊饒5組,豊饒三丁目,10,6,bunyoutaisyoubo.pdf,豊饒-1,high,資料上2回出現
22,大字豊饒10番地の6,豊饒5組,豊饒三丁目,10,7,bunyoutaisyoubo.pdf,豊饒-1,high,資料上2回出現
23,大字豊饒10番地の6,豊饒5組,豊饒三丁目,10,9,bunyoutaisyoubo.pdf,豊饒-1,high,結合セル補完
24,大字豊饒11番地,豊饒5組,豊饒三丁目,10,1,bunyoutaisyoubo.pdf,豊饒-1,high,
