seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字上宗方606番地の6,雄城台団地1組,雄城台,3,22,kyusintaisyoubo.pdf,,high,
2,大字上宗方606番地の7,雄城台団地1組,雄城台,3,23,kyusintaisyoubo.pdf,,high,
3,大字上宗方606番地の9,雄城台団地1組,雄城台,3,13,kyusintaisyoubo.pdf,,high,
4,大字上宗方606番地の10,雄城台団地1組,雄城台,3,12,kyusintaisyoubo.pdf,,high,
5,大字上宗方606番地の13,雄城台団地1組,雄城台,3,11,kyusintaisyoubo.pdf,,high,
6,大字上宗方606番地の14,雄城台団地1組,雄城台,3,1,kyusintaisyoubo.pdf,,high,
7,大字上宗方606番地の15,雄城台団地1組,雄城台,1,36,kyusintaisyoubo.pdf,,high,
8,大字上宗方606番地の16,雄城台団地1組,雄城台,1,21,kyusintaisyoubo.pdf,,high,
9,大字上宗方606番地の19,雄城台団地1組,雄城台,2,20,kyusintaisyoubo.pdf,,high,
10,大字上宗方606番地の21,雄城台団地1組,雄城台,2,17,kyusintaisyoubo.pdf,,high,
11,大字上宗方606番地の22,雄城台団地1組,雄城台,2,14,kyusintaisyoubo.pdf,,high,
12,大字上宗方606番地の23,雄城台団地1組,雄城台,2,10,kyusintaisyoubo.pdf,,high,
13,大字上宗方606番地の24,雄城台団地1組,雄城台,2,11,kyusintaisyoubo.pdf,,high,
14,大字上宗方606番地の25,雄城台団地1組,雄城台,2,12,kyusintaisyoubo.pdf,,high,
15,大字上宗方606番地の28,雄城台団地1組,雄城台,2,7,kyusintaisyoubo.pdf,,high,
16,大字上宗方606番地の33,雄城台団地1組,雄城台,2,8,kyusintaisyoubo.pdf,,high,
17,大字上宗方606番地の34,雄城台団地1組,雄城台,2,1,kyusintaisyoubo.pdf,,high,
18,大字上宗方606番地の38,雄城台団地1組,雄城台,2,3,kyusintaisyoubo.pdf,,high,
19,大字上宗方606番地の39,雄城台団地1組,雄城台,2,4,kyusintaisyoubo.pdf,,high,
20,大字上宗方606番地の40,雄城台団地1組,雄城台,2,5,kyusintaisyoubo.pdf,,high,
21,大字上宗方606番地の43,雄城台団地1組,雄城台,2,14,kyusintaisyoubo.pdf,,high,
22,大字上宗方606番地の48,雄城台団地1組,雄城台,2,26,kyusintaisyoubo.pdf,,high,
23,大字上宗方606番地の49,雄城台団地1組,雄城台,2,25,kyusintaisyoubo.pdf,,high,
24,大字上宗方606番地の50,雄城台団地1組,雄城台,2,24,kyusintaisyoubo.pdf,,high,
25,大字上宗方606番地の51,雄城台団地1組,雄城台,2,23,kyusintaisyoubo.pdf,,high,
26,大字上宗方606番地の52,雄城台団地1組,雄城台,2,22,kyusintaisyoubo.pdf,,high,
27,大字上宗方606番地の53,雄城台団地1組,雄城台,2,21,kyusintaisyoubo.pdf,,high,
28,大字上宗方606番地の77,雄城台団地1組,雄城台,2,19,kyusintaisyoubo.pdf,,high,資料上2回出現(★印: 法人)
29,大字上宗方606番地の78,雄城台団地1組,雄城台,2,2,kyusintaisyoubo.pdf,,high,
30,大字上宗方606番地の79,雄城台団地1組,雄城台,2,6,kyusintaisyoubo.pdf,,high,資料上2回出現(★印: 法人)
31,大字上宗方606番地の81,雄城台団地1組,雄城台,1,1,kyusintaisyoubo.pdf,,high,
32,大字上宗方618番地の2,雄城台団地1組,雄城台,3,17,kyusintaisyoubo.pdf,,high,
33,大字上宗方620番地の2,雄城台団地2組,雄城台,5,13,kyusintaisyoubo.pdf,,high,
34,大字上宗方620番地の3,雄城台団地2組,雄城台,5,14,kyusintaisyoubo.pdf,,high,
35,大字上宗方620番地の5,雄城台団地2組,雄城台,5,24,kyusintaisyoubo.pdf,,high,
36,大字上宗方612番地の8,雄城台団地1組,雄城台,1,35,kyusintaisyoubo.pdf,,high,
37,大字上宗方612番地の9,雄城台団地1組,雄城台,1,34,kyusintaisyoubo.pdf,,high,
38,大字上宗方612番地の13,雄城台団地1組,雄城台,3,3,kyusintaisyoubo.pdf,,high,
39,大字上宗方612番地の14,雄城台団地1組,雄城台,3,10,kyusintaisyoubo.pdf,,high,
40,大字上宗方612番地の15,雄城台団地1組,雄城台,3,9,kyusintaisyoubo.pdf,,high,
41,大字上宗方612番地の16,雄城台団地1組,雄城台,3,8,kyusintaisyoubo.pdf,,high,
42,大字上宗方612番地の18,雄城台団地1組,雄城台,3,14,kyusintaisyoubo.pdf,,high,
43,大字上宗方612番地の19,雄城台団地1組,雄城台,3,15,kyusintaisyoubo.pdf,,high,
44,大字上宗方612番地の21,雄城台団地1組,雄城台,3,20,kyusintaisyoubo.pdf,,high,
45,大字上宗方612番地の23,雄城台団地1組,雄城台,3,18,kyusintaisyoubo.pdf,,high,
46,大字上宗方612番地の25,雄城台団地1組,雄城台,3,16,kyusintaisyoubo.pdf,,high,
47,大字上宗方612番地の28,雄城台団地2組,雄城台,5,2,kyusintaisyoubo.pdf,,high,
