seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字小池原1252番地の4,高城台4班3号,高城台一丁目,2,19,takajodai.pdf,小池原-1,high,
2,大字小池原1252番地の5,高城台4班4号,高城台一丁目,2,18,takajodai.pdf,小池原-1,high,
3,大字小池原1252番地の6,高城台4班5号,高城台一丁目,2,17,takajodai.pdf,小池原-1,high,
4,大字小池原1252番地の7,高城台4班6号,高城台一丁目,2,16,takajodai.pdf,小池原-1,high,
5,大字小池原1252番地の8,高城台4班7号,高城台一丁目,2,15,takajodai.pdf,小池原-1,high,
6,大字小池原1252番地の9,高城台4班8号,高城台一丁目,2,14,takajodai.pdf,小池原-1,high,資料上2回出現
7,大字小池原1252番地の10,高城台4班9号,高城台一丁目,2,13,takajodai.pdf,小池原-1,high,
8,大字小池原1252番地の11,高城台4班10号,高城台一丁目,2,12,takajodai.pdf,小池原-1,high,資料上2回出現
9,大字小池原1252番地の12,高城台4番30号,高城台一丁目,2,11,takajodai.pdf,小池原-1,high,
10,大字小池原1252番地の13,高城台4班31号,高城台一丁目,2,10,takajodai.pdf,小池原-1,high,
11,大字小池原1252番地の16,高城台4班34号,高城台一丁目,2,7,takajodai.pdf,小池原-1,high,資料上2回出現(1ページと2ページ)
12,大字小池原1252番地の17,高城台4班35号,高城台一丁目,2,6,takajodai.pdf,小池原-2,high,
13,大字小池原1252番地の19,高城台4班37号,高城台一丁目,2,4,takajodai.pdf,小池原-2,high,
14,大字小池原1252番地の20,高城台4班38号,高城台一丁目,2,3,takajodai.pdf,小池原-2,high,
15,大字小池原1252番地の21,高城台4班39号,高城台一丁目,2,2,takajodai.pdf,小池原-2,high,
16,大字小池原1252番地の22,高城台2班11号,高城台一丁目,7,1,takajodai.pdf,小池原-2,high,資料上2回出現
17,大字小池原1252番地の23,高城台2班12号,高城台一丁目,7,19,takajodai.pdf,小池原-2,high,
18,大字小池原1252番地の24,高城台2班13号,高城台一丁目,7,18,takajodai.pdf,小池原-2,high,
19,大字小池原1252番地の25,高城台3班29号,高城台一丁目,7,2,takajodai.pdf,小池原-2,high,
20,大字小池原1252番地の26,高城台1班58号,高城台一丁目,1,5,takajodai.pdf,小池原-2,high,資料上2回出現
21,大字小池原1252番地の27,高城台1班59号,高城台一丁目,1,6,takajodai.pdf,小池原-2,high,
22,大字小池原1252番地の28,高城台1班60号,高城台一丁目,1,7,takajodai.pdf,小池原-3,high,
23,大字小池原1252番地の29,高城台1班61号,高城台一丁目,1,8,takajodai.pdf,小池原-3,high,
24,大字小池原1252番地の30,高城台1班62号,高城台一丁目,1,9,takajodai.pdf,小池原-3,high,
