seq,old_address,alias,new_town,block,house,source_doc,source_page,confidence,note
1,大字千歳277番地の5,ｼﾃｨﾊﾟﾙ高城台101,明野高城一丁目,11,17,takajodanti.xlsx,,high,
2,大字千歳277番地の5,ｼﾃｨﾊﾟﾙ高城台102,明野高城一丁目,11,17,takajodanti.xlsx,,high,
3,大字千歳277番地の5,ｼﾃｨﾊﾟﾙ高城台103,明野高城一丁目,11,17,takajodanti.xlsx,,high,
4,大字千歳277番地の5,ｼﾃｨﾊﾟﾙ高城台201,明野高城一丁目,11,17,takajodanti.xlsx,,high,
5,大字千歳277番地の5,ｼﾃｨﾊﾟﾙ高城台202,明野高城一丁目,11,17,takajodanti.xlsx,,high,
6,大字千歳277番地の5,ｼﾃｨﾊﾟﾙ高城台203,明野高城一丁目,11,17,takajodanti.xlsx,,high,
7,大字千歳277番地の7,ｻﾝﾗﾝﾄﾞ高城3組,明野高城一丁目,6,3,takajodanti.xlsx,,high,
8,大字千歳277番地の8,ｻﾝﾗﾝﾄﾞ高城3組,明野高城一丁目,6,4,takajodanti.xlsx,,high,
9,大字千歳277番地の9,ｻﾝﾗﾝﾄﾞ高城3組,明野高城一丁目,6,5,takajodanti.xlsx,,high,
10,大字千歳277番地の10,ｻﾝﾗﾝﾄﾞ高城3組,明野高城一丁目,6,7,takajodanti.xlsx,,high,
11,大字千歳277番地の11,ｻﾝﾗﾝﾄﾞ高城3組,明野高城一丁目,6,6,takajodanti.xlsx,,high,
12,大字千歳277番地の12,ｻﾝﾗﾝﾄﾞ高城3組,明野高城一丁目,7,13,takajodanti.xlsx,,high,
13,大字千歳277番地の13,ｻﾝﾗﾝﾄﾞ高城5組,明野高城一丁目,13,2,takajodanti.xlsx,,high,
14,大字千歳277番地の15,ｻﾝﾗﾝﾄﾞ高城3組,明野高城一丁目,7,16,takajodanti.xlsx,,high,
15,大字千歳277番地の17,ｻﾝﾗﾝﾄﾞ高城3組,明野高城一丁目,8,1,takajodanti.xlsx,,high,
16,大字千歳277番地の18,ｻﾝﾗﾝﾄﾞ高城3組,明野高城一丁目,8,2,takajodanti.xlsx,,high,
17,大字千歳277番地の20,ｻﾝﾗﾝﾄﾞ高城3組,明野高城一丁目,8,4,takajodanti.xlsx,,high,
18,大字千歳277番地の21,ｻﾝﾗﾝﾄﾞ高城3組,明野高城一丁目,8,8,takajodanti.xlsx,,high,
19,大字千歳277番地の22,ｻﾝﾗﾝﾄﾞ高城3組,明野高城一丁目,8,7,takajodanti.xlsx,,high,
20,大字千歳277番地の23,ｻﾝﾗﾝﾄﾞ高城3組,明野高城一丁目,8,6,takajodanti.xlsx,,high,
21,大字千歳277番地の24,ｻﾝﾗﾝﾄﾞ高城3組,明野高城一丁目,8,5,takajodanti.xlsx,,high,
22,大字千歳277番地の25,ｻﾝﾗﾝﾄﾞ高城2組,明野高城一丁目,9,1,takajodanti.xlsx,,high,
23,大字千歳277番地の26,ｻﾝﾗﾝﾄﾞ高城2組,明野高城一丁目,9,2,takajodanti.xlsx,,high,
24,大字千歳277番地の27,ｻﾝﾗﾝﾄﾞ高城2組,明野高城一丁目,9,3,takajodanti.xlsx,,high,
25,大字千歳277番地の28,ｻﾝﾗﾝﾄﾞ高城2組,明野高城一丁目,9,4,takajodanti.xlsx,,high,
26,大字千歳277番地の29,ｻﾝﾗﾝﾄﾞ高城2組,明野高城一丁目,9,5,takajodanti.xlsx,,high,
27,大字千歳277番地の30,ｻﾝﾗﾝﾄﾞ高城2組,明野高城一丁目,9,11,takajodanti.xlsx,,high,
28,大字千歳277番地の32,ｻﾝﾗﾝﾄﾞ高城2組,明野高城一丁目,9,9,takajodanti.xlsx,,high,
29,大字千歳277番地の33,ｻﾝﾗﾝﾄﾞ高城2組,明野高城一丁目,9,8,takajodanti.xlsx,,high,
30,大字千歳277番地の35,ｻﾝﾗﾝﾄﾞ高城2組,明野高城一丁目,9,6,takajodanti.xlsx,,high,
31,大字千歳277番地の36,ｻﾝﾗﾝﾄﾞ高城1組,明野高城一丁目,6,8,takajodanti.xlsx,,high,
32,大字千歳277番地の37,ｻﾝﾗﾝﾄﾞ高城1組,明野高城一丁目,6,9,takajodanti.xlsx,,high,
33,大字千歳277番地の38,ｻﾝﾗﾝﾄﾞ高城1組,明野高城一丁目,6,10,takajodanti.xlsx,,high,
34,大字千歳277番地の39,ｻﾝﾗﾝﾄﾞ高城1組,明野高城一丁目,6,11,takajodanti.xlsx,,high,
35,大字千歳277番地の41,ｻﾝﾗﾝﾄﾞ高城1組,明野高城一丁目,5,4,takajodanti.xlsx,,high,
36,大字千歳277番地の44,ｻﾝﾗﾝﾄﾞ高城2組,明野高城一丁目,10,5,takajodanti.xlsx,,high,
37,大字千歳277番地の45,ｻﾝﾗﾝﾄﾞ高城2組,明野高城一丁目,10,6,takajodanti.xlsx,,high,
38,大字千歳277番地の46,ｻﾝﾗﾝﾄﾞ高城2組,明野高城一丁目,10,7,takajodanti.xlsx,,high,
39,大字千歳277番地の48,ｻﾝﾗﾝﾄﾞ高城5組,明野高城一丁目,10,13,takajodanti.xlsx,,high,
40,大字千歳277番地の49,ｻﾝﾗﾝﾄﾞ高城5組,明野高城一丁目,10,14,takajodanti.xlsx,,high,
41,大字千歳277番地の50,ｻﾝﾗﾝﾄﾞ高城5組,明野高城一丁目,10,15,takajodanti.xlsx,,high,
42,大字千歳277番地の51,ｻﾝﾗﾝﾄﾞ高城5組,明野高城一丁目,13,3,takajodanti.xlsx,,high,
43,大字千歳277番地の53,ｻﾝﾗﾝﾄﾞ高城4組,明野高城一丁目,11,3,takajodanti.xlsx,,high,
44,大字千歳277番地の55,ｻﾝﾗﾝﾄﾞ高城4組,明野高城一丁目,11,5,takajodanti.xlsx,,high,
45,大字千歳277番地の56,ｻﾝﾗﾝﾄﾞ高城4組,明野高城一丁目,11,6,takajodanti.xlsx,,high,
46,大字千歳277番地の59,ｻﾝﾗﾝﾄﾞ高城4組,明野高城一丁目,11,8,takajodanti.xlsx,,high,
47,大字千歳277番地の60,ｻﾝﾗﾝﾄﾞ高城4組,明野高城一丁目,11,7,takajodanti.xlsx,,high,
48,大字千歳277番地の61,ｻﾝﾗﾝﾄﾞ高城4組,明野高城一丁目,11,10,takajodanti.xlsx,,high,
49,大字千歳277番地の62,ｻﾝﾗﾝﾄﾞ高城4組,明野高城一丁目,11,11,takajodanti.xlsx,,high,
50,大字千歳277番地の63,ｻﾝﾗﾝﾄﾞ高城4組,明野高城一丁目,11,12,takajodanti.xlsx,,high,
51,大字千歳277番地の64,ｻﾝﾗﾝﾄﾞ高城5組,明野高城一丁目,11,13,takajodanti.xlsx,,high,
52,大字千歳277番地の65,ｻﾝﾗﾝﾄﾞ高城5組,明野高城一丁目,11,14,takajodanti.xlsx,,high,
53,大字千歳277番地の66,ｻﾝﾗﾝﾄﾞ高城5組,明野高城一丁目,11,15,takajodanti.xlsx,,high,
54,大字千歳277番地の67,ｻﾝﾗﾝﾄﾞ高城5組,明野高城一丁目,11,16,takajodanti.xlsx,,high,
55,大字千歳277番地の68,ｻﾝﾗﾝﾄﾞ高城5組,明野高城一丁目,12,1,takajodanti.xlsx,,high,
56,大字千歳277番地の69,ｻﾝﾗﾝﾄﾞ高城5組,明野高城一丁目,12,2,takajodanti.xlsx,,high,
57,大字千歳277番地の70,ｻﾝﾗﾝﾄﾞ高城5組,明野高城一丁目,12,3,takajodanti.xlsx,,high,
58,大字千歳277番地の71,ｻﾝﾗﾝﾄﾞ高城5組,明野高城一丁目,12,4,takajodanti.xlsx,,high,
59,大字千歳277番地の72,ｻﾝﾗﾝﾄﾞ高城5組,明野高城一丁目,13,1,takajodanti.xlsx,,high,
60,大字千歳277番地の73,ｻﾝﾗﾝﾄﾞ高城3組,明野高城一丁目,7,14,takajodanti.xlsx,,high,
61,大字千歳277番地の74,ｻﾝﾗﾝﾄﾞ高城3組,明野高城一丁目,7,15,takajodanti.xlsx,,high,
62,大字千歳277番地の76,ｻﾝﾗﾝﾄﾞ高城1組,明野高城一丁目,5,5,takajodanti.xlsx,,high,
63,大字千歳378番地の2,高城団地8組,明野高城一丁目,1,4,takajodanti.xlsx,,high,
64,大字千歳378番地の3,高城団地8組,明野高城一丁目,1,5,takajodanti.xlsx,,high,
65,大字千歳378番地の5,高城団地8組,明野高城一丁目,1,3,takajodanti.xlsx,,high,
66,大字千歳378番地の6,高城団地8組,明野高城一丁目,1,2,takajodanti.xlsx,,high,
67,大字千歳378番地の7,高城団地8組,明野高城一丁目,1,1,takajodanti.xlsx,,high,
68,大字千歳382番地の2,高城団地8組,明野高城一丁目,1,14,takajodanti.xlsx,,high,
69,大字千歳382番地の3,高城団地8組,明野高城一丁目,1,13,takajodanti.xlsx,,high,
70,大字千歳382番地の4,高城団地8組,明野高城一丁目,1,15,takajodanti.xlsx,,high,
71,大字千歳382番地の5,高城団地8組,明野高城一丁目,1,16,takajodanti.xlsx,,high,
72,大字千歳383番地の4,高城団地8組,明野高城一丁目,7,2,takajodanti.xlsx,,high,
73,大字千歳383番地の6,高城団地8組,明野高城一丁目,7,1,takajodanti.xlsx,,high,
74,大字千歳386番地の2,高城団地8組,明野高城一丁目,7,9,takajodanti.xlsx,,high,
75,大字千歳386番地の3,高城団地8組,明野高城一丁目,7,8,takajodanti.xlsx,,high,
76,大字千歳386番地の4,高城団地8組,明野高城一丁目,7,7,takajodanti.xlsx,,high,
77,大字千歳386番地の5,高城団地8組,明野高城一丁目,7,6,takajodanti.xlsx,,high,
78,大字千歳386番地の6,高城団地8組,明野高城一丁目,7,5,takajodanti.xlsx,,high,
79,大字千歳386番地の7,高城団地8組,明野高城一丁目,7,10,takajodanti.xlsx,,high,
80,大字千歳403番地の9,ｻﾝﾗﾝﾄﾞ高城4組,明野高城一丁目,11,1,takajodanti.xlsx,,high,
81,大字千歳403番地の25,ｻﾝﾗﾝﾄﾞ高城4組,明野高城一丁目,11,2,takajodanti.xlsx,,high,
82,大字千歳413番地の2,高城団地8組,明野高城一丁目,6,2,takajodanti.xlsx,,high,
83,大字千歳413番地の3,高城団地8組,明野高城一丁目,6,24,takajodanti.xlsx,,high,
84,大字千歳413番地の9,高城団地7組,明野高城一丁目,6,23,takajodanti.xlsx,,high,
85,大字千歳413番地の10,高城団地8組,明野高城一丁目,6,1,takajodanti.xlsx,,high,
86,大字千歳413番地の11,高城団地7組,明野高城一丁目,6,22,takajodanti.xlsx,,high,
87,大字千歳413番地の21,高城団地7組,明野高城一丁目,6,17,takajodanti.xlsx,,high,
88,大字千歳413番地の22,高城団地7組,明野高城一丁目,6,18,takajodanti.xlsx,,high,
89,大字千歳413番地の24,高城団地7組,明野高城一丁目,6,20,takajodanti.xlsx,,high,
90,大字千歳413番地の25,高城団地7組,明野高城一丁目,6,19,takajodanti.xlsx,,high,
91,大字千歳417番地の2,高城団地6組,明野高城一丁目,5,1,takajodanti.xlsx,,high,
92,大字千歳417番地の3,高城団地6組,明野高城一丁目,5,2,takajodanti.xlsx,,high,
93,大字千歳417番地の4,高城団地6組,明野高城一丁目,6,14,takajodanti.xlsx,,high,
94,大字千歳417の5番地,高城団地6組,明野高城一丁目,6,13,takajodanti.xlsx,,high,
95,大字千歳417番地の6,高城団地6組,明野高城一丁目,6,12,takajodanti.xlsx,,high,
96,大字千歳417番地の7,高城団地6組,明野高城一丁目,5,3,takajodanti.xlsx,,high,
97,大字千歳418番地の17,高城団地8組,明野高城一丁目,1,8,takajodanti.xlsx,,high,
98,大字千歳418番地の18,高城団地8組,明野高城一丁目,1,9,takajodanti.xlsx,,high,
99,大字千歳418番地の25,高城団地8組,明野高城一丁目,1,12,takajodanti.xlsx,,high,
100,大字千歳418番地の26,高城団地8組,明野高城一丁目,1,11,takajodanti.xlsx,,high,
101,大字千歳418番地の27,高城団地7組,明野高城一丁目,2,5,takajodanti.xlsx,,high,
102,大字千歳418番地の28,高城団地7組,明野高城一丁目,2,6,takajodanti.xlsx,,high,
